group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
0-empty,simd,00000,,,1036569.0,ns,292363
0-empty,simd,00000,,,2007593.0,ns,584726
0-empty,simd,00000,,,2983085.0,ns,877089
0-empty,simd,00000,,,3930737.0,ns,1169452
0-empty,simd,00000,,,5051712.0,ns,1461815
0-empty,simd,00000,,,5904547.0,ns,1754178
0-empty,simd,00000,,,6986921.0,ns,2046541
0-empty,simd,00000,,,8007808.0,ns,2338904
0-empty,simd,00000,,,8949675.0,ns,2631267
0-empty,simd,00000,,,10174493.0,ns,2923630
0-empty,simd,00000,,,11757731.0,ns,3215993
0-empty,simd,00000,,,12636527.0,ns,3508356
0-empty,simd,00000,,,12900081.0,ns,3800719
0-empty,simd,00000,,,14060201.0,ns,4093082
0-empty,simd,00000,,,14816616.0,ns,4385445
0-empty,simd,00000,,,15836122.0,ns,4677808
0-empty,simd,00000,,,16749166.0,ns,4970171
0-empty,simd,00000,,,17630020.0,ns,5262534
0-empty,simd,00000,,,18655531.0,ns,5554897
0-empty,simd,00000,,,19629702.0,ns,5847260
0-empty,simd,00000,,,20690305.0,ns,6139623
0-empty,simd,00000,,,21728633.0,ns,6431986
0-empty,simd,00000,,,22539437.0,ns,6724349
0-empty,simd,00000,,,23752557.0,ns,7016712
0-empty,simd,00000,,,24845610.0,ns,7309075
0-empty,simd,00000,,,25747450.0,ns,7601438
0-empty,simd,00000,,,26486277.0,ns,7893801
0-empty,simd,00000,,,27463972.0,ns,8186164
0-empty,simd,00000,,,28452437.0,ns,8478527
0-empty,simd,00000,,,29504843.0,ns,8770890
0-empty,simd,00000,,,30526916.0,ns,9063253
0-empty,simd,00000,,,31412330.0,ns,9355616
0-empty,simd,00000,,,32453794.0,ns,9647979
0-empty,simd,00000,,,33780623.0,ns,9940342
0-empty,simd,00000,,,34375428.0,ns,10232705
0-empty,simd,00000,,,35490602.0,ns,10525068
0-empty,simd,00000,,,36363641.0,ns,10817431
0-empty,simd,00000,,,37655793.0,ns,11109794
0-empty,simd,00000,,,39007838.0,ns,11402157
0-empty,simd,00000,,,39386105.0,ns,11694520
0-empty,simd,00000,,,40554116.0,ns,11986883
0-empty,simd,00000,,,41120544.0,ns,12279246
0-empty,simd,00000,,,42191725.0,ns,12571609
0-empty,simd,00000,,,43206164.0,ns,12863972
0-empty,simd,00000,,,44241863.0,ns,13156335
0-empty,simd,00000,,,45134332.0,ns,13448698
0-empty,simd,00000,,,46387470.0,ns,13741061
0-empty,simd,00000,,,47210418.0,ns,14033424
0-empty,simd,00000,,,48069600.0,ns,14325787
0-empty,simd,00000,,,49305689.0,ns,14618150
0-empty,simd,00000,,,50789205.0,ns,14910513
0-empty,simd,00000,,,51767182.0,ns,15202876
0-empty,simd,00000,,,52139458.0,ns,15495239
0-empty,simd,00000,,,53443732.0,ns,15787602
0-empty,simd,00000,,,54056724.0,ns,16079965
0-empty,simd,00000,,,55737199.0,ns,16372328
0-empty,simd,00000,,,56397670.0,ns,16664691
0-empty,simd,00000,,,57003456.0,ns,16957054
0-empty,simd,00000,,,58688904.0,ns,17249417
0-empty,simd,00000,,,58925614.0,ns,17541780
0-empty,simd,00000,,,60948605.0,ns,17834143
0-empty,simd,00000,,,61025028.0,ns,18126506
0-empty,simd,00000,,,61954235.0,ns,18418869
0-empty,simd,00000,,,63013973.0,ns,18711232
0-empty,simd,00000,,,64224345.0,ns,19003595
0-empty,simd,00000,,,66671121.0,ns,19295958
0-empty,simd,00000,,,65778260.0,ns,19588321
0-empty,simd,00000,,,66853620.0,ns,19880684
0-empty,simd,00000,,,68056414.0,ns,20173047
0-empty,simd,00000,,,68764506.0,ns,20465410
0-empty,simd,00000,,,73181906.0,ns,20757773
0-empty,simd,00000,,,70902862.0,ns,21050136
0-empty,simd,00000,,,72646413.0,ns,21342499
0-empty,simd,00000,,,73030132.0,ns,21634862
0-empty,simd,00000,,,73637512.0,ns,21927225
0-empty,simd,00000,,,74942826.0,ns,22219588
0-empty,simd,00000,,,76114679.0,ns,22511951
0-empty,simd,00000,,,76728647.0,ns,22804314
0-empty,simd,00000,,,80268779.0,ns,23096677
0-empty,simd,00000,,,79165157.0,ns,23389040
0-empty,simd,00000,,,79858364.0,ns,23681403
0-empty,simd,00000,,,80917676.0,ns,23973766
0-empty,simd,00000,,,82082748.0,ns,24266129
0-empty,simd,00000,,,82481627.0,ns,24558492
0-empty,simd,00000,,,83911684.0,ns,24850855
0-empty,simd,00000,,,84545809.0,ns,25143218
0-empty,simd,00000,,,86249346.0,ns,25435581
0-empty,simd,00000,,,87192774.0,ns,25727944
0-empty,simd,00000,,,88465913.0,ns,26020307
0-empty,simd,00000,,,88762898.0,ns,26312670
0-empty,simd,00000,,,89702784.0,ns,26605033
0-empty,simd,00000,,,90896053.0,ns,26897396
0-empty,simd,00000,,,93706061.0,ns,27189759
0-empty,simd,00000,,,92628129.0,ns,27482122
0-empty,simd,00000,,,93676896.0,ns,27774485
0-empty,simd,00000,,,95368446.0,ns,28066848
0-empty,simd,00000,,,95736749.0,ns,28359211
0-empty,simd,00000,,,96529168.0,ns,28651574
0-empty,simd,00000,,,97716780.0,ns,28943937
0-empty,simd,00000,,,98183946.0,ns,29236300
