group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
0-empty,std,00000,,,1018210.0,ns,347629
0-empty,std,00000,,,1999304.0,ns,695258
0-empty,std,00000,,,2938058.0,ns,1042887
0-empty,std,00000,,,3910373.0,ns,1390516
0-empty,std,00000,,,5008091.0,ns,1738145
0-empty,std,00000,,,5973926.0,ns,2085774
0-empty,std,00000,,,7032172.0,ns,2433403
0-empty,std,00000,,,8011105.0,ns,2781032
0-empty,std,00000,,,8839273.0,ns,3128661
0-empty,std,00000,,,9922022.0,ns,3476290
0-empty,std,00000,,,10808602.0,ns,3823919
0-empty,std,00000,,,11870420.0,ns,4171548
0-empty,std,00000,,,12768185.0,ns,4519177
0-empty,std,00000,,,13787689.0,ns,4866806
0-empty,std,00000,,,14894843.0,ns,5214435
0-empty,std,00000,,,15838650.0,ns,5562064
0-empty,std,00000,,,16650740.0,ns,5909693
0-empty,std,00000,,,17676166.0,ns,6257322
0-empty,std,00000,,,18656565.0,ns,6604951
0-empty,std,00000,,,19656574.0,ns,6952580
0-empty,std,00000,,,20876077.0,ns,7300209
0-empty,std,00000,,,21863985.0,ns,7647838
0-empty,std,00000,,,22561288.0,ns,7995467
0-empty,std,00000,,,23557955.0,ns,8343096
0-empty,std,00000,,,24583180.0,ns,8690725
0-empty,std,00000,,,25534750.0,ns,9038354
0-empty,std,00000,,,26634831.0,ns,9385983
0-empty,std,00000,,,27668921.0,ns,9733612
0-empty,std,00000,,,28536976.0,ns,10081241
0-empty,std,00000,,,29617581.0,ns,10428870
0-empty,std,00000,,,30875861.0,ns,10776499
0-empty,std,00000,,,31421910.0,ns,11124128
0-empty,std,00000,,,32462647.0,ns,11471757
0-empty,std,00000,,,33477767.0,ns,11819386
0-empty,std,00000,,,34675839.0,ns,12167015
0-empty,std,00000,,,35538092.0,ns,12514644
0-empty,std,00000,,,36340461.0,ns,12862273
0-empty,std,00000,,,37643997.0,ns,13209902
0-empty,std,00000,,,38623125.0,ns,13557531
0-empty,std,00000,,,39282643.0,ns,13905160
0-empty,std,00000,,,40233195.0,ns,14252789
0-empty,std,00000,,,41591304.0,ns,14600418
0-empty,std,00000,,,42243504.0,ns,14948047
0-empty,std,00000,,,43723110.0,ns,15295676
0-empty,std,00000,,,44238871.0,ns,15643305
0-empty,std,00000,,,45273120.0,ns,15990934
0-empty,std,00000,,,46198224.0,ns,16338563
0-empty,std,00000,,,48146831.0,ns,16686192
0-empty,std,00000,,,48419478.0,ns,17033821
0-empty,std,00000,,,51198555.0,ns,17381450
0-empty,std,00000,,,50845583.0,ns,17729079
0-empty,std,00000,,,51658217.0,ns,18076708
0-empty,std,00000,,,52318290.0,ns,18424337
0-empty,std,00000,,,53330828.0,ns,18771966
0-empty,std,00000,,,54285090.0,ns,19119595
0-empty,std,00000,,,55579130.0,ns,19467224
0-empty,std,00000,,,57348353.0,ns,19814853
0-empty,std,00000,,,58359056.0,ns,20162482
0-empty,std,00000,,,61378950.0,ns,20510111
0-empty,std,00000,,,59045668.0,ns,20857740
0-empty,std,00000,,,60613747.0,ns,21205369
0-empty,std,00000,,,61139108.0,ns,21552998
0-empty,std,00000,,,62351535.0,ns,21900627
0-empty,std,00000,,,62845919.0,ns,22248256
0-empty,std,00000,,,64102201.0,ns,22595885
0-empty,std,00000,,,64999640.0,ns,22943514
0-empty,std,00000,,,66405555.0,ns,23291143
0-empty,std,00000,,,67045809.0,ns,23638772
0-empty,std,00000,,,68117629.0,ns,23986401
0-empty,std,00000,,,68808292.0,ns,24334030
0-empty,std,00000,,,70156665.0,ns,24681659
0-empty,std,00000,,,70959297.0,ns,25029288
0-empty,std,00000,,,72237496.0,ns,25376917
0-empty,std,00000,,,73121293.0,ns,25724546
0-empty,std,00000,,,74400950.0,ns,26072175
0-empty,std,00000,,,75518168.0,ns,26419804
0-empty,std,00000,,,76593446.0,ns,26767433
0-empty,std,00000,,,76828209.0,ns,27115062
0-empty,std,00000,,,78290450.0,ns,27462691
0-empty,std,00000,,,79014480.0,ns,27810320
0-empty,std,00000,,,80126314.0,ns,28157949
0-empty,std,00000,,,82827119.0,ns,28505578
0-empty,std,00000,,,81880899.0,ns,28853207
0-empty,std,00000,,,82906456.0,ns,29200836
0-empty,std,00000,,,83620112.0,ns,29548465
0-empty,std,00000,,,85244074.0,ns,29896094
0-empty,std,00000,,,85780708.0,ns,30243723
0-empty,std,00000,,,86566552.0,ns,30591352
0-empty,std,00000,,,88923204.0,ns,30938981
0-empty,std,00000,,,90259190.0,ns,31286610
0-empty,std,00000,,,89646179.0,ns,31634239
0-empty,std,00000,,,91748884.0,ns,31981868
0-empty,std,00000,,,91790518.0,ns,32329497
0-empty,std,00000,,,94889218.0,ns,32677126
0-empty,std,00000,,,97744522.0,ns,33024755
0-empty,std,00000,,,98811110.0,ns,33372384
0-empty,std,00000,,,99226277.0,ns,33720013
0-empty,std,00000,,,100103804.0,ns,34067642
0-empty,std,00000,,,98607028.0,ns,34415271
0-empty,std,00000,,,98794926.0,ns,34762900
