group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
1-latin,simd,04096,4096,bytes,1018545.0,ns,10894
1-latin,simd,04096,4096,bytes,1974339.0,ns,21788
1-latin,simd,04096,4096,bytes,2930383.0,ns,32682
1-latin,simd,04096,4096,bytes,3940036.0,ns,43576
1-latin,simd,04096,4096,bytes,4882558.0,ns,54470
1-latin,simd,04096,4096,bytes,5875416.0,ns,65364
1-latin,simd,04096,4096,bytes,6878198.0,ns,76258
1-latin,simd,04096,4096,bytes,7828136.0,ns,87152
1-latin,simd,04096,4096,bytes,8796649.0,ns,98046
1-latin,simd,04096,4096,bytes,9896592.0,ns,108940
1-latin,simd,04096,4096,bytes,10850708.0,ns,119834
1-latin,simd,04096,4096,bytes,11839437.0,ns,130728
1-latin,simd,04096,4096,bytes,12831948.0,ns,141622
1-latin,simd,04096,4096,bytes,13730103.0,ns,152516
1-latin,simd,04096,4096,bytes,14878541.0,ns,163410
1-latin,simd,04096,4096,bytes,15821887.0,ns,174304
1-latin,simd,04096,4096,bytes,16770751.0,ns,185198
1-latin,simd,04096,4096,bytes,17632721.0,ns,196092
1-latin,simd,04096,4096,bytes,18602110.0,ns,206986
1-latin,simd,04096,4096,bytes,20141643.0,ns,217880
1-latin,simd,04096,4096,bytes,22166503.0,ns,228774
1-latin,simd,04096,4096,bytes,21615591.0,ns,239668
1-latin,simd,04096,4096,bytes,22641918.0,ns,250562
1-latin,simd,04096,4096,bytes,23661243.0,ns,261456
1-latin,simd,04096,4096,bytes,25003088.0,ns,272350
1-latin,simd,04096,4096,bytes,25727340.0,ns,283244
1-latin,simd,04096,4096,bytes,26613614.0,ns,294138
1-latin,simd,04096,4096,bytes,27539427.0,ns,305032
1-latin,simd,04096,4096,bytes,28574516.0,ns,315926
1-latin,simd,04096,4096,bytes,30344859.0,ns,326820
1-latin,simd,04096,4096,bytes,30727909.0,ns,337714
1-latin,simd,04096,4096,bytes,31779824.0,ns,348608
1-latin,simd,04096,4096,bytes,32400599.0,ns,359502
1-latin,simd,04096,4096,bytes,33361199.0,ns,370396
1-latin,simd,04096,4096,bytes,34444606.0,ns,381290
1-latin,simd,04096,4096,bytes,35491308.0,ns,392184
1-latin,simd,04096,4096,bytes,36556000.0,ns,403078
1-latin,simd,04096,4096,bytes,37700982.0,ns,413972
1-latin,simd,04096,4096,bytes,38448945.0,ns,424866
1-latin,simd,04096,4096,bytes,39053085.0,ns,435760
1-latin,simd,04096,4096,bytes,40561236.0,ns,446654
1-latin,simd,04096,4096,bytes,41255049.0,ns,457548
1-latin,simd,04096,4096,bytes,42528849.0,ns,468442
1-latin,simd,04096,4096,bytes,43406359.0,ns,479336
1-latin,simd,04096,4096,bytes,44463932.0,ns,490230
1-latin,simd,04096,4096,bytes,45357618.0,ns,501124
1-latin,simd,04096,4096,bytes,46219705.0,ns,512018
1-latin,simd,04096,4096,bytes,47219934.0,ns,522912
1-latin,simd,04096,4096,bytes,48543020.0,ns,533806
1-latin,simd,04096,4096,bytes,50150954.0,ns,544700
1-latin,simd,04096,4096,bytes,50199593.0,ns,555594
1-latin,simd,04096,4096,bytes,51022848.0,ns,566488
1-latin,simd,04096,4096,bytes,51945108.0,ns,577382
1-latin,simd,04096,4096,bytes,53366573.0,ns,588276
1-latin,simd,04096,4096,bytes,55287681.0,ns,599170
1-latin,simd,04096,4096,bytes,54878895.0,ns,610064
1-latin,simd,04096,4096,bytes,56206436.0,ns,620958
1-latin,simd,04096,4096,bytes,57676332.0,ns,631852
1-latin,simd,04096,4096,bytes,58024751.0,ns,642746
1-latin,simd,04096,4096,bytes,58810862.0,ns,653640
1-latin,simd,04096,4096,bytes,60634601.0,ns,664534
1-latin,simd,04096,4096,bytes,60834829.0,ns,675428
1-latin,simd,04096,4096,bytes,62301930.0,ns,686322
1-latin,simd,04096,4096,bytes,62830807.0,ns,697216
1-latin,simd,04096,4096,bytes,63907426.0,ns,708110
1-latin,simd,04096,4096,bytes,64899709.0,ns,719004
1-latin,simd,04096,4096,bytes,67670962.0,ns,729898
1-latin,simd,04096,4096,bytes,66771346.0,ns,740792
1-latin,simd,04096,4096,bytes,68006615.0,ns,751686
1-latin,simd,04096,4096,bytes,68816113.0,ns,762580
1-latin,simd,04096,4096,bytes,70294837.0,ns,773474
1-latin,simd,04096,4096,bytes,70782099.0,ns,784368
1-latin,simd,04096,4096,bytes,72046678.0,ns,795262
1-latin,simd,04096,4096,bytes,73002343.0,ns,806156
