group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
1-latin,std,00064,64,bytes,1029901.0,ns,63189
1-latin,std,00064,64,bytes,1958741.0,ns,126378
1-latin,std,00064,64,bytes,2973142.0,ns,189567
1-latin,std,00064,64,bytes,3917251.0,ns,252756
1-latin,std,00064,64,bytes,4953852.0,ns,315945
1-latin,std,00064,64,bytes,5829517.0,ns,379134
1-latin,std,00064,64,bytes,6891127.0,ns,442323
1-latin,std,00064,64,bytes,7946711.0,ns,505512
1-latin,std,00064,64,bytes,8799608.0,ns,568701
1-latin,std,00064,64,bytes,9901517.0,ns,631890
1-latin,std,00064,64,bytes,10791040.0,ns,695079
1-latin,std,00064,64,bytes,11766586.0,ns,758268
1-latin,std,00064,64,bytes,12892543.0,ns,821457
1-latin,std,00064,64,bytes,13806386.0,ns,884646
1-latin,std,00064,64,bytes,14787885.0,ns,947835
1-latin,std,00064,64,bytes,15745295.0,ns,1011024
1-latin,std,00064,64,bytes,16770895.0,ns,1074213
1-latin,std,00064,64,bytes,17892852.0,ns,1137402
1-latin,std,00064,64,bytes,19058941.0,ns,1200591
1-latin,std,00064,64,bytes,19594632.0,ns,1263780
1-latin,std,00064,64,bytes,20720094.0,ns,1326969
1-latin,std,00064,64,bytes,21576359.0,ns,1390158
1-latin,std,00064,64,bytes,22617340.0,ns,1453347
1-latin,std,00064,64,bytes,23650030.0,ns,1516536
1-latin,std,00064,64,bytes,24571926.0,ns,1579725
1-latin,std,00064,64,bytes,25559656.0,ns,1642914
1-latin,std,00064,64,bytes,26646330.0,ns,1706103
1-latin,std,00064,64,bytes,28340221.0,ns,1769292
1-latin,std,00064,64,bytes,28471333.0,ns,1832481
1-latin,std,00064,64,bytes,29950956.0,ns,1895670
1-latin,std,00064,64,bytes,30579082.0,ns,1958859
1-latin,std,00064,64,bytes,31295752.0,ns,2022048
1-latin,std,00064,64,bytes,32621262.0,ns,2085237
1-latin,std,00064,64,bytes,33552056.0,ns,2148426
1-latin,std,00064,64,bytes,34660729.0,ns,2211615
1-latin,std,00064,64,bytes,35384845.0,ns,2274804
1-latin,std,00064,64,bytes,36903309.0,ns,2337993
1-latin,std,00064,64,bytes,38261671.0,ns,2401182
1-latin,std,00064,64,bytes,38567014.0,ns,2464371
1-latin,std,00064,64,bytes,39537379.0,ns,2527560
1-latin,std,00064,64,bytes,43883386.0,ns,2590749
1-latin,std,00064,64,bytes,41583329.0,ns,2653938
1-latin,std,00064,64,bytes,42830161.0,ns,2717127
1-latin,std,00064,64,bytes,43580879.0,ns,2780316
1-latin,std,00064,64,bytes,44797733.0,ns,2843505
1-latin,std,00064,64,bytes,45633178.0,ns,2906694
1-latin,std,00064,64,bytes,46689423.0,ns,2969883
1-latin,std,00064,64,bytes,47233880.0,ns,3033072
1-latin,std,00064,64,bytes,49822353.0,ns,3096261
1-latin,std,00064,64,bytes,49482723.0,ns,3159450
1-latin,std,00064,64,bytes,50773125.0,ns,3222639
1-latin,std,00064,64,bytes,52128546.0,ns,3285828
1-latin,std,00064,64,bytes,52836076.0,ns,3349017
1-latin,std,00064,64,bytes,53970747.0,ns,3412206
1-latin,std,00064,64,bytes,54443234.0,ns,3475395
1-latin,std,00064,64,bytes,55322077.0,ns,3538584
1-latin,std,00064,64,bytes,56367991.0,ns,3601773
1-latin,std,00064,64,bytes,57712160.0,ns,3664962
1-latin,std,00064,64,bytes,58357805.0,ns,3728151
1-latin,std,00064,64,bytes,59314556.0,ns,3791340
1-latin,std,00064,64,bytes,59966139.0,ns,3854529
1-latin,std,00064,64,bytes,61761757.0,ns,3917718
1-latin,std,00064,64,bytes,62156532.0,ns,3980907
1-latin,std,00064,64,bytes,62728866.0,ns,4044096
1-latin,std,00064,64,bytes,64045070.0,ns,4107285
1-latin,std,00064,64,bytes,66268217.0,ns,4170474
1-latin,std,00064,64,bytes,66066149.0,ns,4233663
1-latin,std,00064,64,bytes,67399451.0,ns,4296852
1-latin,std,00064,64,bytes,68911204.0,ns,4360041
1-latin,std,00064,64,bytes,69156361.0,ns,4423230
1-latin,std,00064,64,bytes,69825185.0,ns,4486419
1-latin,std,00064,64,bytes,70740000.0,ns,4549608
1-latin,std,00064,64,bytes,71976045.0,ns,4612797
1-latin,std,00064,64,bytes,73408758.0,ns,4675986
1-latin,std,00064,64,bytes,74070380.0,ns,4739175
1-latin,std,00064,64,bytes,74748386.0,ns,4802364
1-latin,std,00064,64,bytes,75597797.0,ns,4865553
1-latin,std,00064,64,bytes,76632308.0,ns,4928742
1-latin,std,00064,64,bytes,77843663.0,ns,4991931
1-latin,std,00064,64,bytes,80279631.0,ns,5055120
1-latin,std,00064,64,bytes,80302401.0,ns,5118309
1-latin,std,00064,64,bytes,80917182.0,ns,5181498
1-latin,std,00064,64,bytes,82418660.0,ns,5244687
1-latin,std,00064,64,bytes,82920617.0,ns,5307876
1-latin,std,00064,64,bytes,83779816.0,ns,5371065
