group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
2-cyrillic,simd,00002,2,bytes,1014138.0,ns,51186
2-cyrillic,simd,00002,2,bytes,1943113.0,ns,102372
2-cyrillic,simd,00002,2,bytes,2938225.0,ns,153558
2-cyrillic,simd,00002,2,bytes,3975940.0,ns,204744
2-cyrillic,simd,00002,2,bytes,4880730.0,ns,255930
2-cyrillic,simd,00002,2,bytes,5833416.0,ns,307116
2-cyrillic,simd,00002,2,bytes,6804199.0,ns,358302
2-cyrillic,simd,00002,2,bytes,7792925.0,ns,409488
2-cyrillic,simd,00002,2,bytes,8838871.0,ns,460674
2-cyrillic,simd,00002,2,bytes,9738423.0,ns,511860
2-cyrillic,simd,00002,2,bytes,10753344.0,ns,563046
2-cyrillic,simd,00002,2,bytes,11725585.0,ns,614232
2-cyrillic,simd,00002,2,bytes,12693651.0,ns,665418
2-cyrillic,simd,00002,2,bytes,13940900.0,ns,716604
2-cyrillic,simd,00002,2,bytes,14654477.0,ns,767790
2-cyrillic,simd,00002,2,bytes,15595126.0,ns,818976
2-cyrillic,simd,00002,2,bytes,16631297.0,ns,870162
2-cyrillic,simd,00002,2,bytes,17664948.0,ns,921348
2-cyrillic,simd,00002,2,bytes,18600246.0,ns,972534
2-cyrillic,simd,00002,2,bytes,19580357.0,ns,1023720
2-cyrillic,simd,00002,2,bytes,20475923.0,ns,1074906
2-cyrillic,simd,00002,2,bytes,21404198.0,ns,1126092
2-cyrillic,simd,00002,2,bytes,22569736.0,ns,1177278
2-cyrillic,simd,00002,2,bytes,23404003.0,ns,1228464
2-cyrillic,simd,00002,2,bytes,24337004.0,ns,1279650
2-cyrillic,simd,00002,2,bytes,25349215.0,ns,1330836
2-cyrillic,simd,00002,2,bytes,26850675.0,ns,1382022
2-cyrillic,simd,00002,2,bytes,27452473.0,ns,1433208
2-cyrillic,simd,00002,2,bytes,28344284.0,ns,1484394
2-cyrillic,simd,00002,2,bytes,29196706.0,ns,1535580
2-cyrillic,simd,00002,2,bytes,30216652.0,ns,1586766
2-cyrillic,simd,00002,2,bytes,31350944.0,ns,1637952
2-cyrillic,simd,00002,2,bytes,32151851.0,ns,1689138
2-cyrillic,simd,00002,2,bytes,33321410.0,ns,1740324
2-cyrillic,simd,00002,2,bytes,34579093.0,ns,1791510
2-cyrillic,simd,00002,2,bytes,35071471.0,ns,1842696
2-cyrillic,simd,00002,2,bytes,36081992.0,ns,1893882
2-cyrillic,simd,00002,2,bytes,37016541.0,ns,1945068
2-cyrillic,simd,00002,2,bytes,38033289.0,ns,1996254
2-cyrillic,simd,00002,2,bytes,39116536.0,ns,2047440
2-cyrillic,simd,00002,2,bytes,40030994.0,ns,2098626
2-cyrillic,simd,00002,2,bytes,43301583.0,ns,2149812
2-cyrillic,simd,00002,2,bytes,43905682.0,ns,2200998
2-cyrillic,simd,00002,2,bytes,42889287.0,ns,2252184
2-cyrillic,simd,00002,2,bytes,44336963.0,ns,2303370
2-cyrillic,simd,00002,2,bytes,45741227.0,ns,2354556
