group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
2-cyrillic,std,04096,4096,bytes,1029233.0,ns,264
2-cyrillic,std,04096,4096,bytes,1978219.0,ns,528
2-cyrillic,std,04096,4096,bytes,2970841.0,ns,792
2-cyrillic,std,04096,4096,bytes,3944623.0,ns,1056
2-cyrillic,std,04096,4096,bytes,4996315.0,ns,1320
2-cyrillic,std,04096,4096,bytes,5994203.0,ns,1584
2-cyrillic,std,04096,4096,bytes,6937528.0,ns,1848
2-cyrillic,std,04096,4096,bytes,7907814.0,ns,2112
2-cyrillic,std,04096,4096,bytes,8891638.0,ns,2376
2-cyrillic,std,04096,4096,bytes,9902964.0,ns,2640
2-cyrillic,std,04096,4096,bytes,10965390.0,ns,2904
2-cyrillic,std,04096,4096,bytes,12463451.0,ns,3168
2-cyrillic,std,04096,4096,bytes,13565885.0,ns,3432
2-cyrillic,std,04096,4096,bytes,14629942.0,ns,3696
2-cyrillic,std,04096,4096,bytes,14664587.0,ns,3960
2-cyrillic,std,04096,4096,bytes,15613769.0,ns,4224
2-cyrillic,std,04096,4096,bytes,16710613.0,ns,4488
2-cyrillic,std,04096,4096,bytes,17617301.0,ns,4752
2-cyrillic,std,04096,4096,bytes,18757524.0,ns,5016
2-cyrillic,std,04096,4096,bytes,19722902.0,ns,5280
2-cyrillic,std,04096,4096,bytes,21099459.0,ns,5544
2-cyrillic,std,04096,4096,bytes,21774139.0,ns,5808
2-cyrillic,std,04096,4096,bytes,23352812.0,ns,6072
2-cyrillic,std,04096,4096,bytes,23843045.0,ns,6336
2-cyrillic,std,04096,4096,bytes,24526235.0,ns,6600
2-cyrillic,std,04096,4096,bytes,25634621.0,ns,6864
2-cyrillic,std,04096,4096,bytes,26675051.0,ns,7128
2-cyrillic,std,04096,4096,bytes,27494698.0,ns,7392
2-cyrillic,std,04096,4096,bytes,28623351.0,ns,7656
2-cyrillic,std,04096,4096,bytes,29854849.0,ns,7920
2-cyrillic,std,04096,4096,bytes,30398965.0,ns,8184
2-cyrillic,std,04096,4096,bytes,31507460.0,ns,8448
2-cyrillic,std,04096,4096,bytes,32521919.0,ns,8712
2-cyrillic,std,04096,4096,bytes,33640503.0,ns,8976
2-cyrillic,std,04096,4096,bytes,34756362.0,ns,9240
2-cyrillic,std,04096,4096,bytes,35335911.0,ns,9504
2-cyrillic,std,04096,4096,bytes,36489733.0,ns,9768
2-cyrillic,std,04096,4096,bytes,37178400.0,ns,10032
2-cyrillic,std,04096,4096,bytes,37960494.0,ns,10296
2-cyrillic,std,04096,4096,bytes,39231066.0,ns,10560
2-cyrillic,std,04096,4096,bytes,40435625.0,ns,10824
2-cyrillic,std,04096,4096,bytes,41622214.0,ns,11088
2-cyrillic,std,04096,4096,bytes,42310446.0,ns,11352
2-cyrillic,std,04096,4096,bytes,43448664.0,ns,11616
2-cyrillic,std,04096,4096,bytes,44135252.0,ns,11880
2-cyrillic,std,04096,4096,bytes,44881717.0,ns,12144
2-cyrillic,std,04096,4096,bytes,45879301.0,ns,12408
2-cyrillic,std,04096,4096,bytes,47436934.0,ns,12672
2-cyrillic,std,04096,4096,bytes,48476511.0,ns,12936
2-cyrillic,std,04096,4096,bytes,48502430.0,ns,13200
2-cyrillic,std,04096,4096,bytes,49828039.0,ns,13464
2-cyrillic,std,04096,4096,bytes,50846621.0,ns,13728
2-cyrillic,std,04096,4096,bytes,51977227.0,ns,13992
2-cyrillic,std,04096,4096,bytes,53494673.0,ns,14256
2-cyrillic,std,04096,4096,bytes,53723346.0,ns,14520
2-cyrillic,std,04096,4096,bytes,54943262.0,ns,14784
2-cyrillic,std,04096,4096,bytes,56176578.0,ns,15048
2-cyrillic,std,04096,4096,bytes,56866938.0,ns,15312
2-cyrillic,std,04096,4096,bytes,57753617.0,ns,15576
2-cyrillic,std,04096,4096,bytes,58720069.0,ns,15840
2-cyrillic,std,04096,4096,bytes,59867688.0,ns,16104
2-cyrillic,std,04096,4096,bytes,60730990.0,ns,16368
2-cyrillic,std,04096,4096,bytes,62062993.0,ns,16632
2-cyrillic,std,04096,4096,bytes,62793571.0,ns,16896
2-cyrillic,std,04096,4096,bytes,64022414.0,ns,17160
2-cyrillic,std,04096,4096,bytes,65739712.0,ns,17424
2-cyrillic,std,04096,4096,bytes,68639990.0,ns,17688
2-cyrillic,std,04096,4096,bytes,67474575.0,ns,17952
2-cyrillic,std,04096,4096,bytes,68706634.0,ns,18216
2-cyrillic,std,04096,4096,bytes,69615033.0,ns,18480
2-cyrillic,std,04096,4096,bytes,69881612.0,ns,18744
2-cyrillic,std,04096,4096,bytes,70348866.0,ns,19008
2-cyrillic,std,04096,4096,bytes,72267671.0,ns,19272
2-cyrillic,std,04096,4096,bytes,73652346.0,ns,19536
2-cyrillic,std,04096,4096,bytes,73851669.0,ns,19800
2-cyrillic,std,04096,4096,bytes,75386887.0,ns,20064
2-cyrillic,std,04096,4096,bytes,76111051.0,ns,20328
2-cyrillic,std,04096,4096,bytes,77008782.0,ns,20592
2-cyrillic,std,04096,4096,bytes,77425512.0,ns,20856
2-cyrillic,std,04096,4096,bytes,78198002.0,ns,21120
2-cyrillic,std,04096,4096,bytes,79709845.0,ns,21384
2-cyrillic,std,04096,4096,bytes,84110654.0,ns,21648
2-cyrillic,std,04096,4096,bytes,81365604.0,ns,21912
2-cyrillic,std,04096,4096,bytes,82415017.0,ns,22176
2-cyrillic,std,04096,4096,bytes,84155212.0,ns,22440
2-cyrillic,std,04096,4096,bytes,84706630.0,ns,22704
2-cyrillic,std,04096,4096,bytes,86331154.0,ns,22968
2-cyrillic,std,04096,4096,bytes,87563562.0,ns,23232
2-cyrillic,std,04096,4096,bytes,88071921.0,ns,23496
2-cyrillic,std,04096,4096,bytes,88878275.0,ns,23760
2-cyrillic,std,04096,4096,bytes,89668153.0,ns,24024
2-cyrillic,std,04096,4096,bytes,91514973.0,ns,24288
2-cyrillic,std,04096,4096,bytes,94077296.0,ns,24552
2-cyrillic,std,04096,4096,bytes,92092531.0,ns,24816
2-cyrillic,std,04096,4096,bytes,93736355.0,ns,25080
2-cyrillic,std,04096,4096,bytes,95067285.0,ns,25344
2-cyrillic,std,04096,4096,bytes,94242522.0,ns,25608
2-cyrillic,std,04096,4096,bytes,95696408.0,ns,25872
2-cyrillic,std,04096,4096,bytes,96399090.0,ns,26136
2-cyrillic,std,04096,4096,bytes,97784952.0,ns,26400
