group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
3-chinese,simd,00003,3,bytes,1019212.0,ns,56582
3-chinese,simd,00003,3,bytes,1954021.0,ns,113164
3-chinese,simd,00003,3,bytes,2934243.0,ns,169746
3-chinese,simd,00003,3,bytes,3929199.0,ns,226328
3-chinese,simd,00003,3,bytes,4907946.0,ns,282910
3-chinese,simd,00003,3,bytes,5866329.0,ns,339492
3-chinese,simd,00003,3,bytes,6903236.0,ns,396074
3-chinese,simd,00003,3,bytes,8533124.0,ns,452656
3-chinese,simd,00003,3,bytes,9570922.0,ns,509238
3-chinese,simd,00003,3,bytes,10635566.0,ns,565820
3-chinese,simd,00003,3,bytes,11035367.0,ns,622402
3-chinese,simd,00003,3,bytes,11750693.0,ns,678984
3-chinese,simd,00003,3,bytes,12837456.0,ns,735566
3-chinese,simd,00003,3,bytes,14001476.0,ns,792148
3-chinese,simd,00003,3,bytes,14704468.0,ns,848730
3-chinese,simd,00003,3,bytes,15700287.0,ns,905312
3-chinese,simd,00003,3,bytes,16680042.0,ns,961894
3-chinese,simd,00003,3,bytes,17612524.0,ns,1018476
3-chinese,simd,00003,3,bytes,18590689.0,ns,1075058
3-chinese,simd,00003,3,bytes,19609627.0,ns,1131640
3-chinese,simd,00003,3,bytes,20607679.0,ns,1188222
3-chinese,simd,00003,3,bytes,21551822.0,ns,1244804
3-chinese,simd,00003,3,bytes,22648567.0,ns,1301386
3-chinese,simd,00003,3,bytes,24747944.0,ns,1357968
3-chinese,simd,00003,3,bytes,24567029.0,ns,1414550
3-chinese,simd,00003,3,bytes,26816284.0,ns,1471132
3-chinese,simd,00003,3,bytes,27259032.0,ns,1527714
3-chinese,simd,00003,3,bytes,28990153.0,ns,1584296
3-chinese,simd,00003,3,bytes,29424430.0,ns,1640878
3-chinese,simd,00003,3,bytes,29496854.0,ns,1697460
3-chinese,simd,00003,3,bytes,30584057.0,ns,1754042
3-chinese,simd,00003,3,bytes,31455580.0,ns,1810624
3-chinese,simd,00003,3,bytes,32399468.0,ns,1867206
3-chinese,simd,00003,3,bytes,33344568.0,ns,1923788
3-chinese,simd,00003,3,bytes,34575679.0,ns,1980370
3-chinese,simd,00003,3,bytes,35247963.0,ns,2036952
3-chinese,simd,00003,3,bytes,36265627.0,ns,2093534
3-chinese,simd,00003,3,bytes,38053072.0,ns,2150116
3-chinese,simd,00003,3,bytes,38380314.0,ns,2206698
3-chinese,simd,00003,3,bytes,39713899.0,ns,2263280
3-chinese,simd,00003,3,bytes,40573727.0,ns,2319862
3-chinese,simd,00003,3,bytes,41393525.0,ns,2376444
3-chinese,simd,00003,3,bytes,42154296.0,ns,2433026
3-chinese,simd,00003,3,bytes,43171125.0,ns,2489608
3-chinese,simd,00003,3,bytes,44155750.0,ns,2546190
3-chinese,simd,00003,3,bytes,45157437.0,ns,2602772
3-chinese,simd,00003,3,bytes,46456783.0,ns,2659354
3-chinese,simd,00003,3,bytes,47301118.0,ns,2715936
3-chinese,simd,00003,3,bytes,47974243.0,ns,2772518
3-chinese,simd,00003,3,bytes,49484286.0,ns,2829100
3-chinese,simd,00003,3,bytes,50187347.0,ns,2885682
3-chinese,simd,00003,3,bytes,51249621.0,ns,2942264
3-chinese,simd,00003,3,bytes,51928099.0,ns,2998846
3-chinese,simd,00003,3,bytes,52908893.0,ns,3055428
3-chinese,simd,00003,3,bytes,54168990.0,ns,3112010
3-chinese,simd,00003,3,bytes,60067978.0,ns,3168592
3-chinese,simd,00003,3,bytes,56245266.0,ns,3225174
3-chinese,simd,00003,3,bytes,57312900.0,ns,3281756
3-chinese,simd,00003,3,bytes,58111805.0,ns,3338338
3-chinese,simd,00003,3,bytes,58947637.0,ns,3394920
3-chinese,simd,00003,3,bytes,60101310.0,ns,3451502
3-chinese,simd,00003,3,bytes,60787756.0,ns,3508084
3-chinese,simd,00003,3,bytes,61977176.0,ns,3564666
3-chinese,simd,00003,3,bytes,62830107.0,ns,3621248
3-chinese,simd,00003,3,bytes,64821746.0,ns,3677830
3-chinese,simd,00003,3,bytes,67349249.0,ns,3734412
3-chinese,simd,00003,3,bytes,66073967.0,ns,3790994
3-chinese,simd,00003,3,bytes,67328165.0,ns,3847576
3-chinese,simd,00003,3,bytes,68140098.0,ns,3904158
3-chinese,simd,00003,3,bytes,68843237.0,ns,3960740
3-chinese,simd,00003,3,bytes,69686629.0,ns,4017322
3-chinese,simd,00003,3,bytes,70627876.0,ns,4073904
3-chinese,simd,00003,3,bytes,71906926.0,ns,4130486
3-chinese,simd,00003,3,bytes,72540135.0,ns,4187068
3-chinese,simd,00003,3,bytes,73534309.0,ns,4243650
3-chinese,simd,00003,3,bytes,75203883.0,ns,4300232
3-chinese,simd,00003,3,bytes,75490722.0,ns,4356814
3-chinese,simd,00003,3,bytes,76548970.0,ns,4413396
3-chinese,simd,00003,3,bytes,78079429.0,ns,4469978
3-chinese,simd,00003,3,bytes,78459404.0,ns,4526560
3-chinese,simd,00003,3,bytes,80154262.0,ns,4583142
3-chinese,simd,00003,3,bytes,80870973.0,ns,4639724
3-chinese,simd,00003,3,bytes,81390514.0,ns,4696306
3-chinese,simd,00003,3,bytes,82471301.0,ns,4752888
3-chinese,simd,00003,3,bytes,83594335.0,ns,4809470
3-chinese,simd,00003,3,bytes,84383032.0,ns,4866052
3-chinese,simd,00003,3,bytes,86226103.0,ns,4922634
3-chinese,simd,00003,3,bytes,87031505.0,ns,4979216
3-chinese,simd,00003,3,bytes,87488443.0,ns,5035798
3-chinese,simd,00003,3,bytes,89119238.0,ns,5092380
3-chinese,simd,00003,3,bytes,89811789.0,ns,5148962
3-chinese,simd,00003,3,bytes,90432166.0,ns,5205544
3-chinese,simd,00003,3,bytes,95700452.0,ns,5262126
3-chinese,simd,00003,3,bytes,95981539.0,ns,5318708
3-chinese,simd,00003,3,bytes,95798791.0,ns,5375290
3-chinese,simd,00003,3,bytes,95116988.0,ns,5431872
3-chinese,simd,00003,3,bytes,95880130.0,ns,5488454
3-chinese,simd,00003,3,bytes,96197152.0,ns,5545036
3-chinese,simd,00003,3,bytes,97628750.0,ns,5601618
3-chinese,simd,00003,3,bytes,98090590.0,ns,5658200
