group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
3-chinese,std,00003,3,bytes,1042787.0,ns,167816
3-chinese,std,00003,3,bytes,1965090.0,ns,335632
3-chinese,std,00003,3,bytes,2943606.0,ns,503448
3-chinese,std,00003,3,bytes,3926342.0,ns,671264
3-chinese,std,00003,3,bytes,4980476.0,ns,839080
3-chinese,std,00003,3,bytes,7549229.0,ns,1006896
3-chinese,std,00003,3,bytes,8495909.0,ns,1174712
3-chinese,std,00003,3,bytes,8735325.0,ns,1342528
3-chinese,std,00003,3,bytes,8877413.0,ns,1510344
3-chinese,std,00003,3,bytes,9942885.0,ns,1678160
3-chinese,std,00003,3,bytes,10877292.0,ns,1845976
3-chinese,std,00003,3,bytes,11907073.0,ns,2013792
3-chinese,std,00003,3,bytes,12924507.0,ns,2181608
3-chinese,std,00003,3,bytes,14033637.0,ns,2349424
3-chinese,std,00003,3,bytes,14863122.0,ns,2517240
3-chinese,std,00003,3,bytes,15808789.0,ns,2685056
3-chinese,std,00003,3,bytes,16843570.0,ns,2852872
3-chinese,std,00003,3,bytes,18082325.0,ns,3020688
3-chinese,std,00003,3,bytes,18755855.0,ns,3188504
3-chinese,std,00003,3,bytes,19759620.0,ns,3356320
3-chinese,std,00003,3,bytes,20745991.0,ns,3524136
3-chinese,std,00003,3,bytes,21740456.0,ns,3691952
3-chinese,std,00003,3,bytes,23022956.0,ns,3859768
3-chinese,std,00003,3,bytes,23747250.0,ns,4027584
3-chinese,std,00003,3,bytes,24703068.0,ns,4195400
3-chinese,std,00003,3,bytes,25735144.0,ns,4363216
3-chinese,std,00003,3,bytes,26668353.0,ns,4531032
3-chinese,std,00003,3,bytes,27503371.0,ns,4698848
3-chinese,std,00003,3,bytes,28510027.0,ns,4866664
3-chinese,std,00003,3,bytes,30711005.0,ns,5034480
3-chinese,std,00003,3,bytes,31189078.0,ns,5202296
3-chinese,std,00003,3,bytes,32491568.0,ns,5370112
3-chinese,std,00003,3,bytes,33753322.0,ns,5537928
3-chinese,std,00003,3,bytes,34127677.0,ns,5705744
3-chinese,std,00003,3,bytes,34538840.0,ns,5873560
3-chinese,std,00003,3,bytes,35509769.0,ns,6041376
3-chinese,std,00003,3,bytes,36522989.0,ns,6209192
3-chinese,std,00003,3,bytes,37492232.0,ns,6377008
3-chinese,std,00003,3,bytes,38812864.0,ns,6544824
3-chinese,std,00003,3,bytes,39917386.0,ns,6712640
3-chinese,std,00003,3,bytes,43149132.0,ns,6880456
3-chinese,std,00003,3,bytes,41461215.0,ns,7048272
3-chinese,std,00003,3,bytes,42636045.0,ns,7216088
3-chinese,std,00003,3,bytes,43458606.0,ns,7383904
3-chinese,std,00003,3,bytes,44850068.0,ns,7551720
3-chinese,std,00003,3,bytes,45557677.0,ns,7719536
3-chinese,std,00003,3,bytes,46285581.0,ns,7887352
3-chinese,std,00003,3,bytes,47406325.0,ns,8055168
3-chinese,std,00003,3,bytes,48327526.0,ns,8222984
3-chinese,std,00003,3,bytes,49455094.0,ns,8390800
