group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
32 umlauts - stdlib,,,,,1021373.0,ns,17593
32 umlauts - stdlib,,,,,1997756.0,ns,35186
32 umlauts - stdlib,,,,,2939883.0,ns,52779
32 umlauts - stdlib,,,,,3942694.0,ns,70372
32 umlauts - stdlib,,,,,4928051.0,ns,87965
32 umlauts - stdlib,,,,,5904899.0,ns,105558
32 umlauts - stdlib,,,,,6883907.0,ns,123151
32 umlauts - stdlib,,,,,7797898.0,ns,140744
32 umlauts - stdlib,,,,,8886919.0,ns,158337
32 umlauts - stdlib,,,,,10440069.0,ns,175930
32 umlauts - stdlib,,,,,11243688.0,ns,193523
32 umlauts - stdlib,,,,,12099422.0,ns,211116
32 umlauts - stdlib,,,,,13245283.0,ns,228709
32 umlauts - stdlib,,,,,13867646.0,ns,246302
32 umlauts - stdlib,,,,,15073520.0,ns,263895
32 umlauts - stdlib,,,,,15908566.0,ns,281488
32 umlauts - stdlib,,,,,17188528.0,ns,299081
32 umlauts - stdlib,,,,,18098523.0,ns,316674
32 umlauts - stdlib,,,,,18920149.0,ns,334267
32 umlauts - stdlib,,,,,19876854.0,ns,351860
32 umlauts - stdlib,,,,,20615125.0,ns,369453
32 umlauts - stdlib,,,,,21762872.0,ns,387046
32 umlauts - stdlib,,,,,22653038.0,ns,404639
32 umlauts - stdlib,,,,,23509814.0,ns,422232
32 umlauts - stdlib,,,,,24592676.0,ns,439825
32 umlauts - stdlib,,,,,25376960.0,ns,457418
32 umlauts - stdlib,,,,,26405680.0,ns,475011
32 umlauts - stdlib,,,,,27378561.0,ns,492604
32 umlauts - stdlib,,,,,29046524.0,ns,510197
32 umlauts - stdlib,,,,,29494662.0,ns,527790
32 umlauts - stdlib,,,,,30681665.0,ns,545383
32 umlauts - stdlib,,,,,31709337.0,ns,562976
32 umlauts - stdlib,,,,,32324207.0,ns,580569
32 umlauts - stdlib,,,,,33359833.0,ns,598162
32 umlauts - stdlib,,,,,34480734.0,ns,615755
32 umlauts - stdlib,,,,,35642529.0,ns,633348
32 umlauts - stdlib,,,,,36373094.0,ns,650941
32 umlauts - stdlib,,,,,37424359.0,ns,668534
32 umlauts - stdlib,,,,,38499007.0,ns,686127
32 umlauts - stdlib,,,,,39470366.0,ns,703720
32 umlauts - stdlib,,,,,39994774.0,ns,721313
32 umlauts - stdlib,,,,,41032430.0,ns,738906
32 umlauts - stdlib,,,,,43856658.0,ns,756499
32 umlauts - stdlib,,,,,44870370.0,ns,774092
32 umlauts - stdlib,,,,,44352951.0,ns,791685
32 umlauts - stdlib,,,,,45374916.0,ns,809278
32 umlauts - stdlib,,,,,46596210.0,ns,826871
32 umlauts - stdlib,,,,,47187766.0,ns,844464
32 umlauts - stdlib,,,,,47952674.0,ns,862057
32 umlauts - stdlib,,,,,49410576.0,ns,879650
32 umlauts - stdlib,,,,,49935490.0,ns,897243
32 umlauts - stdlib,,,,,51169938.0,ns,914836
32 umlauts - stdlib,,,,,52143471.0,ns,932429
32 umlauts - stdlib,,,,,52954293.0,ns,950022
32 umlauts - stdlib,,,,,54219716.0,ns,967615
32 umlauts - stdlib,,,,,54912396.0,ns,985208
32 umlauts - stdlib,,,,,55875172.0,ns,1002801
32 umlauts - stdlib,,,,,56956581.0,ns,1020394
32 umlauts - stdlib,,,,,57950520.0,ns,1037987
32 umlauts - stdlib,,,,,59401479.0,ns,1055580
32 umlauts - stdlib,,,,,59761146.0,ns,1073173
32 umlauts - stdlib,,,,,62084662.0,ns,1090766
32 umlauts - stdlib,,,,,64293896.0,ns,1108359
32 umlauts - stdlib,,,,,63364408.0,ns,1125952
32 umlauts - stdlib,,,,,63853934.0,ns,1143545
32 umlauts - stdlib,,,,,65071453.0,ns,1161138
32 umlauts - stdlib,,,,,65533882.0,ns,1178731
32 umlauts - stdlib,,,,,71877615.0,ns,1196324
32 umlauts - stdlib,,,,,67678816.0,ns,1213917
32 umlauts - stdlib,,,,,70406752.0,ns,1231510
32 umlauts - stdlib,,,,,70098172.0,ns,1249103
32 umlauts - stdlib,,,,,71508206.0,ns,1266696
32 umlauts - stdlib,,,,,72094401.0,ns,1284289
32 umlauts - stdlib,,,,,73429717.0,ns,1301882
32 umlauts - stdlib,,,,,73722082.0,ns,1319475
32 umlauts - stdlib,,,,,74494923.0,ns,1337068
32 umlauts - stdlib,,,,,75834176.0,ns,1354661
32 umlauts - stdlib,,,,,76818069.0,ns,1372254
32 umlauts - stdlib,,,,,77772005.0,ns,1389847
32 umlauts - stdlib,,,,,78871848.0,ns,1407440
32 umlauts - stdlib,,,,,79528164.0,ns,1425033
32 umlauts - stdlib,,,,,80699015.0,ns,1442626
32 umlauts - stdlib,,,,,82005455.0,ns,1460219
32 umlauts - stdlib,,,,,82708116.0,ns,1477812
32 umlauts - stdlib,,,,,83866657.0,ns,1495405
32 umlauts - stdlib,,,,,84848436.0,ns,1512998
32 umlauts - stdlib,,,,,85838032.0,ns,1530591
32 umlauts - stdlib,,,,,85958977.0,ns,1548184
32 umlauts - stdlib,,,,,91208272.0,ns,1565777
32 umlauts - stdlib,,,,,89193428.0,ns,1583370
32 umlauts - stdlib,,,,,90356726.0,ns,1600963
32 umlauts - stdlib,,,,,90828370.0,ns,1618556
32 umlauts - stdlib,,,,,93821203.0,ns,1636149
32 umlauts - stdlib,,,,,95944651.0,ns,1653742
32 umlauts - stdlib,,,,,95058749.0,ns,1671335
32 umlauts - stdlib,,,,,96213491.0,ns,1688928
32 umlauts - stdlib,,,,,95328330.0,ns,1706521
32 umlauts - stdlib,,,,,96455959.0,ns,1724114
32 umlauts - stdlib,,,,,97557164.0,ns,1741707
32 umlauts - stdlib,,,,,98700221.0,ns,1759300
