group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
32 umlauts,,,,,996109.0,ns,43214
32 umlauts,,,,,1900143.0,ns,86428
32 umlauts,,,,,2852384.0,ns,129642
32 umlauts,,,,,3801306.0,ns,172856
32 umlauts,,,,,4791046.0,ns,216070
32 umlauts,,,,,5702127.0,ns,259284
32 umlauts,,,,,6706924.0,ns,302498
32 umlauts,,,,,7698201.0,ns,345712
32 umlauts,,,,,8675551.0,ns,388926
32 umlauts,,,,,9545539.0,ns,432140
32 umlauts,,,,,10479384.0,ns,475354
32 umlauts,,,,,11420104.0,ns,518568
32 umlauts,,,,,12330645.0,ns,561782
32 umlauts,,,,,13324130.0,ns,604996
32 umlauts,,,,,14279580.0,ns,648210
32 umlauts,,,,,15486803.0,ns,691424
32 umlauts,,,,,16265779.0,ns,734638
32 umlauts,,,,,17127110.0,ns,777852
32 umlauts,,,,,18077573.0,ns,821066
32 umlauts,,,,,19090443.0,ns,864280
32 umlauts,,,,,19971028.0,ns,907494
32 umlauts,,,,,20957288.0,ns,950708
32 umlauts,,,,,21912901.0,ns,993922
32 umlauts,,,,,22910412.0,ns,1037136
32 umlauts,,,,,23859777.0,ns,1080350
32 umlauts,,,,,25013639.0,ns,1123564
32 umlauts,,,,,25660610.0,ns,1166778
32 umlauts,,,,,26919616.0,ns,1209992
32 umlauts,,,,,27604125.0,ns,1253206
32 umlauts,,,,,28680895.0,ns,1296420
32 umlauts,,,,,29734571.0,ns,1339634
32 umlauts,,,,,31442460.0,ns,1382848
32 umlauts,,,,,33960318.0,ns,1426062
32 umlauts,,,,,32821974.0,ns,1469276
32 umlauts,,,,,33464144.0,ns,1512490
32 umlauts,,,,,34707566.0,ns,1555704
32 umlauts,,,,,35420193.0,ns,1598918
32 umlauts,,,,,36183162.0,ns,1642132
32 umlauts,,,,,37112604.0,ns,1685346
32 umlauts,,,,,38093609.0,ns,1728560
32 umlauts,,,,,39111286.0,ns,1771774
32 umlauts,,,,,40160633.0,ns,1814988
32 umlauts,,,,,41300289.0,ns,1858202
32 umlauts,,,,,41908392.0,ns,1901416
32 umlauts,,,,,42768769.0,ns,1944630
32 umlauts,,,,,43999469.0,ns,1987844
32 umlauts,,,,,44937472.0,ns,2031058
32 umlauts,,,,,45881406.0,ns,2074272
32 umlauts,,,,,46726903.0,ns,2117486
32 umlauts,,,,,47894639.0,ns,2160700
32 umlauts,,,,,48838078.0,ns,2203914
32 umlauts,,,,,49868147.0,ns,2247128
32 umlauts,,,,,50640565.0,ns,2290342
32 umlauts,,,,,51631951.0,ns,2333556
32 umlauts,,,,,52348354.0,ns,2376770
32 umlauts,,,,,53464108.0,ns,2419984
32 umlauts,,,,,54388904.0,ns,2463198
32 umlauts,,,,,55730784.0,ns,2506412
32 umlauts,,,,,56273666.0,ns,2549626
32 umlauts,,,,,57122212.0,ns,2592840
32 umlauts,,,,,58358082.0,ns,2636054
32 umlauts,,,,,59382714.0,ns,2679268
32 umlauts,,,,,60293213.0,ns,2722482
32 umlauts,,,,,62523805.0,ns,2765696
32 umlauts,,,,,63185458.0,ns,2808910
32 umlauts,,,,,64142803.0,ns,2852124
32 umlauts,,,,,64032267.0,ns,2895338
32 umlauts,,,,,65297563.0,ns,2938552
32 umlauts,,,,,65738379.0,ns,2981766
32 umlauts,,,,,67677857.0,ns,3024980
32 umlauts,,,,,67595427.0,ns,3068194
32 umlauts,,,,,68672389.0,ns,3111408
32 umlauts,,,,,70069714.0,ns,3154622
32 umlauts,,,,,73404618.0,ns,3197836
32 umlauts,,,,,71639587.0,ns,3241050
32 umlauts,,,,,73721766.0,ns,3284264
32 umlauts,,,,,74826489.0,ns,3327478
32 umlauts,,,,,74434502.0,ns,3370692
32 umlauts,,,,,75341962.0,ns,3413906
32 umlauts,,,,,76325762.0,ns,3457120
32 umlauts,,,,,77467904.0,ns,3500334
32 umlauts,,,,,78230539.0,ns,3543548
32 umlauts,,,,,79641933.0,ns,3586762
32 umlauts,,,,,80261448.0,ns,3629976
32 umlauts,,,,,81005428.0,ns,3673190
32 umlauts,,,,,82159550.0,ns,3716404
32 umlauts,,,,,83266918.0,ns,3759618
32 umlauts,,,,,83841034.0,ns,3802832
32 umlauts,,,,,84862203.0,ns,3846046
32 umlauts,,,,,86297305.0,ns,3889260
32 umlauts,,,,,86630197.0,ns,3932474
32 umlauts,,,,,88023463.0,ns,3975688
32 umlauts,,,,,89029731.0,ns,4018902
32 umlauts,,,,,94224377.0,ns,4062116
32 umlauts,,,,,91194194.0,ns,4105330
32 umlauts,,,,,91667308.0,ns,4148544
32 umlauts,,,,,92659210.0,ns,4191758
32 umlauts,,,,,95532738.0,ns,4234972
32 umlauts,,,,,95365867.0,ns,4278186
32 umlauts,,,,,95351406.0,ns,4321400
