group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
4-emoij,simd,00067,67,bytes,1050692.0,ns,40494
4-emoij,simd,00067,67,bytes,1992887.0,ns,80988
4-emoij,simd,00067,67,bytes,2934756.0,ns,121482
4-emoij,simd,00067,67,bytes,3958049.0,ns,161976
4-emoij,simd,00067,67,bytes,4951056.0,ns,202470
4-emoij,simd,00067,67,bytes,5872778.0,ns,242964
4-emoij,simd,00067,67,bytes,6903811.0,ns,283458
4-emoij,simd,00067,67,bytes,8029875.0,ns,323952
4-emoij,simd,00067,67,bytes,8829812.0,ns,364446
4-emoij,simd,00067,67,bytes,9795810.0,ns,404940
4-emoij,simd,00067,67,bytes,10816167.0,ns,445434
4-emoij,simd,00067,67,bytes,11766727.0,ns,485928
4-emoij,simd,00067,67,bytes,12738855.0,ns,526422
4-emoij,simd,00067,67,bytes,13836998.0,ns,566916
4-emoij,simd,00067,67,bytes,14723049.0,ns,607410
4-emoij,simd,00067,67,bytes,16039826.0,ns,647904
4-emoij,simd,00067,67,bytes,16856070.0,ns,688398
4-emoij,simd,00067,67,bytes,17646828.0,ns,728892
4-emoij,simd,00067,67,bytes,18664880.0,ns,769386
4-emoij,simd,00067,67,bytes,19643696.0,ns,809880
4-emoij,simd,00067,67,bytes,20601775.0,ns,850374
4-emoij,simd,00067,67,bytes,21886520.0,ns,890868
4-emoij,simd,00067,67,bytes,22857442.0,ns,931362
4-emoij,simd,00067,67,bytes,23728880.0,ns,971856
4-emoij,simd,00067,67,bytes,24772785.0,ns,1012350
4-emoij,simd,00067,67,bytes,26996976.0,ns,1052844
4-emoij,simd,00067,67,bytes,27647812.0,ns,1093338
4-emoij,simd,00067,67,bytes,28769667.0,ns,1133832
4-emoij,simd,00067,67,bytes,29476754.0,ns,1174326
4-emoij,simd,00067,67,bytes,30414062.0,ns,1214820
4-emoij,simd,00067,67,bytes,31511437.0,ns,1255314
4-emoij,simd,00067,67,bytes,32379292.0,ns,1295808
4-emoij,simd,00067,67,bytes,33781041.0,ns,1336302
4-emoij,simd,00067,67,bytes,34617637.0,ns,1376796
4-emoij,simd,00067,67,bytes,35585047.0,ns,1417290
4-emoij,simd,00067,67,bytes,36542114.0,ns,1457784
4-emoij,simd,00067,67,bytes,37940751.0,ns,1498278
4-emoij,simd,00067,67,bytes,38703307.0,ns,1538772
4-emoij,simd,00067,67,bytes,38364282.0,ns,1579266
4-emoij,simd,00067,67,bytes,39354456.0,ns,1619760
4-emoij,simd,00067,67,bytes,40176725.0,ns,1660254
4-emoij,simd,00067,67,bytes,41509868.0,ns,1700748
4-emoij,simd,00067,67,bytes,42240788.0,ns,1741242
4-emoij,simd,00067,67,bytes,43182964.0,ns,1781736
4-emoij,simd,00067,67,bytes,44117744.0,ns,1822230
4-emoij,simd,00067,67,bytes,45284472.0,ns,1862724
4-emoij,simd,00067,67,bytes,46822920.0,ns,1903218
4-emoij,simd,00067,67,bytes,47714707.0,ns,1943712
4-emoij,simd,00067,67,bytes,48062227.0,ns,1984206
4-emoij,simd,00067,67,bytes,49144203.0,ns,2024700
4-emoij,simd,00067,67,bytes,50747835.0,ns,2065194
4-emoij,simd,00067,67,bytes,52014430.0,ns,2105688
4-emoij,simd,00067,67,bytes,54088147.0,ns,2146182
4-emoij,simd,00067,67,bytes,56989433.0,ns,2186676
4-emoij,simd,00067,67,bytes,55691080.0,ns,2227170
4-emoij,simd,00067,67,bytes,57334415.0,ns,2267664
4-emoij,simd,00067,67,bytes,58796722.0,ns,2308158
4-emoij,simd,00067,67,bytes,58804170.0,ns,2348652
4-emoij,simd,00067,67,bytes,59350888.0,ns,2389146
4-emoij,simd,00067,67,bytes,59354609.0,ns,2429640
4-emoij,simd,00067,67,bytes,60186440.0,ns,2470134
4-emoij,simd,00067,67,bytes,61317224.0,ns,2510628
4-emoij,simd,00067,67,bytes,61874589.0,ns,2551122
4-emoij,simd,00067,67,bytes,63013636.0,ns,2591616
4-emoij,simd,00067,67,bytes,64453414.0,ns,2632110
4-emoij,simd,00067,67,bytes,64828294.0,ns,2672604
4-emoij,simd,00067,67,bytes,65829547.0,ns,2713098
4-emoij,simd,00067,67,bytes,66857933.0,ns,2753592
4-emoij,simd,00067,67,bytes,68073703.0,ns,2794086
4-emoij,simd,00067,67,bytes,68757007.0,ns,2834580
4-emoij,simd,00067,67,bytes,69748661.0,ns,2875074
4-emoij,simd,00067,67,bytes,70864589.0,ns,2915568
4-emoij,simd,00067,67,bytes,76895404.0,ns,2956062
4-emoij,simd,00067,67,bytes,73048847.0,ns,2996556
4-emoij,simd,00067,67,bytes,74285099.0,ns,3037050
4-emoij,simd,00067,67,bytes,75146294.0,ns,3077544
4-emoij,simd,00067,67,bytes,75634451.0,ns,3118038
4-emoij,simd,00067,67,bytes,76603194.0,ns,3158532
4-emoij,simd,00067,67,bytes,77825852.0,ns,3199026
4-emoij,simd,00067,67,bytes,78577911.0,ns,3239520
4-emoij,simd,00067,67,bytes,79783432.0,ns,3280014
4-emoij,simd,00067,67,bytes,80933745.0,ns,3320508
4-emoij,simd,00067,67,bytes,81843966.0,ns,3361002
4-emoij,simd,00067,67,bytes,83907172.0,ns,3401496
4-emoij,simd,00067,67,bytes,85821763.0,ns,3441990
4-emoij,simd,00067,67,bytes,85361130.0,ns,3482484
4-emoij,simd,00067,67,bytes,85737601.0,ns,3522978
4-emoij,simd,00067,67,bytes,86704569.0,ns,3563472
4-emoij,simd,00067,67,bytes,87587015.0,ns,3603966
4-emoij,simd,00067,67,bytes,88341265.0,ns,3644460
4-emoij,simd,00067,67,bytes,90565123.0,ns,3684954
4-emoij,simd,00067,67,bytes,90752577.0,ns,3725448
4-emoij,simd,00067,67,bytes,91388342.0,ns,3765942
4-emoij,simd,00067,67,bytes,92823273.0,ns,3806436
4-emoij,simd,00067,67,bytes,93482722.0,ns,3846930
4-emoij,simd,00067,67,bytes,94704319.0,ns,3887424
4-emoij,simd,00067,67,bytes,95422107.0,ns,3927918
4-emoij,simd,00067,67,bytes,96413829.0,ns,3968412
4-emoij,simd,00067,67,bytes,98099003.0,ns,4008906
4-emoij,simd,00067,67,bytes,98457534.0,ns,4049400
