group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
4-emoij,std,04099,4099,bytes,1024566.0,ns,477
4-emoij,std,04099,4099,bytes,2186415.0,ns,954
4-emoij,std,04099,4099,bytes,2985239.0,ns,1431
4-emoij,std,04099,4099,bytes,3965654.0,ns,1908
4-emoij,std,04099,4099,bytes,4966207.0,ns,2385
4-emoij,std,04099,4099,bytes,5935438.0,ns,2862
4-emoij,std,04099,4099,bytes,6869652.0,ns,3339
4-emoij,std,04099,4099,bytes,7896735.0,ns,3816
4-emoij,std,04099,4099,bytes,9041926.0,ns,4293
4-emoij,std,04099,4099,bytes,9896485.0,ns,4770
4-emoij,std,04099,4099,bytes,11130138.0,ns,5247
4-emoij,std,04099,4099,bytes,11879760.0,ns,5724
4-emoij,std,04099,4099,bytes,12828460.0,ns,6201
4-emoij,std,04099,4099,bytes,13825956.0,ns,6678
4-emoij,std,04099,4099,bytes,14805005.0,ns,7155
4-emoij,std,04099,4099,bytes,15786835.0,ns,7632
4-emoij,std,04099,4099,bytes,16771255.0,ns,8109
4-emoij,std,04099,4099,bytes,17898192.0,ns,8586
4-emoij,std,04099,4099,bytes,18690281.0,ns,9063
4-emoij,std,04099,4099,bytes,19892111.0,ns,9540
4-emoij,std,04099,4099,bytes,20710159.0,ns,10017
4-emoij,std,04099,4099,bytes,21744404.0,ns,10494
4-emoij,std,04099,4099,bytes,22652097.0,ns,10971
4-emoij,std,04099,4099,bytes,23613133.0,ns,11448
4-emoij,std,04099,4099,bytes,25064988.0,ns,11925
4-emoij,std,04099,4099,bytes,25785707.0,ns,12402
4-emoij,std,04099,4099,bytes,26586276.0,ns,12879
4-emoij,std,04099,4099,bytes,27519696.0,ns,13356
4-emoij,std,04099,4099,bytes,28601291.0,ns,13833
4-emoij,std,04099,4099,bytes,29649072.0,ns,14310
4-emoij,std,04099,4099,bytes,30871833.0,ns,14787
4-emoij,std,04099,4099,bytes,31719365.0,ns,15264
4-emoij,std,04099,4099,bytes,32473495.0,ns,15741
4-emoij,std,04099,4099,bytes,33870137.0,ns,16218
4-emoij,std,04099,4099,bytes,34515122.0,ns,16695
4-emoij,std,04099,4099,bytes,36118432.0,ns,17172
4-emoij,std,04099,4099,bytes,36565349.0,ns,17649
4-emoij,std,04099,4099,bytes,37550501.0,ns,18126
4-emoij,std,04099,4099,bytes,38622370.0,ns,18603
4-emoij,std,04099,4099,bytes,39385634.0,ns,19080
4-emoij,std,04099,4099,bytes,40696567.0,ns,19557
4-emoij,std,04099,4099,bytes,41361085.0,ns,20034
4-emoij,std,04099,4099,bytes,42406960.0,ns,20511
4-emoij,std,04099,4099,bytes,43361727.0,ns,20988
4-emoij,std,04099,4099,bytes,44423338.0,ns,21465
4-emoij,std,04099,4099,bytes,46635142.0,ns,21942
4-emoij,std,04099,4099,bytes,46493142.0,ns,22419
4-emoij,std,04099,4099,bytes,47366484.0,ns,22896
4-emoij,std,04099,4099,bytes,48234292.0,ns,23373
4-emoij,std,04099,4099,bytes,49252769.0,ns,23850
4-emoij,std,04099,4099,bytes,50527019.0,ns,24327
4-emoij,std,04099,4099,bytes,51919547.0,ns,24804
4-emoij,std,04099,4099,bytes,52067047.0,ns,25281
4-emoij,std,04099,4099,bytes,53130461.0,ns,25758
4-emoij,std,04099,4099,bytes,54268079.0,ns,26235
4-emoij,std,04099,4099,bytes,57398690.0,ns,26712
4-emoij,std,04099,4099,bytes,56731263.0,ns,27189
4-emoij,std,04099,4099,bytes,57127654.0,ns,27666
4-emoij,std,04099,4099,bytes,58283661.0,ns,28143
4-emoij,std,04099,4099,bytes,59381815.0,ns,28620
4-emoij,std,04099,4099,bytes,60394465.0,ns,29097
4-emoij,std,04099,4099,bytes,61054713.0,ns,29574
4-emoij,std,04099,4099,bytes,62528014.0,ns,30051
4-emoij,std,04099,4099,bytes,63450211.0,ns,30528
4-emoij,std,04099,4099,bytes,66828822.0,ns,31005
4-emoij,std,04099,4099,bytes,66009273.0,ns,31482
4-emoij,std,04099,4099,bytes,66234881.0,ns,31959
4-emoij,std,04099,4099,bytes,67370612.0,ns,32436
4-emoij,std,04099,4099,bytes,68029035.0,ns,32913
4-emoij,std,04099,4099,bytes,69241597.0,ns,33390
4-emoij,std,04099,4099,bytes,71438023.0,ns,33867
4-emoij,std,04099,4099,bytes,73931934.0,ns,34344
4-emoij,std,04099,4099,bytes,74452661.0,ns,34821
4-emoij,std,04099,4099,bytes,75597192.0,ns,35298
4-emoij,std,04099,4099,bytes,77574139.0,ns,35775
4-emoij,std,04099,4099,bytes,77655553.0,ns,36252
4-emoij,std,04099,4099,bytes,75757116.0,ns,36729
4-emoij,std,04099,4099,bytes,76877081.0,ns,37206
4-emoij,std,04099,4099,bytes,78145998.0,ns,37683
4-emoij,std,04099,4099,bytes,78716566.0,ns,38160
4-emoij,std,04099,4099,bytes,79672118.0,ns,38637
4-emoij,std,04099,4099,bytes,81023014.0,ns,39114
4-emoij,std,04099,4099,bytes,81702497.0,ns,39591
4-emoij,std,04099,4099,bytes,84143787.0,ns,40068
4-emoij,std,04099,4099,bytes,87057186.0,ns,40545
4-emoij,std,04099,4099,bytes,89954916.0,ns,41022
4-emoij,std,04099,4099,bytes,85936094.0,ns,41499
4-emoij,std,04099,4099,bytes,88497432.0,ns,41976
4-emoij,std,04099,4099,bytes,87733942.0,ns,42453
4-emoij,std,04099,4099,bytes,88886625.0,ns,42930
4-emoij,std,04099,4099,bytes,90036131.0,ns,43407
4-emoij,std,04099,4099,bytes,90441396.0,ns,43884
4-emoij,std,04099,4099,bytes,92015140.0,ns,44361
