group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
chinese - stdlib,,,,,1019102.0,ns,3151
chinese - stdlib,,,,,1976099.0,ns,6302
chinese - stdlib,,,,,3158030.0,ns,9453
chinese - stdlib,,,,,4204966.0,ns,12604
chinese - stdlib,,,,,4997294.0,ns,15755
chinese - stdlib,,,,,5890088.0,ns,18906
chinese - stdlib,,,,,6900599.0,ns,22057
chinese - stdlib,,,,,7957630.0,ns,25208
chinese - stdlib,,,,,8834004.0,ns,28359
chinese - stdlib,,,,,9893132.0,ns,31510
chinese - stdlib,,,,,10763716.0,ns,34661
chinese - stdlib,,,,,11739778.0,ns,37812
chinese - stdlib,,,,,12715198.0,ns,40963
chinese - stdlib,,,,,13795650.0,ns,44114
chinese - stdlib,,,,,14793977.0,ns,47265
chinese - stdlib,,,,,15746602.0,ns,50416
chinese - stdlib,,,,,16920950.0,ns,53567
chinese - stdlib,,,,,17704672.0,ns,56718
chinese - stdlib,,,,,18617989.0,ns,59869
chinese - stdlib,,,,,19711534.0,ns,63020
chinese - stdlib,,,,,20615630.0,ns,66171
chinese - stdlib,,,,,21634813.0,ns,69322
chinese - stdlib,,,,,22484052.0,ns,72473
chinese - stdlib,,,,,23525818.0,ns,75624
chinese - stdlib,,,,,24529129.0,ns,78775
chinese - stdlib,,,,,25454524.0,ns,81926
chinese - stdlib,,,,,26391140.0,ns,85077
chinese - stdlib,,,,,27743613.0,ns,88228
chinese - stdlib,,,,,28527872.0,ns,91379
chinese - stdlib,,,,,29384568.0,ns,94530
chinese - stdlib,,,,,30336847.0,ns,97681
chinese - stdlib,,,,,31401341.0,ns,100832
chinese - stdlib,,,,,32545488.0,ns,103983
chinese - stdlib,,,,,33417588.0,ns,107134
chinese - stdlib,,,,,34339306.0,ns,110285
chinese - stdlib,,,,,35635842.0,ns,113436
chinese - stdlib,,,,,36218185.0,ns,116587
chinese - stdlib,,,,,37398498.0,ns,119738
chinese - stdlib,,,,,38150050.0,ns,122889
chinese - stdlib,,,,,39254338.0,ns,126040
chinese - stdlib,,,,,40221541.0,ns,129191
chinese - stdlib,,,,,41358513.0,ns,132342
chinese - stdlib,,,,,42400792.0,ns,135493
chinese - stdlib,,,,,43036337.0,ns,138644
chinese - stdlib,,,,,44350961.0,ns,141795
chinese - stdlib,,,,,45886348.0,ns,144946
chinese - stdlib,,,,,46212805.0,ns,148097
chinese - stdlib,,,,,47204079.0,ns,151248
chinese - stdlib,,,,,47983959.0,ns,154399
chinese - stdlib,,,,,49094485.0,ns,157550
chinese - stdlib,,,,,50471030.0,ns,160701
chinese - stdlib,,,,,50944000.0,ns,163852
chinese - stdlib,,,,,53073618.0,ns,167003
chinese - stdlib,,,,,52942387.0,ns,170154
chinese - stdlib,,,,,53845818.0,ns,173305
chinese - stdlib,,,,,55072849.0,ns,176456
chinese - stdlib,,,,,57950666.0,ns,179607
chinese - stdlib,,,,,58096637.0,ns,182758
chinese - stdlib,,,,,57969860.0,ns,185909
chinese - stdlib,,,,,59616606.0,ns,189060
chinese - stdlib,,,,,59827429.0,ns,192211
chinese - stdlib,,,,,61169412.0,ns,195362
chinese - stdlib,,,,,61847394.0,ns,198513
chinese - stdlib,,,,,62952569.0,ns,201664
chinese - stdlib,,,,,63756588.0,ns,204815
chinese - stdlib,,,,,64925512.0,ns,207966
chinese - stdlib,,,,,65671155.0,ns,211117
chinese - stdlib,,,,,66701609.0,ns,214268
chinese - stdlib,,,,,67531577.0,ns,217419
chinese - stdlib,,,,,68981423.0,ns,220570
chinese - stdlib,,,,,69548813.0,ns,223721
chinese - stdlib,,,,,71263518.0,ns,226872
chinese - stdlib,,,,,72087145.0,ns,230023
chinese - stdlib,,,,,72859979.0,ns,233174
chinese - stdlib,,,,,73422658.0,ns,236325
chinese - stdlib,,,,,74374817.0,ns,239476
chinese - stdlib,,,,,75800462.0,ns,242627
chinese - stdlib,,,,,76366393.0,ns,245778
chinese - stdlib,,,,,77746301.0,ns,248929
chinese - stdlib,,,,,78713863.0,ns,252080
chinese - stdlib,,,,,79318268.0,ns,255231
chinese - stdlib,,,,,80254155.0,ns,258382
chinese - stdlib,,,,,85300989.0,ns,261533
chinese - stdlib,,,,,82231398.0,ns,264684
chinese - stdlib,,,,,83770052.0,ns,267835
chinese - stdlib,,,,,85221029.0,ns,270986
chinese - stdlib,,,,,88498270.0,ns,274137
chinese - stdlib,,,,,86850976.0,ns,277288
chinese - stdlib,,,,,87680105.0,ns,280439
chinese - stdlib,,,,,88209418.0,ns,283590
chinese - stdlib,,,,,90000527.0,ns,286741
chinese - stdlib,,,,,90566878.0,ns,289892
chinese - stdlib,,,,,91286267.0,ns,293043
chinese - stdlib,,,,,93219304.0,ns,296194
chinese - stdlib,,,,,93219403.0,ns,299345
chinese - stdlib,,,,,94308460.0,ns,302496
chinese - stdlib,,,,,95410904.0,ns,305647
chinese - stdlib,,,,,96431860.0,ns,308798
chinese - stdlib,,,,,97227247.0,ns,311949
chinese - stdlib,,,,,98394150.0,ns,315100
