group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
chinese,,,,,1018401.0,ns,19079
chinese,,,,,1951639.0,ns,38158
chinese,,,,,2944908.0,ns,57237
chinese,,,,,3897529.0,ns,76316
chinese,,,,,4870324.0,ns,95395
chinese,,,,,5901089.0,ns,114474
chinese,,,,,6812619.0,ns,133553
chinese,,,,,7783489.0,ns,152632
chinese,,,,,8861706.0,ns,171711
chinese,,,,,9821526.0,ns,190790
chinese,,,,,10706144.0,ns,209869
chinese,,,,,11763949.0,ns,228948
chinese,,,,,12767272.0,ns,248027
chinese,,,,,13736726.0,ns,267106
chinese,,,,,14741554.0,ns,286185
chinese,,,,,15791765.0,ns,305264
chinese,,,,,16720052.0,ns,324343
chinese,,,,,17637794.0,ns,343422
chinese,,,,,18532971.0,ns,362501
chinese,,,,,19551500.0,ns,381580
chinese,,,,,20575360.0,ns,400659
chinese,,,,,21504916.0,ns,419738
chinese,,,,,22578415.0,ns,438817
chinese,,,,,23587298.0,ns,457896
chinese,,,,,24621036.0,ns,476975
chinese,,,,,25325663.0,ns,496054
chinese,,,,,26413064.0,ns,515133
chinese,,,,,27670536.0,ns,534212
chinese,,,,,28347842.0,ns,553291
chinese,,,,,29303344.0,ns,572370
chinese,,,,,31100970.0,ns,591449
chinese,,,,,31799063.0,ns,610528
chinese,,,,,32447163.0,ns,629607
chinese,,,,,33469537.0,ns,648686
chinese,,,,,34218051.0,ns,667765
chinese,,,,,35470796.0,ns,686844
chinese,,,,,36100858.0,ns,705923
chinese,,,,,37143373.0,ns,725002
chinese,,,,,38243140.0,ns,744081
chinese,,,,,39218210.0,ns,763160
chinese,,,,,40097463.0,ns,782239
chinese,,,,,41194227.0,ns,801318
chinese,,,,,42130528.0,ns,820397
chinese,,,,,43158414.0,ns,839476
chinese,,,,,43987082.0,ns,858555
chinese,,,,,45081343.0,ns,877634
chinese,,,,,46057814.0,ns,896713
chinese,,,,,47233410.0,ns,915792
chinese,,,,,47936429.0,ns,934871
chinese,,,,,51136537.0,ns,953950
chinese,,,,,50899407.0,ns,973029
chinese,,,,,50911542.0,ns,992108
chinese,,,,,52230399.0,ns,1011187
chinese,,,,,52789317.0,ns,1030266
chinese,,,,,53807034.0,ns,1049345
chinese,,,,,57127034.0,ns,1068424
chinese,,,,,56899837.0,ns,1087503
chinese,,,,,56968815.0,ns,1106582
chinese,,,,,57772583.0,ns,1125661
chinese,,,,,58897197.0,ns,1144740
chinese,,,,,59612960.0,ns,1163819
chinese,,,,,61785278.0,ns,1182898
chinese,,,,,66089627.0,ns,1201977
chinese,,,,,65950260.0,ns,1221056
chinese,,,,,66639469.0,ns,1240135
chinese,,,,,67218133.0,ns,1259214
chinese,,,,,68202258.0,ns,1278293
chinese,,,,,66711644.0,ns,1297372
chinese,,,,,67545041.0,ns,1316451
chinese,,,,,68707423.0,ns,1335530
chinese,,,,,69801463.0,ns,1354609
chinese,,,,,70663473.0,ns,1373688
chinese,,,,,71857554.0,ns,1392767
chinese,,,,,72496565.0,ns,1411846
chinese,,,,,73978266.0,ns,1430925
chinese,,,,,74606533.0,ns,1450004
chinese,,,,,76402869.0,ns,1469083
chinese,,,,,78847230.0,ns,1488162
chinese,,,,,79463384.0,ns,1507241
chinese,,,,,78570371.0,ns,1526320
chinese,,,,,79661603.0,ns,1545399
chinese,,,,,82998370.0,ns,1564478
chinese,,,,,81422840.0,ns,1583557
chinese,,,,,82131137.0,ns,1602636
chinese,,,,,83925064.0,ns,1621715
chinese,,,,,84294818.0,ns,1640794
chinese,,,,,85402123.0,ns,1659873
chinese,,,,,86080585.0,ns,1678952
chinese,,,,,87625203.0,ns,1698031
chinese,,,,,88097367.0,ns,1717110
chinese,,,,,89578776.0,ns,1736189
chinese,,,,,90244936.0,ns,1755268
chinese,,,,,91224381.0,ns,1774347
chinese,,,,,92651901.0,ns,1793426
chinese,,,,,93173143.0,ns,1812505
chinese,,,,,94048906.0,ns,1831584
chinese,,,,,95143385.0,ns,1850663
chinese,,,,,95914509.0,ns,1869742
chinese,,,,,97045985.0,ns,1888821
chinese,,,,,98722243.0,ns,1907900
