group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
chinese,simd,4096,4096,bytes,1035292.0,ns,2678
chinese,simd,4096,4096,bytes,1976078.0,ns,5356
chinese,simd,4096,4096,bytes,2965570.0,ns,8034
chinese,simd,4096,4096,bytes,3953178.0,ns,10712
chinese,simd,4096,4096,bytes,5010216.0,ns,13390
chinese,simd,4096,4096,bytes,5928839.0,ns,16068
chinese,simd,4096,4096,bytes,6978291.0,ns,18746
chinese,simd,4096,4096,bytes,7910734.0,ns,21424
chinese,simd,4096,4096,bytes,8908297.0,ns,24102
chinese,simd,4096,4096,bytes,9969477.0,ns,26780
chinese,simd,4096,4096,bytes,10905369.0,ns,29458
chinese,simd,4096,4096,bytes,11875538.0,ns,32136
chinese,simd,4096,4096,bytes,12873047.0,ns,34814
chinese,simd,4096,4096,bytes,13830581.0,ns,37492
chinese,simd,4096,4096,bytes,14906156.0,ns,40170
chinese,simd,4096,4096,bytes,15923070.0,ns,42848
chinese,simd,4096,4096,bytes,16848464.0,ns,45526
chinese,simd,4096,4096,bytes,17799140.0,ns,48204
chinese,simd,4096,4096,bytes,20263628.0,ns,50882
chinese,simd,4096,4096,bytes,22078897.0,ns,53560
chinese,simd,4096,4096,bytes,20936438.0,ns,56238
chinese,simd,4096,4096,bytes,21915992.0,ns,58916
chinese,simd,4096,4096,bytes,22815362.0,ns,61594
chinese,simd,4096,4096,bytes,24089915.0,ns,64272
chinese,simd,4096,4096,bytes,24817796.0,ns,66950
chinese,simd,4096,4096,bytes,27330880.0,ns,69628
chinese,simd,4096,4096,bytes,27743658.0,ns,72306
chinese,simd,4096,4096,bytes,27755180.0,ns,74984
chinese,simd,4096,4096,bytes,29002093.0,ns,77662
chinese,simd,4096,4096,bytes,30045985.0,ns,80340
chinese,simd,4096,4096,bytes,30657093.0,ns,83018
chinese,simd,4096,4096,bytes,31885070.0,ns,85696
chinese,simd,4096,4096,bytes,32698968.0,ns,88374
chinese,simd,4096,4096,bytes,33722559.0,ns,91052
chinese,simd,4096,4096,bytes,35569093.0,ns,93730
chinese,simd,4096,4096,bytes,35873816.0,ns,96408
chinese,simd,4096,4096,bytes,36907082.0,ns,99086
chinese,simd,4096,4096,bytes,37699889.0,ns,101764
chinese,simd,4096,4096,bytes,38664085.0,ns,104442
chinese,simd,4096,4096,bytes,39564970.0,ns,107120
chinese,simd,4096,4096,bytes,40795273.0,ns,109798
chinese,simd,4096,4096,bytes,41539078.0,ns,112476
chinese,simd,4096,4096,bytes,43037082.0,ns,115154
chinese,simd,4096,4096,bytes,43625408.0,ns,117832
