group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
chinese,std,3,3,bytes,1024039.0,ns,103481
chinese,std,3,3,bytes,2005940.0,ns,206962
chinese,std,3,3,bytes,2961482.0,ns,310443
chinese,std,3,3,bytes,4082675.0,ns,413924
chinese,std,3,3,bytes,4924057.0,ns,517405
chinese,std,3,3,bytes,5946327.0,ns,620886
chinese,std,3,3,bytes,6925829.0,ns,724367
chinese,std,3,3,bytes,7859448.0,ns,827848
chinese,std,3,3,bytes,8819217.0,ns,931329
chinese,std,3,3,bytes,9885525.0,ns,1034810
chinese,std,3,3,bytes,10782102.0,ns,1138291
chinese,std,3,3,bytes,11882144.0,ns,1241772
chinese,std,3,3,bytes,12802996.0,ns,1345253
chinese,std,3,3,bytes,13759688.0,ns,1448734
chinese,std,3,3,bytes,14720198.0,ns,1552215
chinese,std,3,3,bytes,15723764.0,ns,1655696
chinese,std,3,3,bytes,16678562.0,ns,1759177
chinese,std,3,3,bytes,18105714.0,ns,1862658
chinese,std,3,3,bytes,18780750.0,ns,1966139
chinese,std,3,3,bytes,19771840.0,ns,2069620
chinese,std,3,3,bytes,20645209.0,ns,2173101
chinese,std,3,3,bytes,21599894.0,ns,2276582
chinese,std,3,3,bytes,22854522.0,ns,2380063
chinese,std,3,3,bytes,23569981.0,ns,2483544
chinese,std,3,3,bytes,24585807.0,ns,2587025
chinese,std,3,3,bytes,25608501.0,ns,2690506
chinese,std,3,3,bytes,26674910.0,ns,2793987
chinese,std,3,3,bytes,27756579.0,ns,2897468
chinese,std,3,3,bytes,29079245.0,ns,3000949
chinese,std,3,3,bytes,29637411.0,ns,3104430
chinese,std,3,3,bytes,30729833.0,ns,3207911
chinese,std,3,3,bytes,31463598.0,ns,3311392
chinese,std,3,3,bytes,32524530.0,ns,3414873
chinese,std,3,3,bytes,33382047.0,ns,3518354
chinese,std,3,3,bytes,35586876.0,ns,3621835
chinese,std,3,3,bytes,36207353.0,ns,3725316
chinese,std,3,3,bytes,37661476.0,ns,3828797
chinese,std,3,3,bytes,38357142.0,ns,3932278
chinese,std,3,3,bytes,38466562.0,ns,4035759
chinese,std,3,3,bytes,39346302.0,ns,4139240
chinese,std,3,3,bytes,40353623.0,ns,4242721
chinese,std,3,3,bytes,41416871.0,ns,4346202
chinese,std,3,3,bytes,42603979.0,ns,4449683
chinese,std,3,3,bytes,43720663.0,ns,4553164
chinese,std,3,3,bytes,44381731.0,ns,4656645
chinese,std,3,3,bytes,45219779.0,ns,4760126
chinese,std,3,3,bytes,46274066.0,ns,4863607
chinese,std,3,3,bytes,47379724.0,ns,4967088
chinese,std,3,3,bytes,48246251.0,ns,5070569
chinese,std,3,3,bytes,49107483.0,ns,5174050
chinese,std,3,3,bytes,50151282.0,ns,5277531
chinese,std,3,3,bytes,51141618.0,ns,5381012
chinese,std,3,3,bytes,52460176.0,ns,5484493
chinese,std,3,3,bytes,53221149.0,ns,5587974
chinese,std,3,3,bytes,55365412.0,ns,5691455
chinese,std,3,3,bytes,55203482.0,ns,5794936
chinese,std,3,3,bytes,56272553.0,ns,5898417
chinese,std,3,3,bytes,57587165.0,ns,6001898
chinese,std,3,3,bytes,58995770.0,ns,6105379
chinese,std,3,3,bytes,60789382.0,ns,6208860
chinese,std,3,3,bytes,61213788.0,ns,6312341
chinese,std,3,3,bytes,61521885.0,ns,6415822
chinese,std,3,3,bytes,62589978.0,ns,6519303
chinese,std,3,3,bytes,63767253.0,ns,6622784
chinese,std,3,3,bytes,64120039.0,ns,6726265
chinese,std,3,3,bytes,65389552.0,ns,6829746
chinese,std,3,3,bytes,66026614.0,ns,6933227
chinese,std,3,3,bytes,67125295.0,ns,7036708
chinese,std,3,3,bytes,68100226.0,ns,7140189
chinese,std,3,3,bytes,69308429.0,ns,7243670
chinese,std,3,3,bytes,70015295.0,ns,7347151
chinese,std,3,3,bytes,70820012.0,ns,7450632
chinese,std,3,3,bytes,71963747.0,ns,7554113
chinese,std,3,3,bytes,73124207.0,ns,7657594
chinese,std,3,3,bytes,73613006.0,ns,7761075
chinese,std,3,3,bytes,74985785.0,ns,7864556
chinese,std,3,3,bytes,75967187.0,ns,7968037
chinese,std,3,3,bytes,76883175.0,ns,8071518
chinese,std,3,3,bytes,77812065.0,ns,8174999
chinese,std,3,3,bytes,79011341.0,ns,8278480
chinese,std,3,3,bytes,79765636.0,ns,8381961
chinese,std,3,3,bytes,80886451.0,ns,8485442
chinese,std,3,3,bytes,82022903.0,ns,8588923
chinese,std,3,3,bytes,83520902.0,ns,8692404
chinese,std,3,3,bytes,87526244.0,ns,8795885
chinese,std,3,3,bytes,85743661.0,ns,8899366
chinese,std,3,3,bytes,85690398.0,ns,9002847
chinese,std,3,3,bytes,86937916.0,ns,9106328
chinese,std,3,3,bytes,90617710.0,ns,9209809
chinese,std,3,3,bytes,88736559.0,ns,9313290
chinese,std,3,3,bytes,89815554.0,ns,9416771
chinese,std,3,3,bytes,90766652.0,ns,9520252
chinese,std,3,3,bytes,92264570.0,ns,9623733
chinese,std,3,3,bytes,92681857.0,ns,9727214
chinese,std,3,3,bytes,93774845.0,ns,9830695
chinese,std,3,3,bytes,94590031.0,ns,9934176
chinese,std,3,3,bytes,95917048.0,ns,10037657
chinese,std,3,3,bytes,97091826.0,ns,10141138
chinese,std,3,3,bytes,98228854.0,ns,10244619
chinese,std,3,3,bytes,99175420.0,ns,10348100
