group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cyrillic,simd,8,8,bytes,1019909.0,ns,58565
cyrillic,simd,8,8,bytes,1954608.0,ns,117130
cyrillic,simd,8,8,bytes,2934828.0,ns,175695
cyrillic,simd,8,8,bytes,3929649.0,ns,234260
cyrillic,simd,8,8,bytes,4888208.0,ns,292825
cyrillic,simd,8,8,bytes,5886504.0,ns,351390
cyrillic,simd,8,8,bytes,6862132.0,ns,409955
cyrillic,simd,8,8,bytes,7821976.0,ns,468520
cyrillic,simd,8,8,bytes,8840248.0,ns,527085
cyrillic,simd,8,8,bytes,10040680.0,ns,585650
cyrillic,simd,8,8,bytes,10892057.0,ns,644215
cyrillic,simd,8,8,bytes,11846645.0,ns,702780
cyrillic,simd,8,8,bytes,12729826.0,ns,761345
cyrillic,simd,8,8,bytes,13750365.0,ns,819910
cyrillic,simd,8,8,bytes,14684944.0,ns,878475
cyrillic,simd,8,8,bytes,15709653.0,ns,937040
cyrillic,simd,8,8,bytes,16816273.0,ns,995605
cyrillic,simd,8,8,bytes,17622488.0,ns,1054170
cyrillic,simd,8,8,bytes,18593377.0,ns,1112735
cyrillic,simd,8,8,bytes,19662675.0,ns,1171300
cyrillic,simd,8,8,bytes,20761111.0,ns,1229865
cyrillic,simd,8,8,bytes,21613207.0,ns,1288430
cyrillic,simd,8,8,bytes,22873388.0,ns,1346995
cyrillic,simd,8,8,bytes,23672131.0,ns,1405560
cyrillic,simd,8,8,bytes,24749641.0,ns,1464125
cyrillic,simd,8,8,bytes,25632258.0,ns,1522690
cyrillic,simd,8,8,bytes,26563869.0,ns,1581255
cyrillic,simd,8,8,bytes,27432646.0,ns,1639820
cyrillic,simd,8,8,bytes,28411387.0,ns,1698385
cyrillic,simd,8,8,bytes,29476620.0,ns,1756950
cyrillic,simd,8,8,bytes,30449350.0,ns,1815515
cyrillic,simd,8,8,bytes,31523445.0,ns,1874080
cyrillic,simd,8,8,bytes,32392342.0,ns,1932645
cyrillic,simd,8,8,bytes,33831846.0,ns,1991210
cyrillic,simd,8,8,bytes,34306896.0,ns,2049775
cyrillic,simd,8,8,bytes,35345563.0,ns,2108340
cyrillic,simd,8,8,bytes,36212868.0,ns,2166905
cyrillic,simd,8,8,bytes,37433063.0,ns,2225470
cyrillic,simd,8,8,bytes,38370647.0,ns,2284035
cyrillic,simd,8,8,bytes,39472967.0,ns,2342600
cyrillic,simd,8,8,bytes,40274785.0,ns,2401165
cyrillic,simd,8,8,bytes,41281909.0,ns,2459730
cyrillic,simd,8,8,bytes,42097061.0,ns,2518295
cyrillic,simd,8,8,bytes,43303700.0,ns,2576860
cyrillic,simd,8,8,bytes,46071744.0,ns,2635425
cyrillic,simd,8,8,bytes,46134982.0,ns,2693990
cyrillic,simd,8,8,bytes,46187479.0,ns,2752555
cyrillic,simd,8,8,bytes,47254643.0,ns,2811120
cyrillic,simd,8,8,bytes,47989550.0,ns,2869685
cyrillic,simd,8,8,bytes,49222293.0,ns,2928250
cyrillic,simd,8,8,bytes,50110847.0,ns,2986815
cyrillic,simd,8,8,bytes,51175771.0,ns,3045380
cyrillic,simd,8,8,bytes,52112385.0,ns,3103945
cyrillic,simd,8,8,bytes,52984438.0,ns,3162510
cyrillic,simd,8,8,bytes,53872740.0,ns,3221075
cyrillic,simd,8,8,bytes,55369885.0,ns,3279640
cyrillic,simd,8,8,bytes,55901837.0,ns,3338205
cyrillic,simd,8,8,bytes,56780351.0,ns,3396770
cyrillic,simd,8,8,bytes,58048885.0,ns,3455335
cyrillic,simd,8,8,bytes,59292943.0,ns,3513900
cyrillic,simd,8,8,bytes,60251558.0,ns,3572465
cyrillic,simd,8,8,bytes,60825488.0,ns,3631030
cyrillic,simd,8,8,bytes,61946069.0,ns,3689595
cyrillic,simd,8,8,bytes,63391505.0,ns,3748160
cyrillic,simd,8,8,bytes,64079852.0,ns,3806725
cyrillic,simd,8,8,bytes,65317457.0,ns,3865290
cyrillic,simd,8,8,bytes,66707140.0,ns,3923855
cyrillic,simd,8,8,bytes,66986409.0,ns,3982420
cyrillic,simd,8,8,bytes,67877329.0,ns,4040985
