group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
cyrillic,std,513,513,bytes,1021875.0,ns,2528
cyrillic,std,513,513,bytes,1980751.0,ns,5056
cyrillic,std,513,513,bytes,2939731.0,ns,7584
cyrillic,std,513,513,bytes,3916922.0,ns,10112
cyrillic,std,513,513,bytes,4935159.0,ns,12640
cyrillic,std,513,513,bytes,5894478.0,ns,15168
cyrillic,std,513,513,bytes,6855160.0,ns,17696
cyrillic,std,513,513,bytes,8079723.0,ns,20224
cyrillic,std,513,513,bytes,8794852.0,ns,22752
cyrillic,std,513,513,bytes,9827113.0,ns,25280
cyrillic,std,513,513,bytes,10746741.0,ns,27808
cyrillic,std,513,513,bytes,11825610.0,ns,30336
cyrillic,std,513,513,bytes,12652245.0,ns,32864
cyrillic,std,513,513,bytes,13717680.0,ns,35392
cyrillic,std,513,513,bytes,14676359.0,ns,37920
cyrillic,std,513,513,bytes,15733178.0,ns,40448
cyrillic,std,513,513,bytes,17185303.0,ns,42976
cyrillic,std,513,513,bytes,17733936.0,ns,45504
cyrillic,std,513,513,bytes,18753197.0,ns,48032
cyrillic,std,513,513,bytes,19674311.0,ns,50560
cyrillic,std,513,513,bytes,20629280.0,ns,53088
cyrillic,std,513,513,bytes,21571011.0,ns,55616
cyrillic,std,513,513,bytes,22614007.0,ns,58144
cyrillic,std,513,513,bytes,23913520.0,ns,60672
cyrillic,std,513,513,bytes,24623933.0,ns,63200
cyrillic,std,513,513,bytes,25576339.0,ns,65728
cyrillic,std,513,513,bytes,26587700.0,ns,68256
cyrillic,std,513,513,bytes,27491760.0,ns,70784
cyrillic,std,513,513,bytes,28924899.0,ns,73312
cyrillic,std,513,513,bytes,29828898.0,ns,75840
cyrillic,std,513,513,bytes,30539459.0,ns,78368
cyrillic,std,513,513,bytes,31511939.0,ns,80896
cyrillic,std,513,513,bytes,32635918.0,ns,83424
cyrillic,std,513,513,bytes,33415799.0,ns,85952
cyrillic,std,513,513,bytes,34497261.0,ns,88480
cyrillic,std,513,513,bytes,35379351.0,ns,91008
cyrillic,std,513,513,bytes,36586094.0,ns,93536
cyrillic,std,513,513,bytes,38026279.0,ns,96064
cyrillic,std,513,513,bytes,38430561.0,ns,98592
cyrillic,std,513,513,bytes,39646375.0,ns,101120
cyrillic,std,513,513,bytes,40267298.0,ns,103648
cyrillic,std,513,513,bytes,42025779.0,ns,106176
cyrillic,std,513,513,bytes,42288200.0,ns,108704
cyrillic,std,513,513,bytes,43644071.0,ns,111232
cyrillic,std,513,513,bytes,44294589.0,ns,113760
cyrillic,std,513,513,bytes,45758632.0,ns,116288
cyrillic,std,513,513,bytes,46286998.0,ns,118816
cyrillic,std,513,513,bytes,47392815.0,ns,121344
cyrillic,std,513,513,bytes,50525638.0,ns,123872
cyrillic,std,513,513,bytes,49193187.0,ns,126400
cyrillic,std,513,513,bytes,50865018.0,ns,128928
cyrillic,std,513,513,bytes,51305917.0,ns,131456
cyrillic,std,513,513,bytes,52148782.0,ns,133984
cyrillic,std,513,513,bytes,53170761.0,ns,136512
cyrillic,std,513,513,bytes,54138075.0,ns,139040
cyrillic,std,513,513,bytes,55290206.0,ns,141568
cyrillic,std,513,513,bytes,56262473.0,ns,144096
cyrillic,std,513,513,bytes,57112728.0,ns,146624
cyrillic,std,513,513,bytes,58053691.0,ns,149152
cyrillic,std,513,513,bytes,59281832.0,ns,151680
cyrillic,std,513,513,bytes,60034747.0,ns,154208
cyrillic,std,513,513,bytes,61001193.0,ns,156736
cyrillic,std,513,513,bytes,63327189.0,ns,159264
cyrillic,std,513,513,bytes,63542626.0,ns,161792
cyrillic,std,513,513,bytes,64128136.0,ns,164320
cyrillic,std,513,513,bytes,64878712.0,ns,166848
cyrillic,std,513,513,bytes,65580567.0,ns,169376
cyrillic,std,513,513,bytes,67417937.0,ns,171904
cyrillic,std,513,513,bytes,68104238.0,ns,174432
cyrillic,std,513,513,bytes,69235939.0,ns,176960
cyrillic,std,513,513,bytes,69880217.0,ns,179488
cyrillic,std,513,513,bytes,70773078.0,ns,182016
cyrillic,std,513,513,bytes,71876113.0,ns,184544
cyrillic,std,513,513,bytes,73118114.0,ns,187072
cyrillic,std,513,513,bytes,73894554.0,ns,189600
cyrillic,std,513,513,bytes,75132117.0,ns,192128
cyrillic,std,513,513,bytes,75837653.0,ns,194656
cyrillic,std,513,513,bytes,77972869.0,ns,197184
cyrillic,std,513,513,bytes,79972217.0,ns,199712
cyrillic,std,513,513,bytes,79822189.0,ns,202240
cyrillic,std,513,513,bytes,80469545.0,ns,204768
cyrillic,std,513,513,bytes,82639903.0,ns,207296
cyrillic,std,513,513,bytes,81668203.0,ns,209824
cyrillic,std,513,513,bytes,85441350.0,ns,212352
cyrillic,std,513,513,bytes,86569557.0,ns,214880
cyrillic,std,513,513,bytes,87573325.0,ns,217408
cyrillic,std,513,513,bytes,88437814.0,ns,219936
cyrillic,std,513,513,bytes,90034112.0,ns,222464
cyrillic,std,513,513,bytes,88328512.0,ns,224992
cyrillic,std,513,513,bytes,88949238.0,ns,227520
cyrillic,std,513,513,bytes,94190835.0,ns,230048
cyrillic,std,513,513,bytes,91346203.0,ns,232576
cyrillic,std,513,513,bytes,92310410.0,ns,235104
cyrillic,std,513,513,bytes,92613904.0,ns,237632
cyrillic,std,513,513,bytes,95805978.0,ns,240160
cyrillic,std,513,513,bytes,99722011.0,ns,242688
cyrillic,std,513,513,bytes,96700270.0,ns,245216
cyrillic,std,513,513,bytes,96480743.0,ns,247744
cyrillic,std,513,513,bytes,97300904.0,ns,250272
cyrillic,std,513,513,bytes,98566405.0,ns,252800
