group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
eight umlauts - stdlib,,,,,1023167.0,ns,57589
eight umlauts - stdlib,,,,,1959008.0,ns,115178
eight umlauts - stdlib,,,,,2936154.0,ns,172767
eight umlauts - stdlib,,,,,3933338.0,ns,230356
eight umlauts - stdlib,,,,,4891832.0,ns,287945
eight umlauts - stdlib,,,,,5870274.0,ns,345534
eight umlauts - stdlib,,,,,6961394.0,ns,403123
eight umlauts - stdlib,,,,,7828504.0,ns,460712
eight umlauts - stdlib,,,,,8826128.0,ns,518301
eight umlauts - stdlib,,,,,9825948.0,ns,575890
eight umlauts - stdlib,,,,,10802031.0,ns,633479
eight umlauts - stdlib,,,,,12320941.0,ns,691068
eight umlauts - stdlib,,,,,13944803.0,ns,748657
eight umlauts - stdlib,,,,,14557991.0,ns,806246
eight umlauts - stdlib,,,,,14774255.0,ns,863835
eight umlauts - stdlib,,,,,15697955.0,ns,921424
eight umlauts - stdlib,,,,,16653614.0,ns,979013
eight umlauts - stdlib,,,,,17837863.0,ns,1036602
eight umlauts - stdlib,,,,,18635008.0,ns,1094191
eight umlauts - stdlib,,,,,19776130.0,ns,1151780
eight umlauts - stdlib,,,,,20755079.0,ns,1209369
eight umlauts - stdlib,,,,,21594304.0,ns,1266958
eight umlauts - stdlib,,,,,22648656.0,ns,1324547
eight umlauts - stdlib,,,,,23544056.0,ns,1382136
eight umlauts - stdlib,,,,,24571624.0,ns,1439725
eight umlauts - stdlib,,,,,25561598.0,ns,1497314
eight umlauts - stdlib,,,,,26508153.0,ns,1554903
eight umlauts - stdlib,,,,,27521945.0,ns,1612492
eight umlauts - stdlib,,,,,28546543.0,ns,1670081
eight umlauts - stdlib,,,,,29663383.0,ns,1727670
eight umlauts - stdlib,,,,,30436950.0,ns,1785259
eight umlauts - stdlib,,,,,31350047.0,ns,1842848
eight umlauts - stdlib,,,,,32331232.0,ns,1900437
eight umlauts - stdlib,,,,,33396204.0,ns,1958026
eight umlauts - stdlib,,,,,37695796.0,ns,2015615
eight umlauts - stdlib,,,,,35451755.0,ns,2073204
eight umlauts - stdlib,,,,,36468997.0,ns,2130793
eight umlauts - stdlib,,,,,37703811.0,ns,2188382
eight umlauts - stdlib,,,,,38915618.0,ns,2245971
eight umlauts - stdlib,,,,,39435449.0,ns,2303560
eight umlauts - stdlib,,,,,40812638.0,ns,2361149
eight umlauts - stdlib,,,,,42063351.0,ns,2418738
eight umlauts - stdlib,,,,,42373532.0,ns,2476327
eight umlauts - stdlib,,,,,43546023.0,ns,2533916
eight umlauts - stdlib,,,,,44282332.0,ns,2591505
eight umlauts - stdlib,,,,,46033852.0,ns,2649094
eight umlauts - stdlib,,,,,46175303.0,ns,2706683
eight umlauts - stdlib,,,,,47929615.0,ns,2764272
eight umlauts - stdlib,,,,,48392422.0,ns,2821861
eight umlauts - stdlib,,,,,49137944.0,ns,2879450
eight umlauts - stdlib,,,,,50183423.0,ns,2937039
eight umlauts - stdlib,,,,,51083283.0,ns,2994628
eight umlauts - stdlib,,,,,52283211.0,ns,3052217
eight umlauts - stdlib,,,,,53404390.0,ns,3109806
eight umlauts - stdlib,,,,,54014129.0,ns,3167395
eight umlauts - stdlib,,,,,55005285.0,ns,3224984
eight umlauts - stdlib,,,,,55935066.0,ns,3282573
eight umlauts - stdlib,,,,,57282870.0,ns,3340162
eight umlauts - stdlib,,,,,58171162.0,ns,3397751
eight umlauts - stdlib,,,,,58787476.0,ns,3455340
eight umlauts - stdlib,,,,,60136584.0,ns,3512929
eight umlauts - stdlib,,,,,61196729.0,ns,3570518
eight umlauts - stdlib,,,,,62170402.0,ns,3628107
eight umlauts - stdlib,,,,,62892544.0,ns,3685696
eight umlauts - stdlib,,,,,63826225.0,ns,3743285
eight umlauts - stdlib,,,,,65806585.0,ns,3800874
eight umlauts - stdlib,,,,,68586989.0,ns,3858463
eight umlauts - stdlib,,,,,66711090.0,ns,3916052
eight umlauts - stdlib,,,,,68362150.0,ns,3973641
eight umlauts - stdlib,,,,,68725862.0,ns,4031230
eight umlauts - stdlib,,,,,70094272.0,ns,4088819
eight umlauts - stdlib,,,,,70656243.0,ns,4146408
eight umlauts - stdlib,,,,,71923594.0,ns,4203997
eight umlauts - stdlib,,,,,73322398.0,ns,4261586
eight umlauts - stdlib,,,,,73484702.0,ns,4319175
eight umlauts - stdlib,,,,,74677905.0,ns,4376764
eight umlauts - stdlib,,,,,75900516.0,ns,4434353
eight umlauts - stdlib,,,,,76853859.0,ns,4491942
eight umlauts - stdlib,,,,,77403900.0,ns,4549531
eight umlauts - stdlib,,,,,78556134.0,ns,4607120
eight umlauts - stdlib,,,,,80031067.0,ns,4664709
eight umlauts - stdlib,,,,,81296753.0,ns,4722298
eight umlauts - stdlib,,,,,83328957.0,ns,4779887
eight umlauts - stdlib,,,,,83776356.0,ns,4837476
eight umlauts - stdlib,,,,,83461942.0,ns,4895065
eight umlauts - stdlib,,,,,84832956.0,ns,4952654
eight umlauts - stdlib,,,,,86207354.0,ns,5010243
eight umlauts - stdlib,,,,,86645405.0,ns,5067832
eight umlauts - stdlib,,,,,88067927.0,ns,5125421
eight umlauts - stdlib,,,,,88686935.0,ns,5183010
eight umlauts - stdlib,,,,,89240941.0,ns,5240599
eight umlauts - stdlib,,,,,92084752.0,ns,5298188
eight umlauts - stdlib,,,,,94566628.0,ns,5355777
eight umlauts - stdlib,,,,,92693766.0,ns,5413366
eight umlauts - stdlib,,,,,93474833.0,ns,5470955
eight umlauts - stdlib,,,,,94159429.0,ns,5528544
eight umlauts - stdlib,,,,,95577072.0,ns,5586133
eight umlauts - stdlib,,,,,96561994.0,ns,5643722
eight umlauts - stdlib,,,,,97900715.0,ns,5701311
eight umlauts - stdlib,,,,,98726411.0,ns,5758900
