group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
eight umlauts,,,,,977084.0,ns,51500
eight umlauts,,,,,1893564.0,ns,103000
eight umlauts,,,,,2805729.0,ns,154500
eight umlauts,,,,,3740838.0,ns,206000
eight umlauts,,,,,4693951.0,ns,257500
eight umlauts,,,,,5648725.0,ns,309000
eight umlauts,,,,,6567630.0,ns,360500
eight umlauts,,,,,7521995.0,ns,412000
eight umlauts,,,,,8415518.0,ns,463500
eight umlauts,,,,,9369285.0,ns,515000
eight umlauts,,,,,10347401.0,ns,566500
eight umlauts,,,,,11219461.0,ns,618000
eight umlauts,,,,,12585920.0,ns,669500
eight umlauts,,,,,13131367.0,ns,721000
eight umlauts,,,,,14169752.0,ns,772500
eight umlauts,,,,,15020540.0,ns,824000
eight umlauts,,,,,15960763.0,ns,875500
eight umlauts,,,,,16957490.0,ns,927000
eight umlauts,,,,,17786171.0,ns,978500
eight umlauts,,,,,18898848.0,ns,1030000
eight umlauts,,,,,19996032.0,ns,1081500
eight umlauts,,,,,20813085.0,ns,1133000
eight umlauts,,,,,21646041.0,ns,1184500
eight umlauts,,,,,22549384.0,ns,1236000
eight umlauts,,,,,23545508.0,ns,1287500
eight umlauts,,,,,24635521.0,ns,1339000
eight umlauts,,,,,25419844.0,ns,1390500
eight umlauts,,,,,26344282.0,ns,1442000
eight umlauts,,,,,27275449.0,ns,1493500
eight umlauts,,,,,28173334.0,ns,1545000
eight umlauts,,,,,29051782.0,ns,1596500
eight umlauts,,,,,30068520.0,ns,1648000
eight umlauts,,,,,31010777.0,ns,1699500
eight umlauts,,,,,32016171.0,ns,1751000
eight umlauts,,,,,33161288.0,ns,1802500
eight umlauts,,,,,33702579.0,ns,1854000
eight umlauts,,,,,34740455.0,ns,1905500
eight umlauts,,,,,35570548.0,ns,1957000
eight umlauts,,,,,36798260.0,ns,2008500
eight umlauts,,,,,37597914.0,ns,2060000
eight umlauts,,,,,39284264.0,ns,2111500
eight umlauts,,,,,39765308.0,ns,2163000
eight umlauts,,,,,40483795.0,ns,2214500
eight umlauts,,,,,42312706.0,ns,2266000
eight umlauts,,,,,44040160.0,ns,2317500
eight umlauts,,,,,43266140.0,ns,2369000
eight umlauts,,,,,44184367.0,ns,2420500
eight umlauts,,,,,45395269.0,ns,2472000
eight umlauts,,,,,46023561.0,ns,2523500
eight umlauts,,,,,46902570.0,ns,2575000
eight umlauts,,,,,47964261.0,ns,2626500
eight umlauts,,,,,48853321.0,ns,2678000
eight umlauts,,,,,50204032.0,ns,2729500
eight umlauts,,,,,50655953.0,ns,2781000
eight umlauts,,,,,51545959.0,ns,2832500
eight umlauts,,,,,52589337.0,ns,2884000
eight umlauts,,,,,53626298.0,ns,2935500
eight umlauts,,,,,54732294.0,ns,2987000
eight umlauts,,,,,55304330.0,ns,3038500
eight umlauts,,,,,56468998.0,ns,3090000
eight umlauts,,,,,57756845.0,ns,3141500
eight umlauts,,,,,58321634.0,ns,3193000
eight umlauts,,,,,59087784.0,ns,3244500
eight umlauts,,,,,60048029.0,ns,3296000
eight umlauts,,,,,60993478.0,ns,3347500
eight umlauts,,,,,62029907.0,ns,3399000
eight umlauts,,,,,62916469.0,ns,3450500
eight umlauts,,,,,63698866.0,ns,3502000
eight umlauts,,,,,64852397.0,ns,3553500
eight umlauts,,,,,65889235.0,ns,3605000
eight umlauts,,,,,67029183.0,ns,3656500
eight umlauts,,,,,67524778.0,ns,3708000
eight umlauts,,,,,68472982.0,ns,3759500
eight umlauts,,,,,69862458.0,ns,3811000
eight umlauts,,,,,70470182.0,ns,3862500
eight umlauts,,,,,71517130.0,ns,3914000
eight umlauts,,,,,72122618.0,ns,3965500
eight umlauts,,,,,73445240.0,ns,4017000
eight umlauts,,,,,74093012.0,ns,4068500
eight umlauts,,,,,76982587.0,ns,4120000
eight umlauts,,,,,77112007.0,ns,4171500
eight umlauts,,,,,76903343.0,ns,4223000
eight umlauts,,,,,78298917.0,ns,4274500
eight umlauts,,,,,82780138.0,ns,4326000
eight umlauts,,,,,80047158.0,ns,4377500
eight umlauts,,,,,80833258.0,ns,4429000
eight umlauts,,,,,82759852.0,ns,4480500
eight umlauts,,,,,82657503.0,ns,4532000
eight umlauts,,,,,84164555.0,ns,4583500
eight umlauts,,,,,85511899.0,ns,4635000
eight umlauts,,,,,85404223.0,ns,4686500
eight umlauts,,,,,86424183.0,ns,4738000
eight umlauts,,,,,87615413.0,ns,4789500
eight umlauts,,,,,88230925.0,ns,4841000
eight umlauts,,,,,89130373.0,ns,4892500
eight umlauts,,,,,90779940.0,ns,4944000
eight umlauts,,,,,90802061.0,ns,4995500
eight umlauts,,,,,92348843.0,ns,5047000
eight umlauts,,,,,93465161.0,ns,5098500
eight umlauts,,,,,94337766.0,ns,5150000
