group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
emoij,simd,4099,4099,bytes,1019577.0,ns,2823
emoij,simd,4099,4099,bytes,1953875.0,ns,5646
emoij,simd,4099,4099,bytes,2933657.0,ns,8469
emoij,simd,4099,4099,bytes,3934773.0,ns,11292
emoij,simd,4099,4099,bytes,4905899.0,ns,14115
emoij,simd,4099,4099,bytes,5910310.0,ns,16938
emoij,simd,4099,4099,bytes,6887684.0,ns,19761
emoij,simd,4099,4099,bytes,7867425.0,ns,22584
emoij,simd,4099,4099,bytes,8795371.0,ns,25407
emoij,simd,4099,4099,bytes,9791743.0,ns,28230
emoij,simd,4099,4099,bytes,10873726.0,ns,31053
emoij,simd,4099,4099,bytes,11867356.0,ns,33876
emoij,simd,4099,4099,bytes,12926102.0,ns,36699
emoij,simd,4099,4099,bytes,13874662.0,ns,39522
emoij,simd,4099,4099,bytes,14764659.0,ns,42345
emoij,simd,4099,4099,bytes,15700945.0,ns,45168
emoij,simd,4099,4099,bytes,16681244.0,ns,47991
emoij,simd,4099,4099,bytes,17657470.0,ns,50814
emoij,simd,4099,4099,bytes,18663018.0,ns,53637
emoij,simd,4099,4099,bytes,19813115.0,ns,56460
emoij,simd,4099,4099,bytes,20712658.0,ns,59283
emoij,simd,4099,4099,bytes,21689163.0,ns,62106
emoij,simd,4099,4099,bytes,23138213.0,ns,64929
emoij,simd,4099,4099,bytes,23694764.0,ns,67752
emoij,simd,4099,4099,bytes,25191924.0,ns,70575
emoij,simd,4099,4099,bytes,25534527.0,ns,73398
emoij,simd,4099,4099,bytes,26454942.0,ns,76221
emoij,simd,4099,4099,bytes,27458956.0,ns,79044
emoij,simd,4099,4099,bytes,28437451.0,ns,81867
emoij,simd,4099,4099,bytes,29635327.0,ns,84690
emoij,simd,4099,4099,bytes,30402629.0,ns,87513
emoij,simd,4099,4099,bytes,31442061.0,ns,90336
emoij,simd,4099,4099,bytes,32344874.0,ns,93159
emoij,simd,4099,4099,bytes,33377858.0,ns,95982
emoij,simd,4099,4099,bytes,34350708.0,ns,98805
emoij,simd,4099,4099,bytes,35263176.0,ns,101628
emoij,simd,4099,4099,bytes,36219340.0,ns,104451
emoij,simd,4099,4099,bytes,37773526.0,ns,107274
emoij,simd,4099,4099,bytes,38260174.0,ns,110097
emoij,simd,4099,4099,bytes,39240016.0,ns,112920
emoij,simd,4099,4099,bytes,43503007.0,ns,115743
emoij,simd,4099,4099,bytes,41579640.0,ns,118566
emoij,simd,4099,4099,bytes,42218551.0,ns,121389
emoij,simd,4099,4099,bytes,43414738.0,ns,124212
emoij,simd,4099,4099,bytes,44286288.0,ns,127035
emoij,simd,4099,4099,bytes,45041899.0,ns,129858
emoij,simd,4099,4099,bytes,46220975.0,ns,132681
emoij,simd,4099,4099,bytes,47104707.0,ns,135504
emoij,simd,4099,4099,bytes,48275539.0,ns,138327
emoij,simd,4099,4099,bytes,49167506.0,ns,141150
emoij,simd,4099,4099,bytes,49978559.0,ns,143973
emoij,simd,4099,4099,bytes,51092637.0,ns,146796
emoij,simd,4099,4099,bytes,52377164.0,ns,149619
emoij,simd,4099,4099,bytes,53380338.0,ns,152442
emoij,simd,4099,4099,bytes,54032455.0,ns,155265
emoij,simd,4099,4099,bytes,55142328.0,ns,158088
emoij,simd,4099,4099,bytes,56564154.0,ns,160911
emoij,simd,4099,4099,bytes,56938761.0,ns,163734
emoij,simd,4099,4099,bytes,58477632.0,ns,166557
emoij,simd,4099,4099,bytes,58892467.0,ns,169380
emoij,simd,4099,4099,bytes,60147006.0,ns,172203
emoij,simd,4099,4099,bytes,60853883.0,ns,175026
emoij,simd,4099,4099,bytes,62619762.0,ns,177849
emoij,simd,4099,4099,bytes,62972002.0,ns,180672
emoij,simd,4099,4099,bytes,63752703.0,ns,183495
emoij,simd,4099,4099,bytes,65384953.0,ns,186318
emoij,simd,4099,4099,bytes,66100496.0,ns,189141
emoij,simd,4099,4099,bytes,66687970.0,ns,191964
emoij,simd,4099,4099,bytes,69834727.0,ns,194787
emoij,simd,4099,4099,bytes,70784700.0,ns,197610
emoij,simd,4099,4099,bytes,70159242.0,ns,200433
emoij,simd,4099,4099,bytes,71001888.0,ns,203256
emoij,simd,4099,4099,bytes,71740293.0,ns,206079
emoij,simd,4099,4099,bytes,73303527.0,ns,208902
emoij,simd,4099,4099,bytes,73645120.0,ns,211725
emoij,simd,4099,4099,bytes,77752221.0,ns,214548
emoij,simd,4099,4099,bytes,75971348.0,ns,217371
emoij,simd,4099,4099,bytes,76508459.0,ns,220194
emoij,simd,4099,4099,bytes,77696531.0,ns,223017
emoij,simd,4099,4099,bytes,78968480.0,ns,225840
emoij,simd,4099,4099,bytes,80764540.0,ns,228663
emoij,simd,4099,4099,bytes,80829743.0,ns,231486
emoij,simd,4099,4099,bytes,81606689.0,ns,234309
emoij,simd,4099,4099,bytes,82753221.0,ns,237132
emoij,simd,4099,4099,bytes,83517260.0,ns,239955
emoij,simd,4099,4099,bytes,84332502.0,ns,242778
emoij,simd,4099,4099,bytes,85749911.0,ns,245601
emoij,simd,4099,4099,bytes,86631748.0,ns,248424
emoij,simd,4099,4099,bytes,87569361.0,ns,251247
emoij,simd,4099,4099,bytes,88572740.0,ns,254070
emoij,simd,4099,4099,bytes,89406763.0,ns,256893
emoij,simd,4099,4099,bytes,90435237.0,ns,259716
emoij,simd,4099,4099,bytes,91448397.0,ns,262539
emoij,simd,4099,4099,bytes,92321586.0,ns,265362
emoij,simd,4099,4099,bytes,95576248.0,ns,268185
emoij,simd,4099,4099,bytes,96348820.0,ns,271008
emoij,simd,4099,4099,bytes,95829481.0,ns,273831
emoij,simd,4099,4099,bytes,97830690.0,ns,276654
emoij,simd,4099,4099,bytes,101058248.0,ns,279477
emoij,simd,4099,4099,bytes,98486136.0,ns,282300
