group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
emoij,std,4099,4099,bytes,1022807.0,ns,481
emoij,std,4099,4099,bytes,1961122.0,ns,962
emoij,std,4099,4099,bytes,2942873.0,ns,1443
emoij,std,4099,4099,bytes,3924516.0,ns,1924
emoij,std,4099,4099,bytes,4923642.0,ns,2405
emoij,std,4099,4099,bytes,5888375.0,ns,2886
emoij,std,4099,4099,bytes,6868488.0,ns,3367
emoij,std,4099,4099,bytes,7906444.0,ns,3848
emoij,std,4099,4099,bytes,8829245.0,ns,4329
emoij,std,4099,4099,bytes,9889352.0,ns,4810
emoij,std,4099,4099,bytes,10989009.0,ns,5291
emoij,std,4099,4099,bytes,11833828.0,ns,5772
emoij,std,4099,4099,bytes,12793481.0,ns,6253
emoij,std,4099,4099,bytes,13862437.0,ns,6734
emoij,std,4099,4099,bytes,14776415.0,ns,7215
emoij,std,4099,4099,bytes,15822484.0,ns,7696
emoij,std,4099,4099,bytes,16947300.0,ns,8177
emoij,std,4099,4099,bytes,17785650.0,ns,8658
emoij,std,4099,4099,bytes,18737372.0,ns,9139
emoij,std,4099,4099,bytes,19689454.0,ns,9620
emoij,std,4099,4099,bytes,20666381.0,ns,10101
emoij,std,4099,4099,bytes,21688802.0,ns,10582
emoij,std,4099,4099,bytes,22649367.0,ns,11063
emoij,std,4099,4099,bytes,23645687.0,ns,11544
emoij,std,4099,4099,bytes,24811173.0,ns,12025
emoij,std,4099,4099,bytes,25569524.0,ns,12506
emoij,std,4099,4099,bytes,26693528.0,ns,12987
emoij,std,4099,4099,bytes,27784454.0,ns,13468
emoij,std,4099,4099,bytes,28595421.0,ns,13949
emoij,std,4099,4099,bytes,29468775.0,ns,14430
emoij,std,4099,4099,bytes,30453219.0,ns,14911
emoij,std,4099,4099,bytes,31831333.0,ns,15392
emoij,std,4099,4099,bytes,32471510.0,ns,15873
emoij,std,4099,4099,bytes,33572491.0,ns,16354
emoij,std,4099,4099,bytes,34440572.0,ns,16835
emoij,std,4099,4099,bytes,35712082.0,ns,17316
emoij,std,4099,4099,bytes,37050468.0,ns,17797
emoij,std,4099,4099,bytes,38692798.0,ns,18278
emoij,std,4099,4099,bytes,38723095.0,ns,18759
emoij,std,4099,4099,bytes,39701848.0,ns,19240
emoij,std,4099,4099,bytes,40282071.0,ns,19721
emoij,std,4099,4099,bytes,41258731.0,ns,20202
emoij,std,4099,4099,bytes,42806587.0,ns,20683
emoij,std,4099,4099,bytes,43219074.0,ns,21164
emoij,std,4099,4099,bytes,44389679.0,ns,21645
emoij,std,4099,4099,bytes,45347592.0,ns,22126
emoij,std,4099,4099,bytes,46799380.0,ns,22607
emoij,std,4099,4099,bytes,47637760.0,ns,23088
emoij,std,4099,4099,bytes,48130246.0,ns,23569
