group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fox - stdlib,,,,,1041219.0,ns,77737
fox - stdlib,,,,,1954351.0,ns,155474
fox - stdlib,,,,,2966811.0,ns,233211
fox - stdlib,,,,,3904278.0,ns,310948
fox - stdlib,,,,,4922067.0,ns,388685
fox - stdlib,,,,,5876986.0,ns,466422
fox - stdlib,,,,,7068892.0,ns,544159
fox - stdlib,,,,,7872252.0,ns,621896
fox - stdlib,,,,,8804957.0,ns,699633
fox - stdlib,,,,,9780131.0,ns,777370
fox - stdlib,,,,,10861825.0,ns,855107
fox - stdlib,,,,,11734043.0,ns,932844
fox - stdlib,,,,,12730859.0,ns,1010581
fox - stdlib,,,,,13686399.0,ns,1088318
fox - stdlib,,,,,14947892.0,ns,1166055
fox - stdlib,,,,,15737155.0,ns,1243792
fox - stdlib,,,,,16634331.0,ns,1321529
fox - stdlib,,,,,17649303.0,ns,1399266
fox - stdlib,,,,,18716829.0,ns,1477003
fox - stdlib,,,,,19581982.0,ns,1554740
fox - stdlib,,,,,20977992.0,ns,1632477
fox - stdlib,,,,,21848311.0,ns,1710214
fox - stdlib,,,,,22703345.0,ns,1787951
fox - stdlib,,,,,23556487.0,ns,1865688
fox - stdlib,,,,,24442232.0,ns,1943425
fox - stdlib,,,,,25509181.0,ns,2021162
fox - stdlib,,,,,26650316.0,ns,2098899
fox - stdlib,,,,,27519826.0,ns,2176636
fox - stdlib,,,,,28429332.0,ns,2254373
fox - stdlib,,,,,29328592.0,ns,2332110
fox - stdlib,,,,,30321147.0,ns,2409847
fox - stdlib,,,,,31307143.0,ns,2487584
fox - stdlib,,,,,32996717.0,ns,2565321
fox - stdlib,,,,,33386637.0,ns,2643058
fox - stdlib,,,,,34439072.0,ns,2720795
fox - stdlib,,,,,35338727.0,ns,2798532
fox - stdlib,,,,,36489607.0,ns,2876269
fox - stdlib,,,,,37243665.0,ns,2954006
fox - stdlib,,,,,38150620.0,ns,3031743
fox - stdlib,,,,,39294260.0,ns,3109480
fox - stdlib,,,,,40219846.0,ns,3187217
fox - stdlib,,,,,41822646.0,ns,3264954
fox - stdlib,,,,,42413907.0,ns,3342691
fox - stdlib,,,,,43092658.0,ns,3420428
fox - stdlib,,,,,44111279.0,ns,3498165
fox - stdlib,,,,,47587123.0,ns,3575902
fox - stdlib,,,,,46240637.0,ns,3653639
fox - stdlib,,,,,47493707.0,ns,3731376
fox - stdlib,,,,,48326323.0,ns,3809113
fox - stdlib,,,,,48973508.0,ns,3886850
fox - stdlib,,,,,50069133.0,ns,3964587
fox - stdlib,,,,,50867109.0,ns,4042324
fox - stdlib,,,,,52208051.0,ns,4120061
fox - stdlib,,,,,52962434.0,ns,4197798
fox - stdlib,,,,,54013184.0,ns,4275535
fox - stdlib,,,,,55049082.0,ns,4353272
fox - stdlib,,,,,56463511.0,ns,4431009
fox - stdlib,,,,,57006209.0,ns,4508746
fox - stdlib,,,,,57707715.0,ns,4586483
fox - stdlib,,,,,58827081.0,ns,4664220
fox - stdlib,,,,,59770573.0,ns,4741957
fox - stdlib,,,,,61137583.0,ns,4819694
fox - stdlib,,,,,61685834.0,ns,4897431
fox - stdlib,,,,,62915423.0,ns,4975168
fox - stdlib,,,,,64704926.0,ns,5052905
fox - stdlib,,,,,65090292.0,ns,5130642
fox - stdlib,,,,,65582061.0,ns,5208379
fox - stdlib,,,,,66677664.0,ns,5286116
fox - stdlib,,,,,67817010.0,ns,5363853
fox - stdlib,,,,,69081525.0,ns,5441590
fox - stdlib,,,,,69384298.0,ns,5519327
fox - stdlib,,,,,70767508.0,ns,5597064
fox - stdlib,,,,,71765496.0,ns,5674801
fox - stdlib,,,,,73119115.0,ns,5752538
fox - stdlib,,,,,73446728.0,ns,5830275
fox - stdlib,,,,,74764115.0,ns,5908012
fox - stdlib,,,,,75424699.0,ns,5985749
fox - stdlib,,,,,76508127.0,ns,6063486
fox - stdlib,,,,,77495962.0,ns,6141223
fox - stdlib,,,,,82917942.0,ns,6218960
fox - stdlib,,,,,81128408.0,ns,6296697
fox - stdlib,,,,,80210874.0,ns,6374434
fox - stdlib,,,,,81843571.0,ns,6452171
fox - stdlib,,,,,82708906.0,ns,6529908
fox - stdlib,,,,,88342162.0,ns,6607645
fox - stdlib,,,,,86762752.0,ns,6685382
fox - stdlib,,,,,85456820.0,ns,6763119
fox - stdlib,,,,,86479610.0,ns,6840856
fox - stdlib,,,,,87945690.0,ns,6918593
fox - stdlib,,,,,88531819.0,ns,6996330
fox - stdlib,,,,,89596255.0,ns,7074067
fox - stdlib,,,,,90491132.0,ns,7151804
fox - stdlib,,,,,91172549.0,ns,7229541
fox - stdlib,,,,,92807318.0,ns,7307278
fox - stdlib,,,,,92914844.0,ns,7385015
fox - stdlib,,,,,95066988.0,ns,7462752
fox - stdlib,,,,,100809400.0,ns,7540489
fox - stdlib,,,,,98617042.0,ns,7618226
fox - stdlib,,,,,97284710.0,ns,7695963
fox - stdlib,,,,,98010436.0,ns,7773700
