group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fox,,,,,1033536.0,ns,70526
fox,,,,,1940634.0,ns,141052
fox,,,,,2944547.0,ns,211578
fox,,,,,3902869.0,ns,282104
fox,,,,,4879203.0,ns,352630
fox,,,,,5831599.0,ns,423156
fox,,,,,6824231.0,ns,493682
fox,,,,,7790816.0,ns,564208
fox,,,,,8760603.0,ns,634734
fox,,,,,9828140.0,ns,705260
fox,,,,,10707732.0,ns,775786
fox,,,,,11655445.0,ns,846312
fox,,,,,12655837.0,ns,916838
fox,,,,,13736336.0,ns,987364
fox,,,,,14594193.0,ns,1057890
fox,,,,,15650714.0,ns,1128416
fox,,,,,16534821.0,ns,1198942
fox,,,,,17520462.0,ns,1269468
fox,,,,,18478786.0,ns,1339994
fox,,,,,19589546.0,ns,1410520
fox,,,,,20688857.0,ns,1481046
fox,,,,,24910951.0,ns,1551572
fox,,,,,22532048.0,ns,1622098
fox,,,,,23397900.0,ns,1692624
fox,,,,,24308301.0,ns,1763150
fox,,,,,25379506.0,ns,1833676
fox,,,,,26680663.0,ns,1904202
fox,,,,,27512274.0,ns,1974728
fox,,,,,28412020.0,ns,2045254
fox,,,,,29319145.0,ns,2115780
fox,,,,,30667341.0,ns,2186306
fox,,,,,31190652.0,ns,2256832
fox,,,,,32207203.0,ns,2327358
fox,,,,,33362028.0,ns,2397884
fox,,,,,34126092.0,ns,2468410
fox,,,,,35351593.0,ns,2538936
fox,,,,,36298143.0,ns,2609462
fox,,,,,37158511.0,ns,2679988
fox,,,,,38259800.0,ns,2750514
fox,,,,,39332064.0,ns,2821040
fox,,,,,40173281.0,ns,2891566
fox,,,,,40970681.0,ns,2962092
fox,,,,,42639752.0,ns,3032618
fox,,,,,43037125.0,ns,3103144
fox,,,,,46397855.0,ns,3173670
fox,,,,,44953674.0,ns,3244196
fox,,,,,45870806.0,ns,3314722
fox,,,,,46945143.0,ns,3385248
fox,,,,,47887690.0,ns,3455774
fox,,,,,49182775.0,ns,3526300
fox,,,,,49886415.0,ns,3596826
fox,,,,,50771664.0,ns,3667352
fox,,,,,51654248.0,ns,3737878
fox,,,,,52562381.0,ns,3808404
fox,,,,,53999198.0,ns,3878930
fox,,,,,54879720.0,ns,3949456
fox,,,,,55501077.0,ns,4019982
fox,,,,,56555960.0,ns,4090508
fox,,,,,57632324.0,ns,4161034
fox,,,,,58583876.0,ns,4231560
fox,,,,,59466214.0,ns,4302086
fox,,,,,61164154.0,ns,4372612
fox,,,,,61312784.0,ns,4443138
fox,,,,,62678095.0,ns,4513664
fox,,,,,63369969.0,ns,4584190
fox,,,,,64337679.0,ns,4654716
fox,,,,,66188878.0,ns,4725242
fox,,,,,66644524.0,ns,4795768
fox,,,,,67646219.0,ns,4866294
fox,,,,,68294141.0,ns,4936820
fox,,,,,69496994.0,ns,5007346
fox,,,,,70075043.0,ns,5077872
fox,,,,,71102658.0,ns,5148398
fox,,,,,72300782.0,ns,5218924
fox,,,,,73423644.0,ns,5289450
fox,,,,,74187187.0,ns,5359976
fox,,,,,75334112.0,ns,5430502
fox,,,,,76348876.0,ns,5501028
fox,,,,,79284095.0,ns,5571554
fox,,,,,78852342.0,ns,5642080
fox,,,,,79468716.0,ns,5712606
fox,,,,,79892653.0,ns,5783132
fox,,,,,81037841.0,ns,5853658
fox,,,,,82284224.0,ns,5924184
fox,,,,,83397320.0,ns,5994710
fox,,,,,83922346.0,ns,6065236
fox,,,,,85276841.0,ns,6135762
fox,,,,,87214110.0,ns,6206288
fox,,,,,86892584.0,ns,6276814
fox,,,,,88156829.0,ns,6347340
fox,,,,,88630170.0,ns,6417866
fox,,,,,89732787.0,ns,6488392
fox,,,,,91130366.0,ns,6558918
fox,,,,,91733245.0,ns,6629444
fox,,,,,92646765.0,ns,6699970
fox,,,,,93974954.0,ns,6770496
fox,,,,,94511133.0,ns,6841022
fox,,,,,95902451.0,ns,6911548
fox,,,,,99212852.0,ns,6982074
fox,,,,,98675489.0,ns,7052600
