group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fox_long - stdlib,,,,,1029291.0,ns,726
fox_long - stdlib,,,,,2192875.0,ns,1452
fox_long - stdlib,,,,,2938433.0,ns,2178
fox_long - stdlib,,,,,3941812.0,ns,2904
fox_long - stdlib,,,,,4959839.0,ns,3630
fox_long - stdlib,,,,,5913711.0,ns,4356
fox_long - stdlib,,,,,6893050.0,ns,5082
fox_long - stdlib,,,,,7894157.0,ns,5808
fox_long - stdlib,,,,,8829889.0,ns,6534
fox_long - stdlib,,,,,9807241.0,ns,7260
fox_long - stdlib,,,,,10838147.0,ns,7986
fox_long - stdlib,,,,,11754360.0,ns,8712
fox_long - stdlib,,,,,12770765.0,ns,9438
fox_long - stdlib,,,,,13794807.0,ns,10164
fox_long - stdlib,,,,,14827768.0,ns,10890
fox_long - stdlib,,,,,15733976.0,ns,11616
fox_long - stdlib,,,,,16719098.0,ns,12342
fox_long - stdlib,,,,,17793161.0,ns,13068
fox_long - stdlib,,,,,18649910.0,ns,13794
fox_long - stdlib,,,,,19645932.0,ns,14520
fox_long - stdlib,,,,,20746340.0,ns,15246
fox_long - stdlib,,,,,21624742.0,ns,15972
fox_long - stdlib,,,,,22922441.0,ns,16698
fox_long - stdlib,,,,,23526599.0,ns,17424
fox_long - stdlib,,,,,24559886.0,ns,18150
fox_long - stdlib,,,,,25524140.0,ns,18876
fox_long - stdlib,,,,,26518498.0,ns,19602
fox_long - stdlib,,,,,27506814.0,ns,20328
fox_long - stdlib,,,,,28631312.0,ns,21054
fox_long - stdlib,,,,,29496395.0,ns,21780
fox_long - stdlib,,,,,30655905.0,ns,22506
fox_long - stdlib,,,,,32059298.0,ns,23232
fox_long - stdlib,,,,,32506419.0,ns,23958
fox_long - stdlib,,,,,33546206.0,ns,24684
fox_long - stdlib,,,,,34282516.0,ns,25410
fox_long - stdlib,,,,,35348699.0,ns,26136
fox_long - stdlib,,,,,36428485.0,ns,26862
fox_long - stdlib,,,,,37538926.0,ns,27588
fox_long - stdlib,,,,,38548143.0,ns,28314
fox_long - stdlib,,,,,39300418.0,ns,29040
fox_long - stdlib,,,,,40943873.0,ns,29766
fox_long - stdlib,,,,,41257257.0,ns,30492
fox_long - stdlib,,,,,42448266.0,ns,31218
fox_long - stdlib,,,,,43135493.0,ns,31944
fox_long - stdlib,,,,,44491583.0,ns,32670
fox_long - stdlib,,,,,46238145.0,ns,33396
fox_long - stdlib,,,,,46291398.0,ns,34122
fox_long - stdlib,,,,,47163882.0,ns,34848
fox_long - stdlib,,,,,48259569.0,ns,35574
fox_long - stdlib,,,,,49252612.0,ns,36300
fox_long - stdlib,,,,,50236802.0,ns,37026
fox_long - stdlib,,,,,53716183.0,ns,37752
fox_long - stdlib,,,,,52600685.0,ns,38478
fox_long - stdlib,,,,,53139464.0,ns,39204
fox_long - stdlib,,,,,54431496.0,ns,39930
fox_long - stdlib,,,,,55045343.0,ns,40656
fox_long - stdlib,,,,,55937641.0,ns,41382
fox_long - stdlib,,,,,57015789.0,ns,42108
fox_long - stdlib,,,,,58038111.0,ns,42834
fox_long - stdlib,,,,,59120822.0,ns,43560
fox_long - stdlib,,,,,59817656.0,ns,44286
fox_long - stdlib,,,,,60930107.0,ns,45012
fox_long - stdlib,,,,,61823455.0,ns,45738
fox_long - stdlib,,,,,63720752.0,ns,46464
fox_long - stdlib,,,,,63831824.0,ns,47190
fox_long - stdlib,,,,,64946308.0,ns,47916
fox_long - stdlib,,,,,66607962.0,ns,48642
fox_long - stdlib,,,,,67035486.0,ns,49368
fox_long - stdlib,,,,,67610752.0,ns,50094
fox_long - stdlib,,,,,68751838.0,ns,50820
fox_long - stdlib,,,,,70051948.0,ns,51546
fox_long - stdlib,,,,,71037102.0,ns,52272
fox_long - stdlib,,,,,71553754.0,ns,52998
fox_long - stdlib,,,,,72900203.0,ns,53724
fox_long - stdlib,,,,,73787415.0,ns,54450
fox_long - stdlib,,,,,74574971.0,ns,55176
fox_long - stdlib,,,,,75762836.0,ns,55902
fox_long - stdlib,,,,,76884992.0,ns,56628
fox_long - stdlib,,,,,81013186.0,ns,57354
fox_long - stdlib,,,,,79360789.0,ns,58080
fox_long - stdlib,,,,,80104753.0,ns,58806
fox_long - stdlib,,,,,80925145.0,ns,59532
fox_long - stdlib,,,,,83833897.0,ns,60258
fox_long - stdlib,,,,,84373820.0,ns,60984
fox_long - stdlib,,,,,84140360.0,ns,61710
fox_long - stdlib,,,,,84689411.0,ns,62436
fox_long - stdlib,,,,,85950510.0,ns,63162
fox_long - stdlib,,,,,87709676.0,ns,63888
fox_long - stdlib,,,,,87856445.0,ns,64614
fox_long - stdlib,,,,,89079816.0,ns,65340
fox_long - stdlib,,,,,89912778.0,ns,66066
fox_long - stdlib,,,,,90802102.0,ns,66792
fox_long - stdlib,,,,,91869642.0,ns,67518
fox_long - stdlib,,,,,92863467.0,ns,68244
fox_long - stdlib,,,,,93635586.0,ns,68970
fox_long - stdlib,,,,,94934184.0,ns,69696
fox_long - stdlib,,,,,95482177.0,ns,70422
fox_long - stdlib,,,,,96591596.0,ns,71148
fox_long - stdlib,,,,,97422905.0,ns,71874
fox_long - stdlib,,,,,98408723.0,ns,72600
