group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fox_long,,,,,1031053.0,ns,1328
fox_long,,,,,1945747.0,ns,2656
fox_long,,,,,2919780.0,ns,3984
fox_long,,,,,3898366.0,ns,5312
fox_long,,,,,4884211.0,ns,6640
fox_long,,,,,5877525.0,ns,7968
fox_long,,,,,6830618.0,ns,9296
fox_long,,,,,7768901.0,ns,10624
fox_long,,,,,8760494.0,ns,11952
fox_long,,,,,9703180.0,ns,13280
fox_long,,,,,11248356.0,ns,14608
fox_long,,,,,11767975.0,ns,15936
fox_long,,,,,12894233.0,ns,17264
fox_long,,,,,13753435.0,ns,18592
fox_long,,,,,14585773.0,ns,19920
fox_long,,,,,15625595.0,ns,21248
fox_long,,,,,16531334.0,ns,22576
fox_long,,,,,17461628.0,ns,23904
fox_long,,,,,18399853.0,ns,25232
fox_long,,,,,19440280.0,ns,26560
fox_long,,,,,20809920.0,ns,27888
fox_long,,,,,21435666.0,ns,29216
fox_long,,,,,22319986.0,ns,30544
fox_long,,,,,23605890.0,ns,31872
fox_long,,,,,24286766.0,ns,33200
fox_long,,,,,25494402.0,ns,34528
fox_long,,,,,26413468.0,ns,35856
fox_long,,,,,27377248.0,ns,37184
fox_long,,,,,28256241.0,ns,38512
fox_long,,,,,29271970.0,ns,39840
fox_long,,,,,30568904.0,ns,41168
fox_long,,,,,31406681.0,ns,42496
fox_long,,,,,32189712.0,ns,43824
fox_long,,,,,33138763.0,ns,45152
fox_long,,,,,34014888.0,ns,46480
fox_long,,,,,35890486.0,ns,47808
fox_long,,,,,36397641.0,ns,49136
fox_long,,,,,37242096.0,ns,50464
fox_long,,,,,38036299.0,ns,51792
fox_long,,,,,38776149.0,ns,53120
fox_long,,,,,39841492.0,ns,54448
fox_long,,,,,40736771.0,ns,55776
fox_long,,,,,41829773.0,ns,57104
fox_long,,,,,43136434.0,ns,58432
fox_long,,,,,43833571.0,ns,59760
fox_long,,,,,44654352.0,ns,61088
fox_long,,,,,45679345.0,ns,62416
fox_long,,,,,46787221.0,ns,63744
fox_long,,,,,47703541.0,ns,65072
fox_long,,,,,49409953.0,ns,66400
fox_long,,,,,49434169.0,ns,67728
fox_long,,,,,50464247.0,ns,69056
fox_long,,,,,51568772.0,ns,70384
fox_long,,,,,55361607.0,ns,71712
fox_long,,,,,54047409.0,ns,73040
fox_long,,,,,54537544.0,ns,74368
fox_long,,,,,55570416.0,ns,75696
fox_long,,,,,56707706.0,ns,77024
fox_long,,,,,60577017.0,ns,78352
fox_long,,,,,59835889.0,ns,79680
fox_long,,,,,60183808.0,ns,81008
fox_long,,,,,60689834.0,ns,82336
fox_long,,,,,62015636.0,ns,83664
fox_long,,,,,63145874.0,ns,84992
fox_long,,,,,64949445.0,ns,86320
fox_long,,,,,71487344.0,ns,87648
fox_long,,,,,68461025.0,ns,88976
fox_long,,,,,67407196.0,ns,90304
fox_long,,,,,68435181.0,ns,91632
fox_long,,,,,69797574.0,ns,92960
fox_long,,,,,69804003.0,ns,94288
fox_long,,,,,70966530.0,ns,95616
fox_long,,,,,71957025.0,ns,96944
fox_long,,,,,72932851.0,ns,98272
fox_long,,,,,73356850.0,ns,99600
fox_long,,,,,74699697.0,ns,100928
fox_long,,,,,76319900.0,ns,102256
fox_long,,,,,76816847.0,ns,103584
fox_long,,,,,77740898.0,ns,104912
fox_long,,,,,81141604.0,ns,106240
fox_long,,,,,83821386.0,ns,107568
fox_long,,,,,82740240.0,ns,108896
fox_long,,,,,82032982.0,ns,110224
fox_long,,,,,83470101.0,ns,111552
fox_long,,,,,84796488.0,ns,112880
fox_long,,,,,83785363.0,ns,114208
fox_long,,,,,86077694.0,ns,115536
fox_long,,,,,85896513.0,ns,116864
fox_long,,,,,87444090.0,ns,118192
fox_long,,,,,87931256.0,ns,119520
fox_long,,,,,89012680.0,ns,120848
fox_long,,,,,90800349.0,ns,122176
fox_long,,,,,91725528.0,ns,123504
fox_long,,,,,91996938.0,ns,124832
fox_long,,,,,93329120.0,ns,126160
fox_long,,,,,93737892.0,ns,127488
fox_long,,,,,94816833.0,ns,128816
fox_long,,,,,95702675.0,ns,130144
fox_long,,,,,97258837.0,ns,131472
fox_long,,,,,98284126.0,ns,132800
