group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
german_fox - stdlib,,,,,1022025.0,ns,21838
german_fox - stdlib,,,,,1981391.0,ns,43676
german_fox - stdlib,,,,,2936749.0,ns,65514
german_fox - stdlib,,,,,3964844.0,ns,87352
german_fox - stdlib,,,,,4898874.0,ns,109190
german_fox - stdlib,,,,,5924235.0,ns,131028
german_fox - stdlib,,,,,6856486.0,ns,152866
german_fox - stdlib,,,,,7854859.0,ns,174704
german_fox - stdlib,,,,,8839651.0,ns,196542
german_fox - stdlib,,,,,9856855.0,ns,218380
german_fox - stdlib,,,,,10947831.0,ns,240218
german_fox - stdlib,,,,,11786833.0,ns,262056
german_fox - stdlib,,,,,12750052.0,ns,283894
german_fox - stdlib,,,,,13754282.0,ns,305732
german_fox - stdlib,,,,,14778033.0,ns,327570
german_fox - stdlib,,,,,15837489.0,ns,349408
german_fox - stdlib,,,,,16767169.0,ns,371246
german_fox - stdlib,,,,,17714415.0,ns,393084
german_fox - stdlib,,,,,18734834.0,ns,414922
german_fox - stdlib,,,,,19885886.0,ns,436760
german_fox - stdlib,,,,,20716890.0,ns,458598
german_fox - stdlib,,,,,21951635.0,ns,480436
german_fox - stdlib,,,,,22634921.0,ns,502274
german_fox - stdlib,,,,,23548820.0,ns,524112
german_fox - stdlib,,,,,24593044.0,ns,545950
german_fox - stdlib,,,,,25508898.0,ns,567788
german_fox - stdlib,,,,,26658177.0,ns,589626
german_fox - stdlib,,,,,27868102.0,ns,611464
german_fox - stdlib,,,,,28871253.0,ns,633302
german_fox - stdlib,,,,,29758051.0,ns,655140
german_fox - stdlib,,,,,30667912.0,ns,676978
german_fox - stdlib,,,,,31509629.0,ns,698816
german_fox - stdlib,,,,,32562171.0,ns,720654
german_fox - stdlib,,,,,33639897.0,ns,742492
german_fox - stdlib,,,,,34379174.0,ns,764330
german_fox - stdlib,,,,,35419369.0,ns,786168
german_fox - stdlib,,,,,37631499.0,ns,808006
german_fox - stdlib,,,,,38322895.0,ns,829844
german_fox - stdlib,,,,,39118182.0,ns,851682
german_fox - stdlib,,,,,40368948.0,ns,873520
german_fox - stdlib,,,,,40774492.0,ns,895358
german_fox - stdlib,,,,,41684949.0,ns,917196
german_fox - stdlib,,,,,42253344.0,ns,939034
german_fox - stdlib,,,,,43695867.0,ns,960872
german_fox - stdlib,,,,,44188764.0,ns,982710
german_fox - stdlib,,,,,45814025.0,ns,1004548
german_fox - stdlib,,,,,46171597.0,ns,1026386
german_fox - stdlib,,,,,47378814.0,ns,1048224
german_fox - stdlib,,,,,48494620.0,ns,1070062
german_fox - stdlib,,,,,49486698.0,ns,1091900
german_fox - stdlib,,,,,50126612.0,ns,1113738
german_fox - stdlib,,,,,51293429.0,ns,1135576
german_fox - stdlib,,,,,52187477.0,ns,1157414
german_fox - stdlib,,,,,53434579.0,ns,1179252
german_fox - stdlib,,,,,54188219.0,ns,1201090
german_fox - stdlib,,,,,56220953.0,ns,1222928
german_fox - stdlib,,,,,56209313.0,ns,1244766
german_fox - stdlib,,,,,57112955.0,ns,1266604
german_fox - stdlib,,,,,60654652.0,ns,1288442
german_fox - stdlib,,,,,60708159.0,ns,1310280
german_fox - stdlib,,,,,60283992.0,ns,1332118
german_fox - stdlib,,,,,61340362.0,ns,1353956
german_fox - stdlib,,,,,62609616.0,ns,1375794
german_fox - stdlib,,,,,63077706.0,ns,1397632
german_fox - stdlib,,,,,63876868.0,ns,1419470
german_fox - stdlib,,,,,65194586.0,ns,1441308
german_fox - stdlib,,,,,66263596.0,ns,1463146
german_fox - stdlib,,,,,66938575.0,ns,1484984
german_fox - stdlib,,,,,68063665.0,ns,1506822
german_fox - stdlib,,,,,68889815.0,ns,1528660
german_fox - stdlib,,,,,70127991.0,ns,1550498
german_fox - stdlib,,,,,70917643.0,ns,1572336
german_fox - stdlib,,,,,71924962.0,ns,1594174
german_fox - stdlib,,,,,73045274.0,ns,1616012
german_fox - stdlib,,,,,73849947.0,ns,1637850
german_fox - stdlib,,,,,74699933.0,ns,1659688
german_fox - stdlib,,,,,79692080.0,ns,1681526
german_fox - stdlib,,,,,76634786.0,ns,1703364
german_fox - stdlib,,,,,78639420.0,ns,1725202
german_fox - stdlib,,,,,78773800.0,ns,1747040
german_fox - stdlib,,,,,80079227.0,ns,1768878
german_fox - stdlib,,,,,80691133.0,ns,1790716
german_fox - stdlib,,,,,82164404.0,ns,1812554
german_fox - stdlib,,,,,83205004.0,ns,1834392
german_fox - stdlib,,,,,84220667.0,ns,1856230
german_fox - stdlib,,,,,84503586.0,ns,1878068
german_fox - stdlib,,,,,86083369.0,ns,1899906
german_fox - stdlib,,,,,89108252.0,ns,1921744
german_fox - stdlib,,,,,87826751.0,ns,1943582
german_fox - stdlib,,,,,88933223.0,ns,1965420
german_fox - stdlib,,,,,89439731.0,ns,1987258
german_fox - stdlib,,,,,91036954.0,ns,2009096
german_fox - stdlib,,,,,91454188.0,ns,2030934
german_fox - stdlib,,,,,92765166.0,ns,2052772
german_fox - stdlib,,,,,94427024.0,ns,2074610
german_fox - stdlib,,,,,94652597.0,ns,2096448
german_fox - stdlib,,,,,95587722.0,ns,2118286
german_fox - stdlib,,,,,97378115.0,ns,2140124
german_fox - stdlib,,,,,97508872.0,ns,2161962
german_fox - stdlib,,,,,99885063.0,ns,2183800
