group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
german_fox_long - stdlib,,,,,1011900.0,ns,30
german_fox_long - stdlib,,,,,1983307.0,ns,60
german_fox_long - stdlib,,,,,2971532.0,ns,90
german_fox_long - stdlib,,,,,3983643.0,ns,120
german_fox_long - stdlib,,,,,5000878.0,ns,150
german_fox_long - stdlib,,,,,5985043.0,ns,180
german_fox_long - stdlib,,,,,6958333.0,ns,210
german_fox_long - stdlib,,,,,7928334.0,ns,240
german_fox_long - stdlib,,,,,8939050.0,ns,270
german_fox_long - stdlib,,,,,9970640.0,ns,300
german_fox_long - stdlib,,,,,10900639.0,ns,330
german_fox_long - stdlib,,,,,11998539.0,ns,360
german_fox_long - stdlib,,,,,13268216.0,ns,390
german_fox_long - stdlib,,,,,13932069.0,ns,420
german_fox_long - stdlib,,,,,14883408.0,ns,450
german_fox_long - stdlib,,,,,15954216.0,ns,480
german_fox_long - stdlib,,,,,16888801.0,ns,510
german_fox_long - stdlib,,,,,18115873.0,ns,540
german_fox_long - stdlib,,,,,18941558.0,ns,570
german_fox_long - stdlib,,,,,20001600.0,ns,600
german_fox_long - stdlib,,,,,20932744.0,ns,630
german_fox_long - stdlib,,,,,21925580.0,ns,660
german_fox_long - stdlib,,,,,22853656.0,ns,690
german_fox_long - stdlib,,,,,23803350.0,ns,720
german_fox_long - stdlib,,,,,24900450.0,ns,750
german_fox_long - stdlib,,,,,25909457.0,ns,780
german_fox_long - stdlib,,,,,26844466.0,ns,810
german_fox_long - stdlib,,,,,27896462.0,ns,840
german_fox_long - stdlib,,,,,29301029.0,ns,870
german_fox_long - stdlib,,,,,29902118.0,ns,900
german_fox_long - stdlib,,,,,30781254.0,ns,930
german_fox_long - stdlib,,,,,31793189.0,ns,960
german_fox_long - stdlib,,,,,32935647.0,ns,990
german_fox_long - stdlib,,,,,33936470.0,ns,1020
german_fox_long - stdlib,,,,,34933051.0,ns,1050
german_fox_long - stdlib,,,,,36037992.0,ns,1080
german_fox_long - stdlib,,,,,37687327.0,ns,1110
german_fox_long - stdlib,,,,,37971230.0,ns,1140
german_fox_long - stdlib,,,,,39299595.0,ns,1170
german_fox_long - stdlib,,,,,40006437.0,ns,1200
german_fox_long - stdlib,,,,,40941040.0,ns,1230
german_fox_long - stdlib,,,,,41788599.0,ns,1260
german_fox_long - stdlib,,,,,43151581.0,ns,1290
german_fox_long - stdlib,,,,,43760711.0,ns,1320
german_fox_long - stdlib,,,,,44811765.0,ns,1350
german_fox_long - stdlib,,,,,45898416.0,ns,1380
german_fox_long - stdlib,,,,,46954316.0,ns,1410
german_fox_long - stdlib,,,,,48024160.0,ns,1440
german_fox_long - stdlib,,,,,48678691.0,ns,1470
german_fox_long - stdlib,,,,,52478199.0,ns,1500
german_fox_long - stdlib,,,,,51205533.0,ns,1530
german_fox_long - stdlib,,,,,52043240.0,ns,1560
german_fox_long - stdlib,,,,,53271004.0,ns,1590
german_fox_long - stdlib,,,,,53873039.0,ns,1620
german_fox_long - stdlib,,,,,54836718.0,ns,1650
german_fox_long - stdlib,,,,,55874666.0,ns,1680
german_fox_long - stdlib,,,,,56934447.0,ns,1710
german_fox_long - stdlib,,,,,58043750.0,ns,1740
german_fox_long - stdlib,,,,,58707152.0,ns,1770
german_fox_long - stdlib,,,,,59745134.0,ns,1800
german_fox_long - stdlib,,,,,60788127.0,ns,1830
german_fox_long - stdlib,,,,,62234328.0,ns,1860
german_fox_long - stdlib,,,,,62577677.0,ns,1890
german_fox_long - stdlib,,,,,63777707.0,ns,1920
german_fox_long - stdlib,,,,,64808584.0,ns,1950
german_fox_long - stdlib,,,,,65934470.0,ns,1980
german_fox_long - stdlib,,,,,66663042.0,ns,2010
german_fox_long - stdlib,,,,,68803932.0,ns,2040
german_fox_long - stdlib,,,,,68577576.0,ns,2070
german_fox_long - stdlib,,,,,69873874.0,ns,2100
german_fox_long - stdlib,,,,,70680901.0,ns,2130
german_fox_long - stdlib,,,,,71693590.0,ns,2160
german_fox_long - stdlib,,,,,72819093.0,ns,2190
german_fox_long - stdlib,,,,,73749347.0,ns,2220
german_fox_long - stdlib,,,,,74830685.0,ns,2250
german_fox_long - stdlib,,,,,76428299.0,ns,2280
german_fox_long - stdlib,,,,,76718650.0,ns,2310
german_fox_long - stdlib,,,,,77837220.0,ns,2340
german_fox_long - stdlib,,,,,78881006.0,ns,2370
german_fox_long - stdlib,,,,,80092799.0,ns,2400
german_fox_long - stdlib,,,,,80638496.0,ns,2430
german_fox_long - stdlib,,,,,86835921.0,ns,2460
german_fox_long - stdlib,,,,,83755756.0,ns,2490
german_fox_long - stdlib,,,,,83531981.0,ns,2520
german_fox_long - stdlib,,,,,84795764.0,ns,2550
german_fox_long - stdlib,,,,,86617351.0,ns,2580
german_fox_long - stdlib,,,,,91076134.0,ns,2610
german_fox_long - stdlib,,,,,88165032.0,ns,2640
german_fox_long - stdlib,,,,,88845885.0,ns,2670
german_fox_long - stdlib,,,,,89972532.0,ns,2700
german_fox_long - stdlib,,,,,90772081.0,ns,2730
german_fox_long - stdlib,,,,,91691302.0,ns,2760
german_fox_long - stdlib,,,,,92801617.0,ns,2790
german_fox_long - stdlib,,,,,94378104.0,ns,2820
german_fox_long - stdlib,,,,,94642964.0,ns,2850
german_fox_long - stdlib,,,,,95873328.0,ns,2880
german_fox_long - stdlib,,,,,97041117.0,ns,2910
german_fox_long - stdlib,,,,,99288756.0,ns,2940
german_fox_long - stdlib,,,,,103280495.0,ns,2970
german_fox_long - stdlib,,,,,101787484.0,ns,3000
