group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
german_fox_long,,,,,1029430.0,ns,167
german_fox_long,,,,,1988600.0,ns,334
german_fox_long,,,,,2955257.0,ns,501
german_fox_long,,,,,3960016.0,ns,668
german_fox_long,,,,,5287256.0,ns,835
german_fox_long,,,,,6324636.0,ns,1002
german_fox_long,,,,,7507759.0,ns,1169
german_fox_long,,,,,8686540.0,ns,1336
german_fox_long,,,,,9406124.0,ns,1503
german_fox_long,,,,,9908188.0,ns,1670
german_fox_long,,,,,11094792.0,ns,1837
german_fox_long,,,,,11901714.0,ns,2004
german_fox_long,,,,,12866987.0,ns,2171
german_fox_long,,,,,13845549.0,ns,2338
german_fox_long,,,,,15904061.0,ns,2505
german_fox_long,,,,,16141636.0,ns,2672
german_fox_long,,,,,16942952.0,ns,2839
german_fox_long,,,,,17768970.0,ns,3006
german_fox_long,,,,,18887439.0,ns,3173
german_fox_long,,,,,19714879.0,ns,3340
german_fox_long,,,,,20807434.0,ns,3507
german_fox_long,,,,,21861598.0,ns,3674
german_fox_long,,,,,22668471.0,ns,3841
german_fox_long,,,,,23691522.0,ns,4008
german_fox_long,,,,,24915403.0,ns,4175
german_fox_long,,,,,25744159.0,ns,4342
german_fox_long,,,,,27370569.0,ns,4509
german_fox_long,,,,,27705436.0,ns,4676
german_fox_long,,,,,28640524.0,ns,4843
german_fox_long,,,,,29620330.0,ns,5010
german_fox_long,,,,,30733179.0,ns,5177
german_fox_long,,,,,31772197.0,ns,5344
german_fox_long,,,,,32588692.0,ns,5511
german_fox_long,,,,,34016550.0,ns,5678
german_fox_long,,,,,34700222.0,ns,5845
german_fox_long,,,,,35611645.0,ns,6012
german_fox_long,,,,,36465183.0,ns,6179
german_fox_long,,,,,37798579.0,ns,6346
german_fox_long,,,,,39054399.0,ns,6513
german_fox_long,,,,,39784228.0,ns,6680
german_fox_long,,,,,40805094.0,ns,6847
german_fox_long,,,,,41525793.0,ns,7014
german_fox_long,,,,,42621987.0,ns,7181
german_fox_long,,,,,43417901.0,ns,7348
german_fox_long,,,,,44628370.0,ns,7515
german_fox_long,,,,,45607573.0,ns,7682
german_fox_long,,,,,46583882.0,ns,7849
german_fox_long,,,,,47513721.0,ns,8016
german_fox_long,,,,,48357558.0,ns,8183
german_fox_long,,,,,49338468.0,ns,8350
german_fox_long,,,,,50366711.0,ns,8517
german_fox_long,,,,,51702054.0,ns,8684
german_fox_long,,,,,52329973.0,ns,8851
german_fox_long,,,,,53383195.0,ns,9018
german_fox_long,,,,,58702657.0,ns,9185
german_fox_long,,,,,55638714.0,ns,9352
german_fox_long,,,,,56906143.0,ns,9519
german_fox_long,,,,,57469552.0,ns,9686
german_fox_long,,,,,58385144.0,ns,9853
german_fox_long,,,,,59505109.0,ns,10020
german_fox_long,,,,,60551225.0,ns,10187
german_fox_long,,,,,61222409.0,ns,10354
german_fox_long,,,,,62481291.0,ns,10521
german_fox_long,,,,,63209695.0,ns,10688
german_fox_long,,,,,66267255.0,ns,10855
german_fox_long,,,,,65927025.0,ns,11022
german_fox_long,,,,,66486362.0,ns,11189
german_fox_long,,,,,68249367.0,ns,11356
german_fox_long,,,,,68243848.0,ns,11523
german_fox_long,,,,,69115567.0,ns,11690
german_fox_long,,,,,70318875.0,ns,11857
german_fox_long,,,,,71452148.0,ns,12024
german_fox_long,,,,,72050741.0,ns,12191
german_fox_long,,,,,73135646.0,ns,12358
german_fox_long,,,,,74658885.0,ns,12525
german_fox_long,,,,,75177446.0,ns,12692
german_fox_long,,,,,76070011.0,ns,12859
german_fox_long,,,,,77102460.0,ns,13026
german_fox_long,,,,,78479593.0,ns,13193
german_fox_long,,,,,78986927.0,ns,13360
german_fox_long,,,,,79957920.0,ns,13527
german_fox_long,,,,,82306953.0,ns,13694
german_fox_long,,,,,82203088.0,ns,13861
german_fox_long,,,,,83789285.0,ns,14028
german_fox_long,,,,,84390815.0,ns,14195
german_fox_long,,,,,84903080.0,ns,14362
german_fox_long,,,,,87506274.0,ns,14529
german_fox_long,,,,,87431456.0,ns,14696
german_fox_long,,,,,87917210.0,ns,14863
german_fox_long,,,,,89078650.0,ns,15030
german_fox_long,,,,,90577453.0,ns,15197
german_fox_long,,,,,93261344.0,ns,15364
german_fox_long,,,,,92856199.0,ns,15531
german_fox_long,,,,,93165053.0,ns,15698
german_fox_long,,,,,94569381.0,ns,15865
german_fox_long,,,,,95273504.0,ns,16032
german_fox_long,,,,,95833922.0,ns,16199
german_fox_long,,,,,97027538.0,ns,16366
german_fox_long,,,,,98582596.0,ns,16533
german_fox_long,,,,,99560293.0,ns,16700
