group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
japanese - stdlib,,,,,1023492.0,ns,2470
japanese - stdlib,,,,,1983608.0,ns,4940
japanese - stdlib,,,,,2942180.0,ns,7410
japanese - stdlib,,,,,3924403.0,ns,9880
japanese - stdlib,,,,,4907321.0,ns,12350
japanese - stdlib,,,,,5906355.0,ns,14820
japanese - stdlib,,,,,6890742.0,ns,17290
japanese - stdlib,,,,,7928306.0,ns,19760
japanese - stdlib,,,,,9231121.0,ns,22230
japanese - stdlib,,,,,10173558.0,ns,24700
japanese - stdlib,,,,,10868963.0,ns,27170
japanese - stdlib,,,,,11925537.0,ns,29640
japanese - stdlib,,,,,12932162.0,ns,32110
japanese - stdlib,,,,,13817526.0,ns,34580
japanese - stdlib,,,,,14737643.0,ns,37050
japanese - stdlib,,,,,15985295.0,ns,39520
japanese - stdlib,,,,,16846376.0,ns,41990
japanese - stdlib,,,,,17678774.0,ns,44460
japanese - stdlib,,,,,18661522.0,ns,46930
japanese - stdlib,,,,,20082333.0,ns,49400
japanese - stdlib,,,,,20971059.0,ns,51870
japanese - stdlib,,,,,21629998.0,ns,54340
japanese - stdlib,,,,,22649121.0,ns,56810
japanese - stdlib,,,,,23777253.0,ns,59280
japanese - stdlib,,,,,24678667.0,ns,61750
japanese - stdlib,,,,,25725101.0,ns,64220
japanese - stdlib,,,,,26737474.0,ns,66690
japanese - stdlib,,,,,27880781.0,ns,69160
japanese - stdlib,,,,,28567488.0,ns,71630
japanese - stdlib,,,,,29496321.0,ns,74100
japanese - stdlib,,,,,30569926.0,ns,76570
japanese - stdlib,,,,,31596806.0,ns,79040
japanese - stdlib,,,,,32585509.0,ns,81510
japanese - stdlib,,,,,33549355.0,ns,83980
japanese - stdlib,,,,,34558772.0,ns,86450
japanese - stdlib,,,,,35931368.0,ns,88920
japanese - stdlib,,,,,36425687.0,ns,91390
japanese - stdlib,,,,,37359624.0,ns,93860
japanese - stdlib,,,,,38440437.0,ns,96330
japanese - stdlib,,,,,39509695.0,ns,98800
japanese - stdlib,,,,,41174709.0,ns,101270
japanese - stdlib,,,,,41518371.0,ns,103740
japanese - stdlib,,,,,42451271.0,ns,106210
japanese - stdlib,,,,,43761413.0,ns,108680
japanese - stdlib,,,,,44379701.0,ns,111150
japanese - stdlib,,,,,45536639.0,ns,113620
japanese - stdlib,,,,,46769837.0,ns,116090
japanese - stdlib,,,,,47633781.0,ns,118560
japanese - stdlib,,,,,48234862.0,ns,121030
japanese - stdlib,,,,,49154426.0,ns,123500
japanese - stdlib,,,,,50351896.0,ns,125970
japanese - stdlib,,,,,51419060.0,ns,128440
japanese - stdlib,,,,,54132638.0,ns,130910
japanese - stdlib,,,,,53318428.0,ns,133380
japanese - stdlib,,,,,54185934.0,ns,135850
japanese - stdlib,,,,,57577177.0,ns,138320
japanese - stdlib,,,,,56516693.0,ns,140790
japanese - stdlib,,,,,57230699.0,ns,143260
japanese - stdlib,,,,,58311807.0,ns,145730
japanese - stdlib,,,,,59202227.0,ns,148200
japanese - stdlib,,,,,60067278.0,ns,150670
japanese - stdlib,,,,,61626188.0,ns,153140
japanese - stdlib,,,,,61954837.0,ns,155610
japanese - stdlib,,,,,63032271.0,ns,158080
japanese - stdlib,,,,,64184585.0,ns,160550
japanese - stdlib,,,,,65348800.0,ns,163020
japanese - stdlib,,,,,65897919.0,ns,165490
japanese - stdlib,,,,,66960282.0,ns,167960
japanese - stdlib,,,,,68385714.0,ns,170430
japanese - stdlib,,,,,69008157.0,ns,172900
japanese - stdlib,,,,,71375250.0,ns,175370
japanese - stdlib,,,,,72481057.0,ns,177840
japanese - stdlib,,,,,73907142.0,ns,180310
japanese - stdlib,,,,,72900767.0,ns,182780
japanese - stdlib,,,,,74073489.0,ns,185250
japanese - stdlib,,,,,75983603.0,ns,187720
japanese - stdlib,,,,,76251555.0,ns,190190
japanese - stdlib,,,,,76910159.0,ns,192660
japanese - stdlib,,,,,78504320.0,ns,195130
japanese - stdlib,,,,,78911741.0,ns,197600
japanese - stdlib,,,,,79805369.0,ns,200070
japanese - stdlib,,,,,80806628.0,ns,202540
japanese - stdlib,,,,,83324167.0,ns,205010
japanese - stdlib,,,,,83074656.0,ns,207480
japanese - stdlib,,,,,83808545.0,ns,209950
japanese - stdlib,,,,,87530966.0,ns,212420
japanese - stdlib,,,,,86055432.0,ns,214890
japanese - stdlib,,,,,87449334.0,ns,217360
japanese - stdlib,,,,,88003151.0,ns,219830
japanese - stdlib,,,,,89356382.0,ns,222300
japanese - stdlib,,,,,91276346.0,ns,224770
japanese - stdlib,,,,,90634342.0,ns,227240
japanese - stdlib,,,,,91687844.0,ns,229710
japanese - stdlib,,,,,93076464.0,ns,232180
japanese - stdlib,,,,,93605429.0,ns,234650
japanese - stdlib,,,,,94641318.0,ns,237120
japanese - stdlib,,,,,95781058.0,ns,239590
japanese - stdlib,,,,,101653158.0,ns,242060
japanese - stdlib,,,,,98467897.0,ns,244530
japanese - stdlib,,,,,99217953.0,ns,247000
