group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
japanese,,,,,1017766.0,ns,18021
japanese,,,,,1950722.0,ns,36042
japanese,,,,,2948152.0,ns,54063
japanese,,,,,3903716.0,ns,72084
japanese,,,,,4892065.0,ns,90105
japanese,,,,,5894482.0,ns,108126
japanese,,,,,6885730.0,ns,126147
japanese,,,,,7805314.0,ns,144168
japanese,,,,,8800109.0,ns,162189
japanese,,,,,9760368.0,ns,180210
japanese,,,,,10796700.0,ns,198231
japanese,,,,,11742014.0,ns,216252
japanese,,,,,12827786.0,ns,234273
japanese,,,,,13674046.0,ns,252294
japanese,,,,,14699164.0,ns,270315
japanese,,,,,15684391.0,ns,288336
japanese,,,,,16729395.0,ns,306357
japanese,,,,,17577063.0,ns,324378
japanese,,,,,18620037.0,ns,342399
japanese,,,,,19531385.0,ns,360420
japanese,,,,,20591544.0,ns,378441
japanese,,,,,21779938.0,ns,396462
japanese,,,,,22629233.0,ns,414483
japanese,,,,,23545237.0,ns,432504
japanese,,,,,24408108.0,ns,450525
japanese,,,,,25432945.0,ns,468546
japanese,,,,,26407836.0,ns,486567
japanese,,,,,27503477.0,ns,504588
japanese,,,,,28400005.0,ns,522609
japanese,,,,,29388795.0,ns,540630
japanese,,,,,30434544.0,ns,558651
japanese,,,,,31682866.0,ns,576672
japanese,,,,,32277183.0,ns,594693
japanese,,,,,34138426.0,ns,612714
japanese,,,,,34259461.0,ns,630735
japanese,,,,,35336044.0,ns,648756
japanese,,,,,36341386.0,ns,666777
japanese,,,,,37188049.0,ns,684798
japanese,,,,,38461350.0,ns,702819
japanese,,,,,39065068.0,ns,720840
japanese,,,,,40215594.0,ns,738861
japanese,,,,,41645487.0,ns,756882
japanese,,,,,42180536.0,ns,774903
japanese,,,,,43085334.0,ns,792924
japanese,,,,,44605085.0,ns,810945
japanese,,,,,45095196.0,ns,828966
japanese,,,,,46030327.0,ns,846987
japanese,,,,,47043813.0,ns,865008
japanese,,,,,47903060.0,ns,883029
japanese,,,,,49306096.0,ns,901050
japanese,,,,,49996935.0,ns,919071
japanese,,,,,50826194.0,ns,937092
japanese,,,,,51946784.0,ns,955113
japanese,,,,,56193633.0,ns,973134
japanese,,,,,56794105.0,ns,991155
japanese,,,,,55264970.0,ns,1009176
japanese,,,,,56118417.0,ns,1027197
japanese,,,,,57013570.0,ns,1045218
japanese,,,,,58708784.0,ns,1063239
japanese,,,,,58906397.0,ns,1081260
japanese,,,,,59823303.0,ns,1099281
japanese,,,,,61394499.0,ns,1117302
japanese,,,,,61661399.0,ns,1135323
japanese,,,,,62938534.0,ns,1153344
japanese,,,,,63750201.0,ns,1171365
japanese,,,,,64725437.0,ns,1189386
japanese,,,,,65734439.0,ns,1207407
japanese,,,,,66749101.0,ns,1225428
japanese,,,,,67962234.0,ns,1243449
japanese,,,,,68961434.0,ns,1261470
japanese,,,,,70782397.0,ns,1279491
japanese,,,,,70710463.0,ns,1297512
japanese,,,,,71638664.0,ns,1315533
japanese,,,,,72575503.0,ns,1333554
japanese,,,,,73868608.0,ns,1351575
japanese,,,,,74491553.0,ns,1369596
japanese,,,,,75515348.0,ns,1387617
japanese,,,,,76673183.0,ns,1405638
japanese,,,,,77456664.0,ns,1423659
japanese,,,,,78375724.0,ns,1441680
japanese,,,,,79650383.0,ns,1459701
japanese,,,,,80249471.0,ns,1477722
japanese,,,,,81244271.0,ns,1495743
japanese,,,,,82828303.0,ns,1513764
japanese,,,,,85060752.0,ns,1531785
japanese,,,,,85669138.0,ns,1549806
japanese,,,,,85487052.0,ns,1567827
japanese,,,,,86071679.0,ns,1585848
japanese,,,,,87887332.0,ns,1603869
japanese,,,,,91148893.0,ns,1621890
japanese,,,,,92801493.0,ns,1639911
japanese,,,,,95802618.0,ns,1657932
japanese,,,,,97332294.0,ns,1675953
japanese,,,,,95238575.0,ns,1693974
japanese,,,,,93416775.0,ns,1711995
japanese,,,,,94624739.0,ns,1730016
japanese,,,,,95168290.0,ns,1748037
japanese,,,,,96371420.0,ns,1766058
japanese,,,,,97068125.0,ns,1784079
japanese,,,,,98017090.0,ns,1802100
