group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
korean - stdlib,,,,,1024114.0,ns,3604
korean - stdlib,,,,,1958789.0,ns,7208
korean - stdlib,,,,,2939949.0,ns,10812
korean - stdlib,,,,,3938503.0,ns,14416
korean - stdlib,,,,,4898186.0,ns,18020
korean - stdlib,,,,,5898432.0,ns,21624
korean - stdlib,,,,,6942288.0,ns,25228
korean - stdlib,,,,,7839195.0,ns,28832
korean - stdlib,,,,,8904390.0,ns,32436
korean - stdlib,,,,,9817900.0,ns,36040
korean - stdlib,,,,,10809014.0,ns,39644
korean - stdlib,,,,,11942191.0,ns,43248
korean - stdlib,,,,,12841343.0,ns,46852
korean - stdlib,,,,,13760373.0,ns,50456
korean - stdlib,,,,,14739854.0,ns,54060
korean - stdlib,,,,,15696968.0,ns,57664
korean - stdlib,,,,,16684303.0,ns,61268
korean - stdlib,,,,,18002822.0,ns,64872
korean - stdlib,,,,,19187403.0,ns,68476
korean - stdlib,,,,,19689084.0,ns,72080
korean - stdlib,,,,,20704914.0,ns,75684
korean - stdlib,,,,,21681342.0,ns,79288
korean - stdlib,,,,,22742364.0,ns,82892
korean - stdlib,,,,,23608753.0,ns,86496
korean - stdlib,,,,,25010901.0,ns,90100
korean - stdlib,,,,,26025179.0,ns,93704
korean - stdlib,,,,,26686018.0,ns,97308
korean - stdlib,,,,,27604493.0,ns,100912
korean - stdlib,,,,,29728405.0,ns,104516
korean - stdlib,,,,,31382617.0,ns,108120
korean - stdlib,,,,,30588891.0,ns,111724
korean - stdlib,,,,,32064233.0,ns,115328
korean - stdlib,,,,,32436354.0,ns,118932
korean - stdlib,,,,,33488955.0,ns,122536
korean - stdlib,,,,,34436390.0,ns,126140
korean - stdlib,,,,,35391972.0,ns,129744
korean - stdlib,,,,,36634726.0,ns,133348
korean - stdlib,,,,,37333997.0,ns,136952
korean - stdlib,,,,,38344601.0,ns,140556
korean - stdlib,,,,,39370982.0,ns,144160
korean - stdlib,,,,,40584433.0,ns,147764
korean - stdlib,,,,,41316368.0,ns,151368
korean - stdlib,,,,,42962199.0,ns,154972
korean - stdlib,,,,,43421155.0,ns,158576
korean - stdlib,,,,,44789616.0,ns,162180
korean - stdlib,,,,,45209757.0,ns,165784
korean - stdlib,,,,,46391359.0,ns,169388
korean - stdlib,,,,,47203832.0,ns,172992
korean - stdlib,,,,,48602906.0,ns,176596
korean - stdlib,,,,,49634520.0,ns,180200
korean - stdlib,,,,,50348052.0,ns,183804
korean - stdlib,,,,,51394049.0,ns,187408
korean - stdlib,,,,,52364434.0,ns,191012
korean - stdlib,,,,,53245584.0,ns,194616
korean - stdlib,,,,,54251669.0,ns,198220
korean - stdlib,,,,,55293487.0,ns,201824
korean - stdlib,,,,,55989022.0,ns,205428
korean - stdlib,,,,,57274773.0,ns,209032
korean - stdlib,,,,,59052228.0,ns,212636
korean - stdlib,,,,,59164335.0,ns,216240
korean - stdlib,,,,,60159895.0,ns,219844
korean - stdlib,,,,,61121507.0,ns,223448
korean - stdlib,,,,,61941443.0,ns,227052
korean - stdlib,,,,,63075158.0,ns,230656
korean - stdlib,,,,,63901346.0,ns,234260
korean - stdlib,,,,,65092326.0,ns,237864
korean - stdlib,,,,,65962646.0,ns,241468
korean - stdlib,,,,,67016243.0,ns,245072
korean - stdlib,,,,,68090177.0,ns,248676
korean - stdlib,,,,,69054928.0,ns,252280
korean - stdlib,,,,,70935271.0,ns,255884
korean - stdlib,,,,,73258242.0,ns,259488
korean - stdlib,,,,,72032569.0,ns,263092
korean - stdlib,,,,,72907662.0,ns,266696
korean - stdlib,,,,,75803665.0,ns,270300
korean - stdlib,,,,,76097824.0,ns,273904
korean - stdlib,,,,,75914706.0,ns,277508
korean - stdlib,,,,,76642090.0,ns,281112
korean - stdlib,,,,,77743588.0,ns,284716
korean - stdlib,,,,,80371006.0,ns,288320
korean - stdlib,,,,,83707931.0,ns,291924
korean - stdlib,,,,,81884297.0,ns,295528
korean - stdlib,,,,,82178919.0,ns,299132
korean - stdlib,,,,,82894139.0,ns,302736
korean - stdlib,,,,,83614195.0,ns,306340
korean - stdlib,,,,,84812256.0,ns,309944
korean - stdlib,,,,,85713522.0,ns,313548
korean - stdlib,,,,,86653705.0,ns,317152
korean - stdlib,,,,,87708099.0,ns,320756
korean - stdlib,,,,,89290188.0,ns,324360
korean - stdlib,,,,,89553020.0,ns,327964
korean - stdlib,,,,,92040478.0,ns,331568
korean - stdlib,,,,,94558099.0,ns,335172
korean - stdlib,,,,,95862905.0,ns,338776
korean - stdlib,,,,,94118143.0,ns,342380
korean - stdlib,,,,,94478795.0,ns,345984
korean - stdlib,,,,,98458406.0,ns,349588
korean - stdlib,,,,,96380956.0,ns,353192
korean - stdlib,,,,,98019467.0,ns,356796
korean - stdlib,,,,,98676975.0,ns,360400
