group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
korean,,,,,1013214.0,ns,24640
korean,,,,,1977902.0,ns,49280
korean,,,,,2931426.0,ns,73920
korean,,,,,3921817.0,ns,98560
korean,,,,,4917668.0,ns,123200
korean,,,,,5842930.0,ns,147840
korean,,,,,6879523.0,ns,172480
korean,,,,,7763138.0,ns,197120
korean,,,,,8752486.0,ns,221760
korean,,,,,9726217.0,ns,246400
korean,,,,,10692807.0,ns,271040
korean,,,,,11705749.0,ns,295680
korean,,,,,12677354.0,ns,320320
korean,,,,,13764157.0,ns,344960
korean,,,,,14630525.0,ns,369600
korean,,,,,15677282.0,ns,394240
korean,,,,,16625042.0,ns,418880
korean,,,,,18187566.0,ns,443520
korean,,,,,18652787.0,ns,468160
korean,,,,,19488614.0,ns,492800
korean,,,,,20483398.0,ns,517440
korean,,,,,21679456.0,ns,542080
korean,,,,,22606842.0,ns,566720
korean,,,,,23431392.0,ns,591360
korean,,,,,24365266.0,ns,616000
korean,,,,,25456973.0,ns,640640
korean,,,,,26387641.0,ns,665280
korean,,,,,27522074.0,ns,689920
korean,,,,,28250421.0,ns,714560
korean,,,,,29218916.0,ns,739200
korean,,,,,30356084.0,ns,763840
korean,,,,,31378330.0,ns,788480
korean,,,,,32239663.0,ns,813120
korean,,,,,33572953.0,ns,837760
korean,,,,,34076806.0,ns,862400
korean,,,,,35328767.0,ns,887040
korean,,,,,36192577.0,ns,911680
korean,,,,,37167707.0,ns,936320
korean,,,,,38294464.0,ns,960960
korean,,,,,38998621.0,ns,985600
korean,,,,,39914969.0,ns,1010240
korean,,,,,40927015.0,ns,1034880
korean,,,,,42173202.0,ns,1059520
korean,,,,,42990019.0,ns,1084160
korean,,,,,44122862.0,ns,1108800
korean,,,,,44782843.0,ns,1133440
korean,,,,,49646112.0,ns,1158080
korean,,,,,46944717.0,ns,1182720
korean,,,,,48050936.0,ns,1207360
korean,,,,,49422900.0,ns,1232000
korean,,,,,50658471.0,ns,1256640
korean,,,,,50683171.0,ns,1281280
korean,,,,,51728850.0,ns,1305920
korean,,,,,52708882.0,ns,1330560
korean,,,,,53871624.0,ns,1355200
korean,,,,,54544663.0,ns,1379840
korean,,,,,57912946.0,ns,1404480
korean,,,,,57280336.0,ns,1429120
korean,,,,,57697097.0,ns,1453760
korean,,,,,59193665.0,ns,1478400
korean,,,,,59574106.0,ns,1503040
korean,,,,,60949053.0,ns,1527680
korean,,,,,61288762.0,ns,1552320
korean,,,,,62573036.0,ns,1576960
korean,,,,,63718059.0,ns,1601600
korean,,,,,64353812.0,ns,1626240
korean,,,,,65338346.0,ns,1650880
korean,,,,,66554556.0,ns,1675520
korean,,,,,67154125.0,ns,1700160
korean,,,,,68701279.0,ns,1724800
korean,,,,,69338897.0,ns,1749440
korean,,,,,70097469.0,ns,1774080
korean,,,,,71112084.0,ns,1798720
korean,,,,,72326967.0,ns,1823360
korean,,,,,73393898.0,ns,1848000
korean,,,,,74108284.0,ns,1872640
korean,,,,,75096775.0,ns,1897280
korean,,,,,76201501.0,ns,1921920
korean,,,,,77686789.0,ns,1946560
korean,,,,,78682502.0,ns,1971200
korean,,,,,79452317.0,ns,1995840
korean,,,,,79868560.0,ns,2020480
korean,,,,,81255270.0,ns,2045120
korean,,,,,82225972.0,ns,2069760
korean,,,,,82889799.0,ns,2094400
korean,,,,,84560717.0,ns,2119040
korean,,,,,88497034.0,ns,2143680
korean,,,,,86036224.0,ns,2168320
korean,,,,,86856486.0,ns,2192960
korean,,,,,87931853.0,ns,2217600
korean,,,,,89201052.0,ns,2242240
korean,,,,,89827016.0,ns,2266880
korean,,,,,91149014.0,ns,2291520
korean,,,,,91389553.0,ns,2316160
korean,,,,,92704070.0,ns,2340800
korean,,,,,94094417.0,ns,2365440
korean,,,,,95670479.0,ns,2390080
korean,,,,,95653320.0,ns,2414720
korean,,,,,96558237.0,ns,2439360
korean,,,,,97562334.0,ns,2464000
