group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
latin,simd,8,8,bytes,1044845.0,ns,80092
latin,simd,8,8,bytes,2033427.0,ns,160184
latin,simd,8,8,bytes,2943562.0,ns,240276
latin,simd,8,8,bytes,3949577.0,ns,320368
latin,simd,8,8,bytes,4909773.0,ns,400460
latin,simd,8,8,bytes,5932150.0,ns,480552
latin,simd,8,8,bytes,6873805.0,ns,560644
latin,simd,8,8,bytes,7874466.0,ns,640736
latin,simd,8,8,bytes,8857409.0,ns,720828
latin,simd,8,8,bytes,9898202.0,ns,800920
latin,simd,8,8,bytes,10796748.0,ns,881012
latin,simd,8,8,bytes,11844644.0,ns,961104
latin,simd,8,8,bytes,12779417.0,ns,1041196
latin,simd,8,8,bytes,13909221.0,ns,1121288
latin,simd,8,8,bytes,14743761.0,ns,1201380
latin,simd,8,8,bytes,15747647.0,ns,1281472
latin,simd,8,8,bytes,16934678.0,ns,1361564
latin,simd,8,8,bytes,17836066.0,ns,1441656
latin,simd,8,8,bytes,18670330.0,ns,1521748
latin,simd,8,8,bytes,19822194.0,ns,1601840
latin,simd,8,8,bytes,20735082.0,ns,1681932
latin,simd,8,8,bytes,21955397.0,ns,1762024
latin,simd,8,8,bytes,23257962.0,ns,1842116
latin,simd,8,8,bytes,23836441.0,ns,1922208
latin,simd,8,8,bytes,24728396.0,ns,2002300
latin,simd,8,8,bytes,25604788.0,ns,2082392
latin,simd,8,8,bytes,26637021.0,ns,2162484
latin,simd,8,8,bytes,27972312.0,ns,2242576
latin,simd,8,8,bytes,29342082.0,ns,2322668
latin,simd,8,8,bytes,29538825.0,ns,2402760
latin,simd,8,8,bytes,30515295.0,ns,2482852
latin,simd,8,8,bytes,31557197.0,ns,2562944
latin,simd,8,8,bytes,32635376.0,ns,2643036
latin,simd,8,8,bytes,34228748.0,ns,2723128
latin,simd,8,8,bytes,34524434.0,ns,2803220
latin,simd,8,8,bytes,35841446.0,ns,2883312
latin,simd,8,8,bytes,36422285.0,ns,2963404
latin,simd,8,8,bytes,37399575.0,ns,3043496
latin,simd,8,8,bytes,38405926.0,ns,3123588
latin,simd,8,8,bytes,39408893.0,ns,3203680
latin,simd,8,8,bytes,43703830.0,ns,3283772
latin,simd,8,8,bytes,41535135.0,ns,3363864
latin,simd,8,8,bytes,42871837.0,ns,3443956
latin,simd,8,8,bytes,43696768.0,ns,3524048
latin,simd,8,8,bytes,44330255.0,ns,3604140
latin,simd,8,8,bytes,45402215.0,ns,3684232
latin,simd,8,8,bytes,46321082.0,ns,3764324
latin,simd,8,8,bytes,48869896.0,ns,3844416
latin,simd,8,8,bytes,48247774.0,ns,3924508
latin,simd,8,8,bytes,49921120.0,ns,4004600
latin,simd,8,8,bytes,50350052.0,ns,4084692
latin,simd,8,8,bytes,51261581.0,ns,4164784
latin,simd,8,8,bytes,52432475.0,ns,4244876
latin,simd,8,8,bytes,53182086.0,ns,4324968
latin,simd,8,8,bytes,54580250.0,ns,4405060
latin,simd,8,8,bytes,55766139.0,ns,4485152
latin,simd,8,8,bytes,56720408.0,ns,4565244
latin,simd,8,8,bytes,57969828.0,ns,4645336
latin,simd,8,8,bytes,58728912.0,ns,4725428
latin,simd,8,8,bytes,59668319.0,ns,4805520
latin,simd,8,8,bytes,60315348.0,ns,4885612
latin,simd,8,8,bytes,61786311.0,ns,4965704
latin,simd,8,8,bytes,62393980.0,ns,5045796
latin,simd,8,8,bytes,63127131.0,ns,5125888
latin,simd,8,8,bytes,64088867.0,ns,5205980
latin,simd,8,8,bytes,65191674.0,ns,5286072
latin,simd,8,8,bytes,65972007.0,ns,5366164
latin,simd,8,8,bytes,67217778.0,ns,5446256
latin,simd,8,8,bytes,67943186.0,ns,5526348
latin,simd,8,8,bytes,69924510.0,ns,5606440
latin,simd,8,8,bytes,70029097.0,ns,5686532
latin,simd,8,8,bytes,71604046.0,ns,5766624
latin,simd,8,8,bytes,72191433.0,ns,5846716
latin,simd,8,8,bytes,73035784.0,ns,5926808
latin,simd,8,8,bytes,74155553.0,ns,6006900
latin,simd,8,8,bytes,76232938.0,ns,6086992
latin,simd,8,8,bytes,77785587.0,ns,6167084
latin,simd,8,8,bytes,77949833.0,ns,6247176
latin,simd,8,8,bytes,78526572.0,ns,6327268
latin,simd,8,8,bytes,80040210.0,ns,6407360
latin,simd,8,8,bytes,82364699.0,ns,6487452
latin,simd,8,8,bytes,82493101.0,ns,6567544
latin,simd,8,8,bytes,83002243.0,ns,6647636
latin,simd,8,8,bytes,83236430.0,ns,6727728
latin,simd,8,8,bytes,84009124.0,ns,6807820
latin,simd,8,8,bytes,85508657.0,ns,6887912
latin,simd,8,8,bytes,87039054.0,ns,6968004
latin,simd,8,8,bytes,86984106.0,ns,7048096
latin,simd,8,8,bytes,88224987.0,ns,7128188
latin,simd,8,8,bytes,88594880.0,ns,7208280
latin,simd,8,8,bytes,90015962.0,ns,7288372
latin,simd,8,8,bytes,90784791.0,ns,7368464
latin,simd,8,8,bytes,91767016.0,ns,7448556
latin,simd,8,8,bytes,93078350.0,ns,7528648
latin,simd,8,8,bytes,93649830.0,ns,7608740
latin,simd,8,8,bytes,94615847.0,ns,7688832
latin,simd,8,8,bytes,95730086.0,ns,7768924
latin,simd,8,8,bytes,96855202.0,ns,7849016
latin,simd,8,8,bytes,98249995.0,ns,7929108
latin,simd,8,8,bytes,98864117.0,ns,8009200
