group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
latin,std,1,1,bytes,1025145.0,ns,109690
latin,std,1,1,bytes,1954580.0,ns,219380
latin,std,1,1,bytes,2936103.0,ns,329070
latin,std,1,1,bytes,4300430.0,ns,438760
latin,std,1,1,bytes,5024337.0,ns,548450
latin,std,1,1,bytes,5894681.0,ns,658140
latin,std,1,1,bytes,6865500.0,ns,767830
latin,std,1,1,bytes,7821300.0,ns,877520
latin,std,1,1,bytes,8818242.0,ns,987210
latin,std,1,1,bytes,9795399.0,ns,1096900
latin,std,1,1,bytes,10794435.0,ns,1206590
latin,std,1,1,bytes,12014711.0,ns,1316280
latin,std,1,1,bytes,12881474.0,ns,1425970
latin,std,1,1,bytes,13899477.0,ns,1535660
latin,std,1,1,bytes,14768200.0,ns,1645350
latin,std,1,1,bytes,15774961.0,ns,1755040
latin,std,1,1,bytes,16690715.0,ns,1864730
latin,std,1,1,bytes,17756824.0,ns,1974420
latin,std,1,1,bytes,18817380.0,ns,2084110
latin,std,1,1,bytes,20090819.0,ns,2193800
latin,std,1,1,bytes,21236054.0,ns,2303490
latin,std,1,1,bytes,21604394.0,ns,2413180
latin,std,1,1,bytes,22543761.0,ns,2522870
latin,std,1,1,bytes,23526766.0,ns,2632560
latin,std,1,1,bytes,24549977.0,ns,2742250
latin,std,1,1,bytes,25523084.0,ns,2851940
latin,std,1,1,bytes,26627681.0,ns,2961630
latin,std,1,1,bytes,27544088.0,ns,3071320
latin,std,1,1,bytes,28568503.0,ns,3181010
latin,std,1,1,bytes,29584186.0,ns,3290700
latin,std,1,1,bytes,30427716.0,ns,3400390
latin,std,1,1,bytes,31370605.0,ns,3510080
latin,std,1,1,bytes,32302308.0,ns,3619770
latin,std,1,1,bytes,33551344.0,ns,3729460
latin,std,1,1,bytes,34491544.0,ns,3839150
latin,std,1,1,bytes,35290014.0,ns,3948840
latin,std,1,1,bytes,36241966.0,ns,4058530
latin,std,1,1,bytes,37653779.0,ns,4168220
latin,std,1,1,bytes,38315479.0,ns,4277910
latin,std,1,1,bytes,39253983.0,ns,4387600
latin,std,1,1,bytes,40219025.0,ns,4497290
latin,std,1,1,bytes,41402159.0,ns,4606980
latin,std,1,1,bytes,42486186.0,ns,4716670
latin,std,1,1,bytes,43695987.0,ns,4826360
latin,std,1,1,bytes,44082083.0,ns,4936050
latin,std,1,1,bytes,45209961.0,ns,5045740
latin,std,1,1,bytes,46158588.0,ns,5155430
latin,std,1,1,bytes,47194292.0,ns,5265120
latin,std,1,1,bytes,48410416.0,ns,5374810
latin,std,1,1,bytes,49240425.0,ns,5484500
latin,std,1,1,bytes,49942462.0,ns,5594190
latin,std,1,1,bytes,51042560.0,ns,5703880
latin,std,1,1,bytes,52376422.0,ns,5813570
latin,std,1,1,bytes,53313379.0,ns,5923260
latin,std,1,1,bytes,53939254.0,ns,6032950
latin,std,1,1,bytes,54970784.0,ns,6142640
latin,std,1,1,bytes,56959895.0,ns,6252330
latin,std,1,1,bytes,56947007.0,ns,6362020
latin,std,1,1,bytes,58609447.0,ns,6471710
latin,std,1,1,bytes,59348181.0,ns,6581400
latin,std,1,1,bytes,61571605.0,ns,6691090
latin,std,1,1,bytes,60877095.0,ns,6800780
latin,std,1,1,bytes,62330028.0,ns,6910470
latin,std,1,1,bytes,63760126.0,ns,7020160
latin,std,1,1,bytes,63892978.0,ns,7129850
latin,std,1,1,bytes,65255543.0,ns,7239540
latin,std,1,1,bytes,67078371.0,ns,7349230
latin,std,1,1,bytes,66677534.0,ns,7458920
latin,std,1,1,bytes,67886079.0,ns,7568610
latin,std,1,1,bytes,72973704.0,ns,7678300
latin,std,1,1,bytes,70087539.0,ns,7787990
latin,std,1,1,bytes,72197887.0,ns,7897680
latin,std,1,1,bytes,71615909.0,ns,8007370
latin,std,1,1,bytes,73393420.0,ns,8117060
latin,std,1,1,bytes,74320741.0,ns,8226750
latin,std,1,1,bytes,74831145.0,ns,8336440
latin,std,1,1,bytes,76316479.0,ns,8446130
latin,std,1,1,bytes,76579686.0,ns,8555820
latin,std,1,1,bytes,77570738.0,ns,8665510
latin,std,1,1,bytes,79376991.0,ns,8775200
latin,std,1,1,bytes,79926857.0,ns,8884890
latin,std,1,1,bytes,80931145.0,ns,8994580
latin,std,1,1,bytes,82624758.0,ns,9104270
latin,std,1,1,bytes,82773194.0,ns,9213960
latin,std,1,1,bytes,83543042.0,ns,9323650
latin,std,1,1,bytes,85388309.0,ns,9433340
latin,std,1,1,bytes,86013763.0,ns,9543030
latin,std,1,1,bytes,86958150.0,ns,9652720
latin,std,1,1,bytes,87586565.0,ns,9762410
latin,std,1,1,bytes,89157233.0,ns,9872100
latin,std,1,1,bytes,89326731.0,ns,9981790
latin,std,1,1,bytes,91563104.0,ns,10091480
latin,std,1,1,bytes,91218703.0,ns,10201170
latin,std,1,1,bytes,92723967.0,ns,10310860
latin,std,1,1,bytes,94973964.0,ns,10420550
latin,std,1,1,bytes,96536132.0,ns,10530240
latin,std,1,1,bytes,96664908.0,ns,10639930
latin,std,1,1,bytes,96713298.0,ns,10749620
latin,std,1,1,bytes,98520263.0,ns,10859310
latin,std,1,1,bytes,99024026.0,ns,10969000
