group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single ascii char - stdlib,,,,,1022225.0,ns,251390
single ascii char - stdlib,,,,,1963613.0,ns,502780
single ascii char - stdlib,,,,,2939714.0,ns,754170
single ascii char - stdlib,,,,,3966564.0,ns,1005560
single ascii char - stdlib,,,,,4902765.0,ns,1256950
single ascii char - stdlib,,,,,5881214.0,ns,1508340
single ascii char - stdlib,,,,,6920653.0,ns,1759730
single ascii char - stdlib,,,,,7926495.0,ns,2011120
single ascii char - stdlib,,,,,8841721.0,ns,2262510
single ascii char - stdlib,,,,,10063036.0,ns,2513900
single ascii char - stdlib,,,,,10845354.0,ns,2765290
single ascii char - stdlib,,,,,11867316.0,ns,3016680
single ascii char - stdlib,,,,,12806289.0,ns,3268070
single ascii char - stdlib,,,,,13813328.0,ns,3519460
single ascii char - stdlib,,,,,14761827.0,ns,3770850
single ascii char - stdlib,,,,,15729128.0,ns,4022240
single ascii char - stdlib,,,,,16709392.0,ns,4273630
single ascii char - stdlib,,,,,17664514.0,ns,4525020
single ascii char - stdlib,,,,,18714228.0,ns,4776410
single ascii char - stdlib,,,,,19665682.0,ns,5027800
single ascii char - stdlib,,,,,20733989.0,ns,5279190
single ascii char - stdlib,,,,,21585734.0,ns,5530580
single ascii char - stdlib,,,,,22690983.0,ns,5781970
single ascii char - stdlib,,,,,23736260.0,ns,6033360
single ascii char - stdlib,,,,,25045121.0,ns,6284750
single ascii char - stdlib,,,,,26692496.0,ns,6536140
single ascii char - stdlib,,,,,26818230.0,ns,6787530
single ascii char - stdlib,,,,,28036877.0,ns,7038920
single ascii char - stdlib,,,,,29780219.0,ns,7290310
single ascii char - stdlib,,,,,31211657.0,ns,7541700
single ascii char - stdlib,,,,,30655823.0,ns,7793090
single ascii char - stdlib,,,,,31497814.0,ns,8044480
single ascii char - stdlib,,,,,32888583.0,ns,8295870
single ascii char - stdlib,,,,,33593222.0,ns,8547260
single ascii char - stdlib,,,,,34369105.0,ns,8798650
single ascii char - stdlib,,,,,35350605.0,ns,9050040
single ascii char - stdlib,,,,,36651131.0,ns,9301430
single ascii char - stdlib,,,,,37373863.0,ns,9552820
single ascii char - stdlib,,,,,38558153.0,ns,9804210
