group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single ascii char,,,,,1015243.0,ns,77692
single ascii char,,,,,1971202.0,ns,155384
single ascii char,,,,,2963923.0,ns,233076
single ascii char,,,,,3895557.0,ns,310768
single ascii char,,,,,5115462.0,ns,388460
single ascii char,,,,,5873760.0,ns,466152
single ascii char,,,,,6894786.0,ns,543844
single ascii char,,,,,7872078.0,ns,621536
single ascii char,,,,,8820383.0,ns,699228
single ascii char,,,,,9799757.0,ns,776920
single ascii char,,,,,10773734.0,ns,854612
single ascii char,,,,,12762511.0,ns,932304
single ascii char,,,,,13789518.0,ns,1009996
single ascii char,,,,,13850039.0,ns,1087688
single ascii char,,,,,14625356.0,ns,1165380
single ascii char,,,,,15600389.0,ns,1243072
single ascii char,,,,,16614237.0,ns,1320764
single ascii char,,,,,17705273.0,ns,1398456
single ascii char,,,,,18627141.0,ns,1476148
single ascii char,,,,,19596267.0,ns,1553840
single ascii char,,,,,20488307.0,ns,1631532
single ascii char,,,,,21443494.0,ns,1709224
single ascii char,,,,,22764129.0,ns,1786916
single ascii char,,,,,23493592.0,ns,1864608
single ascii char,,,,,24402591.0,ns,1942300
single ascii char,,,,,25338485.0,ns,2019992
single ascii char,,,,,26351287.0,ns,2097684
single ascii char,,,,,27349781.0,ns,2175376
single ascii char,,,,,28380503.0,ns,2253068
single ascii char,,,,,29235761.0,ns,2330760
single ascii char,,,,,30314025.0,ns,2408452
single ascii char,,,,,31480231.0,ns,2486144
single ascii char,,,,,32420341.0,ns,2563836
single ascii char,,,,,33210117.0,ns,2641528
single ascii char,,,,,34266991.0,ns,2719220
single ascii char,,,,,35159307.0,ns,2796912
single ascii char,,,,,36219114.0,ns,2874604
single ascii char,,,,,37132271.0,ns,2952296
single ascii char,,,,,38353325.0,ns,3029988
single ascii char,,,,,39124814.0,ns,3107680
single ascii char,,,,,40163912.0,ns,3185372
single ascii char,,,,,41173861.0,ns,3263064
single ascii char,,,,,42196187.0,ns,3340756
single ascii char,,,,,46501662.0,ns,3418448
single ascii char,,,,,46703889.0,ns,3496140
single ascii char,,,,,45428383.0,ns,3573832
single ascii char,,,,,46540422.0,ns,3651524
single ascii char,,,,,47241882.0,ns,3729216
single ascii char,,,,,48587730.0,ns,3806908
single ascii char,,,,,50156574.0,ns,3884600
single ascii char,,,,,50810052.0,ns,3962292
single ascii char,,,,,51209366.0,ns,4039984
single ascii char,,,,,52520122.0,ns,4117676
single ascii char,,,,,52909348.0,ns,4195368
single ascii char,,,,,53878484.0,ns,4273060
single ascii char,,,,,54941672.0,ns,4350752
single ascii char,,,,,55697313.0,ns,4428444
single ascii char,,,,,56821817.0,ns,4506136
single ascii char,,,,,57657955.0,ns,4583828
single ascii char,,,,,59241370.0,ns,4661520
single ascii char,,,,,59559795.0,ns,4739212
single ascii char,,,,,60707722.0,ns,4816904
single ascii char,,,,,61676310.0,ns,4894596
single ascii char,,,,,62762841.0,ns,4972288
single ascii char,,,,,63541687.0,ns,5049980
single ascii char,,,,,65638011.0,ns,5127672
single ascii char,,,,,67237526.0,ns,5205364
single ascii char,,,,,67015823.0,ns,5283056
single ascii char,,,,,67399852.0,ns,5360748
single ascii char,,,,,68517843.0,ns,5438440
single ascii char,,,,,69602234.0,ns,5516132
single ascii char,,,,,72608794.0,ns,5593824
single ascii char,,,,,71853029.0,ns,5671516
single ascii char,,,,,73179609.0,ns,5749208
single ascii char,,,,,73836662.0,ns,5826900
single ascii char,,,,,74241359.0,ns,5904592
single ascii char,,,,,75407978.0,ns,5982284
single ascii char,,,,,76671505.0,ns,6059976
single ascii char,,,,,77211341.0,ns,6137668
single ascii char,,,,,78582863.0,ns,6215360
single ascii char,,,,,79307170.0,ns,6293052
single ascii char,,,,,80473528.0,ns,6370744
single ascii char,,,,,81164712.0,ns,6448436
single ascii char,,,,,82113982.0,ns,6526128
single ascii char,,,,,83658434.0,ns,6603820
single ascii char,,,,,84119064.0,ns,6681512
single ascii char,,,,,87699186.0,ns,6759204
single ascii char,,,,,87675838.0,ns,6836896
single ascii char,,,,,87401380.0,ns,6914588
single ascii char,,,,,88317890.0,ns,6992280
single ascii char,,,,,89652763.0,ns,7069972
single ascii char,,,,,90142040.0,ns,7147664
single ascii char,,,,,94444893.0,ns,7225356
single ascii char,,,,,92717201.0,ns,7303048
single ascii char,,,,,93020965.0,ns,7380740
single ascii char,,,,,95269156.0,ns,7458432
single ascii char,,,,,95002721.0,ns,7536124
single ascii char,,,,,96044353.0,ns,7613816
single ascii char,,,,,96848495.0,ns,7691508
single ascii char,,,,,98682327.0,ns,7769200
