group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single umlaut - stdlib,,,,,1047297.0,ns,207138
single umlaut - stdlib,,,,,1960947.0,ns,414276
single umlaut - stdlib,,,,,2964641.0,ns,621414
single umlaut - stdlib,,,,,3955009.0,ns,828552
single umlaut - stdlib,,,,,5081895.0,ns,1035690
single umlaut - stdlib,,,,,5886151.0,ns,1242828
single umlaut - stdlib,,,,,6884934.0,ns,1449966
single umlaut - stdlib,,,,,7866019.0,ns,1657104
single umlaut - stdlib,,,,,8847170.0,ns,1864242
single umlaut - stdlib,,,,,9828941.0,ns,2071380
single umlaut - stdlib,,,,,10809170.0,ns,2278518
single umlaut - stdlib,,,,,11834925.0,ns,2485656
single umlaut - stdlib,,,,,12833019.0,ns,2692794
single umlaut - stdlib,,,,,13774780.0,ns,2899932
single umlaut - stdlib,,,,,14751788.0,ns,3107070
single umlaut - stdlib,,,,,15759428.0,ns,3314208
single umlaut - stdlib,,,,,16712912.0,ns,3521346
single umlaut - stdlib,,,,,17743177.0,ns,3728484
single umlaut - stdlib,,,,,18785958.0,ns,3935622
single umlaut - stdlib,,,,,19696777.0,ns,4142760
single umlaut - stdlib,,,,,20660647.0,ns,4349898
single umlaut - stdlib,,,,,21862373.0,ns,4557036
single umlaut - stdlib,,,,,23117330.0,ns,4764174
single umlaut - stdlib,,,,,23886119.0,ns,4971312
single umlaut - stdlib,,,,,25371559.0,ns,5178450
single umlaut - stdlib,,,,,25689750.0,ns,5385588
single umlaut - stdlib,,,,,26665099.0,ns,5592726
single umlaut - stdlib,,,,,28132585.0,ns,5799864
single umlaut - stdlib,,,,,28902963.0,ns,6007002
single umlaut - stdlib,,,,,29464499.0,ns,6214140
single umlaut - stdlib,,,,,32124352.0,ns,6421278
single umlaut - stdlib,,,,,33153881.0,ns,6628416
single umlaut - stdlib,,,,,32677341.0,ns,6835554
single umlaut - stdlib,,,,,33451968.0,ns,7042692
single umlaut - stdlib,,,,,34452388.0,ns,7249830
single umlaut - stdlib,,,,,35436087.0,ns,7456968
single umlaut - stdlib,,,,,36496281.0,ns,7664106
single umlaut - stdlib,,,,,37516354.0,ns,7871244
single umlaut - stdlib,,,,,38937569.0,ns,8078382
single umlaut - stdlib,,,,,39471831.0,ns,8285520
single umlaut - stdlib,,,,,40424867.0,ns,8492658
single umlaut - stdlib,,,,,41398004.0,ns,8699796
single umlaut - stdlib,,,,,42277987.0,ns,8906934
single umlaut - stdlib,,,,,43236835.0,ns,9114072
single umlaut - stdlib,,,,,44517869.0,ns,9321210
single umlaut - stdlib,,,,,45269871.0,ns,9528348
single umlaut - stdlib,,,,,46266923.0,ns,9735486
single umlaut - stdlib,,,,,47180706.0,ns,9942624
single umlaut - stdlib,,,,,48390414.0,ns,10149762
single umlaut - stdlib,,,,,50284263.0,ns,10356900
single umlaut - stdlib,,,,,50178781.0,ns,10564038
single umlaut - stdlib,,,,,52458347.0,ns,10771176
single umlaut - stdlib,,,,,54312070.0,ns,10978314
single umlaut - stdlib,,,,,53323572.0,ns,11185452
single umlaut - stdlib,,,,,54463719.0,ns,11392590
single umlaut - stdlib,,,,,55090227.0,ns,11599728
single umlaut - stdlib,,,,,56828079.0,ns,11806866
single umlaut - stdlib,,,,,57152515.0,ns,12014004
single umlaut - stdlib,,,,,58267497.0,ns,12221142
single umlaut - stdlib,,,,,62761007.0,ns,12428280
single umlaut - stdlib,,,,,60202116.0,ns,12635418
single umlaut - stdlib,,,,,61889920.0,ns,12842556
single umlaut - stdlib,,,,,62013073.0,ns,13049694
single umlaut - stdlib,,,,,63423452.0,ns,13256832
single umlaut - stdlib,,,,,64231514.0,ns,13463970
single umlaut - stdlib,,,,,65152297.0,ns,13671108
single umlaut - stdlib,,,,,66894825.0,ns,13878246
single umlaut - stdlib,,,,,67338885.0,ns,14085384
single umlaut - stdlib,,,,,68190832.0,ns,14292522
single umlaut - stdlib,,,,,68935915.0,ns,14499660
single umlaut - stdlib,,,,,70154117.0,ns,14706798
single umlaut - stdlib,,,,,73806711.0,ns,14913936
single umlaut - stdlib,,,,,71988434.0,ns,15121074
single umlaut - stdlib,,,,,72844282.0,ns,15328212
single umlaut - stdlib,,,,,75424410.0,ns,15535350
single umlaut - stdlib,,,,,77880185.0,ns,15742488
single umlaut - stdlib,,,,,75901580.0,ns,15949626
single umlaut - stdlib,,,,,76996551.0,ns,16156764
single umlaut - stdlib,,,,,78206131.0,ns,16363902
single umlaut - stdlib,,,,,79169930.0,ns,16571040
single umlaut - stdlib,,,,,80003558.0,ns,16778178
single umlaut - stdlib,,,,,80986414.0,ns,16985316
single umlaut - stdlib,,,,,82461523.0,ns,17192454
single umlaut - stdlib,,,,,83104645.0,ns,17399592
single umlaut - stdlib,,,,,84499705.0,ns,17606730
single umlaut - stdlib,,,,,84862485.0,ns,17813868
single umlaut - stdlib,,,,,86039604.0,ns,18021006
single umlaut - stdlib,,,,,86802475.0,ns,18228144
single umlaut - stdlib,,,,,87645843.0,ns,18435282
single umlaut - stdlib,,,,,88893289.0,ns,18642420
single umlaut - stdlib,,,,,89634893.0,ns,18849558
single umlaut - stdlib,,,,,92452516.0,ns,19056696
single umlaut - stdlib,,,,,92222557.0,ns,19263834
single umlaut - stdlib,,,,,92967065.0,ns,19470972
single umlaut - stdlib,,,,,93711623.0,ns,19678110
single umlaut - stdlib,,,,,95265047.0,ns,19885248
single umlaut - stdlib,,,,,98214753.0,ns,20092386
single umlaut - stdlib,,,,,96929814.0,ns,20299524
single umlaut - stdlib,,,,,97368350.0,ns,20506662
single umlaut - stdlib,,,,,99042780.0,ns,20713800
