group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
single umlaut,,,,,991705.0,ns,52297
single umlaut,,,,,1901052.0,ns,104594
single umlaut,,,,,2913748.0,ns,156891
single umlaut,,,,,3816531.0,ns,209188
single umlaut,,,,,4825034.0,ns,261485
single umlaut,,,,,5770318.0,ns,313782
single umlaut,,,,,6714841.0,ns,366079
single umlaut,,,,,7636001.0,ns,418376
single umlaut,,,,,9135810.0,ns,470673
single umlaut,,,,,11236528.0,ns,522970
single umlaut,,,,,11655757.0,ns,575267
single umlaut,,,,,11411815.0,ns,627564
single umlaut,,,,,12425794.0,ns,679861
single umlaut,,,,,13356550.0,ns,732158
single umlaut,,,,,14399261.0,ns,784455
single umlaut,,,,,15353896.0,ns,836752
single umlaut,,,,,16683629.0,ns,889049
single umlaut,,,,,17232410.0,ns,941346
single umlaut,,,,,18075754.0,ns,993643
single umlaut,,,,,19599338.0,ns,1045940
single umlaut,,,,,20331371.0,ns,1098237
single umlaut,,,,,21035979.0,ns,1150534
single umlaut,,,,,21874216.0,ns,1202831
single umlaut,,,,,22943553.0,ns,1255128
single umlaut,,,,,23914598.0,ns,1307425
single umlaut,,,,,24857867.0,ns,1359722
single umlaut,,,,,26399062.0,ns,1412019
single umlaut,,,,,26875061.0,ns,1464316
single umlaut,,,,,27792806.0,ns,1516613
single umlaut,,,,,28636717.0,ns,1568910
single umlaut,,,,,29727490.0,ns,1621207
single umlaut,,,,,30443724.0,ns,1673504
single umlaut,,,,,31532502.0,ns,1725801
single umlaut,,,,,32389456.0,ns,1778098
single umlaut,,,,,33287330.0,ns,1830395
single umlaut,,,,,34471005.0,ns,1882692
single umlaut,,,,,35314803.0,ns,1934989
single umlaut,,,,,36318389.0,ns,1987286
single umlaut,,,,,37462725.0,ns,2039583
single umlaut,,,,,38131286.0,ns,2091880
single umlaut,,,,,39374612.0,ns,2144177
single umlaut,,,,,40297434.0,ns,2196474
single umlaut,,,,,41031846.0,ns,2248771
single umlaut,,,,,41854756.0,ns,2301068
single umlaut,,,,,43151279.0,ns,2353365
single umlaut,,,,,43838169.0,ns,2405662
single umlaut,,,,,44851924.0,ns,2457959
single umlaut,,,,,45876085.0,ns,2510256
single umlaut,,,,,46698898.0,ns,2562553
single umlaut,,,,,47859159.0,ns,2614850
single umlaut,,,,,48669779.0,ns,2667147
single umlaut,,,,,49585702.0,ns,2719444
single umlaut,,,,,50749992.0,ns,2771741
single umlaut,,,,,52088771.0,ns,2824038
single umlaut,,,,,53920068.0,ns,2876335
single umlaut,,,,,53546931.0,ns,2928632
single umlaut,,,,,54314678.0,ns,2980929
single umlaut,,,,,55388696.0,ns,3033226
single umlaut,,,,,56308577.0,ns,3085523
single umlaut,,,,,57287749.0,ns,3137820
single umlaut,,,,,57987043.0,ns,3190117
single umlaut,,,,,59741046.0,ns,3242414
single umlaut,,,,,62369780.0,ns,3294711
single umlaut,,,,,62167289.0,ns,3347008
single umlaut,,,,,64028839.0,ns,3399305
single umlaut,,,,,65425974.0,ns,3451602
single umlaut,,,,,64215414.0,ns,3503899
single umlaut,,,,,65209206.0,ns,3556196
single umlaut,,,,,65986619.0,ns,3608493
single umlaut,,,,,67651126.0,ns,3660790
single umlaut,,,,,67690307.0,ns,3713087
single umlaut,,,,,68749800.0,ns,3765384
single umlaut,,,,,69655997.0,ns,3817681
single umlaut,,,,,70871533.0,ns,3869978
single umlaut,,,,,71712423.0,ns,3922275
single umlaut,,,,,72650976.0,ns,3974572
single umlaut,,,,,73427449.0,ns,4026869
single umlaut,,,,,74455430.0,ns,4079166
single umlaut,,,,,75722101.0,ns,4131463
single umlaut,,,,,76288388.0,ns,4183760
single umlaut,,,,,77179051.0,ns,4236057
single umlaut,,,,,78502683.0,ns,4288354
single umlaut,,,,,79090803.0,ns,4340651
single umlaut,,,,,80473273.0,ns,4392948
single umlaut,,,,,81516054.0,ns,4445245
single umlaut,,,,,82943699.0,ns,4497542
single umlaut,,,,,83287022.0,ns,4549839
single umlaut,,,,,84273282.0,ns,4602136
single umlaut,,,,,84793830.0,ns,4654433
single umlaut,,,,,85858342.0,ns,4706730
single umlaut,,,,,86984232.0,ns,4759027
single umlaut,,,,,90526059.0,ns,4811324
single umlaut,,,,,88791504.0,ns,4863621
single umlaut,,,,,89946234.0,ns,4915918
single umlaut,,,,,90491325.0,ns,4968215
single umlaut,,,,,91472385.0,ns,5020512
single umlaut,,,,,93458398.0,ns,5072809
single umlaut,,,,,95460108.0,ns,5125106
single umlaut,,,,,96670649.0,ns,5177403
single umlaut,,,,,95325738.0,ns,5229700
