group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
x-error,simd,65536,,,1064834.0,ns,188
x-error,simd,65536,,,1965422.0,ns,376
x-error,simd,65536,,,2943813.0,ns,564
x-error,simd,65536,,,3926557.0,ns,752
x-error,simd,65536,,,4933331.0,ns,940
x-error,simd,65536,,,5913846.0,ns,1128
x-error,simd,65536,,,6871314.0,ns,1316
x-error,simd,65536,,,7900348.0,ns,1504
x-error,simd,65536,,,8948333.0,ns,1692
x-error,simd,65536,,,9939251.0,ns,1880
x-error,simd,65536,,,11040075.0,ns,2068
x-error,simd,65536,,,12408400.0,ns,2256
x-error,simd,65536,,,13299929.0,ns,2444
x-error,simd,65536,,,13852590.0,ns,2632
x-error,simd,65536,,,14854951.0,ns,2820
x-error,simd,65536,,,15844379.0,ns,3008
x-error,simd,65536,,,17236844.0,ns,3196
x-error,simd,65536,,,17895796.0,ns,3384
x-error,simd,65536,,,18704857.0,ns,3572
x-error,simd,65536,,,19658515.0,ns,3760
x-error,simd,65536,,,20950001.0,ns,3948
x-error,simd,65536,,,21632054.0,ns,4136
x-error,simd,65536,,,22783126.0,ns,4324
x-error,simd,65536,,,23622114.0,ns,4512
x-error,simd,65536,,,24570409.0,ns,4700
x-error,simd,65536,,,25740701.0,ns,4888
x-error,simd,65536,,,26757787.0,ns,5076
x-error,simd,65536,,,27680518.0,ns,5264
x-error,simd,65536,,,28622541.0,ns,5452
x-error,simd,65536,,,29569558.0,ns,5640
x-error,simd,65536,,,30983374.0,ns,5828
x-error,simd,65536,,,31516587.0,ns,6016
x-error,simd,65536,,,32487122.0,ns,6204
x-error,simd,65536,,,33580776.0,ns,6392
x-error,simd,65536,,,34519966.0,ns,6580
x-error,simd,65536,,,35945777.0,ns,6768
x-error,simd,65536,,,38952736.0,ns,6956
x-error,simd,65536,,,37798542.0,ns,7144
x-error,simd,65536,,,38558074.0,ns,7332
x-error,simd,65536,,,39402920.0,ns,7520
x-error,simd,65536,,,40549968.0,ns,7708
x-error,simd,65536,,,41798323.0,ns,7896
x-error,simd,65536,,,42328908.0,ns,8084
x-error,simd,65536,,,43639172.0,ns,8272
x-error,simd,65536,,,44334038.0,ns,8460
x-error,simd,65536,,,45882160.0,ns,8648
x-error,simd,65536,,,47249046.0,ns,8836
x-error,simd,65536,,,49496472.0,ns,9024
x-error,simd,65536,,,52423650.0,ns,9212
x-error,simd,65536,,,50123090.0,ns,9400
x-error,simd,65536,,,50972647.0,ns,9588
x-error,simd,65536,,,51710474.0,ns,9776
x-error,simd,65536,,,52297382.0,ns,9964
x-error,simd,65536,,,53475706.0,ns,10152
x-error,simd,65536,,,54243683.0,ns,10340
x-error,simd,65536,,,55348807.0,ns,10528
x-error,simd,65536,,,56631361.0,ns,10716
x-error,simd,65536,,,57188854.0,ns,10904
x-error,simd,65536,,,58540590.0,ns,11092
x-error,simd,65536,,,59188515.0,ns,11280
x-error,simd,65536,,,60315095.0,ns,11468
x-error,simd,65536,,,61134795.0,ns,11656
x-error,simd,65536,,,62337155.0,ns,11844
x-error,simd,65536,,,63125923.0,ns,12032
x-error,simd,65536,,,64173546.0,ns,12220
x-error,simd,65536,,,65192909.0,ns,12408
x-error,simd,65536,,,69720639.0,ns,12596
x-error,simd,65536,,,67373920.0,ns,12784
x-error,simd,65536,,,68567429.0,ns,12972
x-error,simd,65536,,,69262002.0,ns,13160
x-error,simd,65536,,,70207391.0,ns,13348
x-error,simd,65536,,,71015729.0,ns,13536
x-error,simd,65536,,,72249742.0,ns,13724
x-error,simd,65536,,,73264435.0,ns,13912
x-error,simd,65536,,,76621215.0,ns,14100
x-error,simd,65536,,,75042964.0,ns,14288
x-error,simd,65536,,,76040726.0,ns,14476
x-error,simd,65536,,,76827632.0,ns,14664
x-error,simd,65536,,,78546906.0,ns,14852
x-error,simd,65536,,,79310841.0,ns,15040
x-error,simd,65536,,,79797494.0,ns,15228
x-error,simd,65536,,,80916532.0,ns,15416
x-error,simd,65536,,,81691673.0,ns,15604
x-error,simd,65536,,,83101189.0,ns,15792
x-error,simd,65536,,,83882937.0,ns,15980
x-error,simd,65536,,,84893042.0,ns,16168
x-error,simd,65536,,,86078124.0,ns,16356
x-error,simd,65536,,,86790959.0,ns,16544
x-error,simd,65536,,,87891323.0,ns,16732
x-error,simd,65536,,,88752122.0,ns,16920
x-error,simd,65536,,,90129839.0,ns,17108
x-error,simd,65536,,,91044627.0,ns,17296
x-error,simd,65536,,,92443459.0,ns,17484
x-error,simd,65536,,,92821956.0,ns,17672
x-error,simd,65536,,,93813441.0,ns,17860
x-error,simd,65536,,,94782709.0,ns,18048
x-error,simd,65536,,,96071128.0,ns,18236
x-error,simd,65536,,,96714788.0,ns,18424
x-error,simd,65536,,,100360138.0,ns,18612
x-error,simd,65536,,,99046540.0,ns,18800
