group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
x-error,std,65536,,,1024765.0,ns,234507
x-error,std,65536,,,1958802.0,ns,469014
x-error,std,65536,,,2940252.0,ns,703521
x-error,std,65536,,,3938977.0,ns,938028
x-error,std,65536,,,4899008.0,ns,1172535
x-error,std,65536,,,5880425.0,ns,1407042
x-error,std,65536,,,6876708.0,ns,1641549
x-error,std,65536,,,8074369.0,ns,1876056
x-error,std,65536,,,8839601.0,ns,2110563
x-error,std,65536,,,9875199.0,ns,2345070
x-error,std,65536,,,10797785.0,ns,2579577
x-error,std,65536,,,11803626.0,ns,2814084
x-error,std,65536,,,12757148.0,ns,3048591
x-error,std,65536,,,13757075.0,ns,3283098
x-error,std,65536,,,14759138.0,ns,3517605
x-error,std,65536,,,15718655.0,ns,3752112
x-error,std,65536,,,16695104.0,ns,3986619
x-error,std,65536,,,17677094.0,ns,4221126
x-error,std,65536,,,18720387.0,ns,4455633
x-error,std,65536,,,19618050.0,ns,4690140
x-error,std,65536,,,21792241.0,ns,4924647
x-error,std,65536,,,23405361.0,ns,5159154
x-error,std,65536,,,22872397.0,ns,5393661
x-error,std,65536,,,23724262.0,ns,5628168
x-error,std,65536,,,24646815.0,ns,5862675
x-error,std,65536,,,25576041.0,ns,6097182
x-error,std,65536,,,26750116.0,ns,6331689
x-error,std,65536,,,27532175.0,ns,6566196
x-error,std,65536,,,28494367.0,ns,6800703
x-error,std,65536,,,29558371.0,ns,7035210
x-error,std,65536,,,30520586.0,ns,7269717
x-error,std,65536,,,31551533.0,ns,7504224
x-error,std,65536,,,32722615.0,ns,7738731
x-error,std,65536,,,33449634.0,ns,7973238
x-error,std,65536,,,34483715.0,ns,8207745
x-error,std,65536,,,35356621.0,ns,8442252
x-error,std,65536,,,36506286.0,ns,8676759
x-error,std,65536,,,37705555.0,ns,8911266
x-error,std,65536,,,38598429.0,ns,9145773
x-error,std,65536,,,39464659.0,ns,9380280
x-error,std,65536,,,40255768.0,ns,9614787
x-error,std,65536,,,41229948.0,ns,9849294
x-error,std,65536,,,42321613.0,ns,10083801
x-error,std,65536,,,43364724.0,ns,10318308
x-error,std,65536,,,44189292.0,ns,10552815
x-error,std,65536,,,45789984.0,ns,10787322
x-error,std,65536,,,46750768.0,ns,11021829
x-error,std,65536,,,47215812.0,ns,11256336
x-error,std,65536,,,48110156.0,ns,11490843
x-error,std,65536,,,49111550.0,ns,11725350
x-error,std,65536,,,53426719.0,ns,11959857
x-error,std,65536,,,51653891.0,ns,12194364
x-error,std,65536,,,52359202.0,ns,12428871
x-error,std,65536,,,53320643.0,ns,12663378
x-error,std,65536,,,54163057.0,ns,12897885
x-error,std,65536,,,55330377.0,ns,13132392
x-error,std,65536,,,56134264.0,ns,13366899
x-error,std,65536,,,57003031.0,ns,13601406
x-error,std,65536,,,58249648.0,ns,13835913
x-error,std,65536,,,59571250.0,ns,14070420
x-error,std,65536,,,60193770.0,ns,14304927
x-error,std,65536,,,60998848.0,ns,14539434
x-error,std,65536,,,61986557.0,ns,14773941
x-error,std,65536,,,63197926.0,ns,15008448
x-error,std,65536,,,63997434.0,ns,15242955
x-error,std,65536,,,64963851.0,ns,15477462
x-error,std,65536,,,66440512.0,ns,15711969
x-error,std,65536,,,67898781.0,ns,15946476
x-error,std,65536,,,71060398.0,ns,16180983
x-error,std,65536,,,69167097.0,ns,16415490
x-error,std,65536,,,69861897.0,ns,16649997
x-error,std,65536,,,70948058.0,ns,16884504
x-error,std,65536,,,72800672.0,ns,17119011
x-error,std,65536,,,73695656.0,ns,17353518
x-error,std,65536,,,74400138.0,ns,17588025
x-error,std,65536,,,75005292.0,ns,17822532
x-error,std,65536,,,75844330.0,ns,18057039
x-error,std,65536,,,77533460.0,ns,18291546
x-error,std,65536,,,77961273.0,ns,18526053
x-error,std,65536,,,78820368.0,ns,18760560
x-error,std,65536,,,79843104.0,ns,18995067
x-error,std,65536,,,80886274.0,ns,19229574
x-error,std,65536,,,81984032.0,ns,19464081
x-error,std,65536,,,82985773.0,ns,19698588
x-error,std,65536,,,83896250.0,ns,19933095
x-error,std,65536,,,86134864.0,ns,20167602
x-error,std,65536,,,87979652.0,ns,20402109
x-error,std,65536,,,87084740.0,ns,20636616
x-error,std,65536,,,87558393.0,ns,20871123
x-error,std,65536,,,88635451.0,ns,21105630
x-error,std,65536,,,90934755.0,ns,21340137
x-error,std,65536,,,90473243.0,ns,21574644
x-error,std,65536,,,91653722.0,ns,21809151
x-error,std,65536,,,93198244.0,ns,22043658
x-error,std,65536,,,96204928.0,ns,22278165
x-error,std,65536,,,95014662.0,ns,22512672
x-error,std,65536,,,95458748.0,ns,22747179
x-error,std,65536,,,96908245.0,ns,22981686
x-error,std,65536,,,97287636.0,ns,23216193
x-error,std,65536,,,98400881.0,ns,23450700
